method_a,method_b,split,metric,n_origins,directional_only,mean_diff,diff_ci_low,diff_ci_high
lightgbm,seasonal_naive,pooled,hit_at_3_in_top20,12,false,0.23333333333333334,0.0,0.5666666666666667
lightgbm,seasonal_naive,pooled,hit_at_3_in_top10,12,false,0.03333333333333334,-0.1,0.26666666666666666
lightgbm,seasonal_naive,pooled,precision_at_3,12,false,0.0,-0.06666666666666667,0.1
lightgbm,seasonal_naive,pooled,precision_at_10,12,false,0.04,2.7755575615628915e-18,0.07000000000000002
lightgbm,seasonal_naive,pooled,ndcg_at_10,12,false,0.1555348930765306,0.09851522642003316,0.25350111891832705
lightgbm,seasonal_naive,pooled,spearman_rho,12,false,0.21801776311402254,0.2026394996495799,0.25341958189814084
lightgbm,seasonal_naive,pooled,wmape,12,false,-0.04467533817072522,-0.05449949833477663,-0.032702077563819744
lightgbm,seasonal_naive,covid,hit_at_3_in_top20,7,true,0.19047619047619047,-0.09523809523809523,0.47619047619047616
lightgbm,seasonal_naive,covid,hit_at_3_in_top10,7,true,0.14285714285714285,0.0,0.2857142857142857
lightgbm,seasonal_naive,covid,precision_at_3,7,true,0.0,-0.09523809523809523,0.047619047619047616
lightgbm,seasonal_naive,covid,precision_at_10,7,true,0.05714285714285715,0.028571428571428574,0.07142857142857142
lightgbm,seasonal_naive,covid,ndcg_at_10,7,true,0.14668479533395246,0.07401455161492174,0.22583207085171844
lightgbm,seasonal_naive,covid,spearman_rho,7,true,0.23216691245286983,0.21492874866923883,0.24842944243146037
lightgbm,seasonal_naive,covid,wmape,7,true,-0.0540317707573798,-0.054220819426762774,-0.05022361824761904
lightgbm,seasonal_naive,non_covid,hit_at_3_in_top20,5,true,0.3333333333333333,0.3333333333333333,0.3333333333333333
lightgbm,seasonal_naive,non_covid,hit_at_3_in_top10,5,true,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222
lightgbm,seasonal_naive,non_covid,precision_at_3,5,true,0.0,0.0,0.0
lightgbm,seasonal_naive,non_covid,precision_at_10,5,true,9.25185853854297e-18,9.25185853854297e-18,9.25185853854297e-18
lightgbm,seasonal_naive,non_covid,ndcg_at_10,5,true,0.17618512114254617,0.17618512114254617,0.17618512114254617
lightgbm,seasonal_naive,non_covid,spearman_rho,5,true,0.1850030813233788,0.1850030813233788,0.1850030813233788
lightgbm,seasonal_naive,non_covid,wmape,5,true,-0.022843662135197885,-0.022843662135197885,-0.022843662135197885
lightgbm,ewma_persistence,pooled,hit_at_3_in_top20,12,false,0.25000000000000006,0.22222222222222224,0.36111111111111116
lightgbm,ewma_persistence,pooled,hit_at_3_in_top10,12,false,0.16666666666666666,0.027777777777777776,0.4166666666666666
lightgbm,ewma_persistence,pooled,precision_at_3,12,false,0.05555555555555555,0.0,0.1111111111111111
lightgbm,ewma_persistence,pooled,precision_at_10,12,false,0.05833333333333333,0.033333333333333326,0.10000000000000002
lightgbm,ewma_persistence,pooled,ndcg_at_10,12,false,0.0677894215732741,0.04589955623604514,0.09733312933443057
lightgbm,ewma_persistence,pooled,spearman_rho,12,false,0.12325961191528072,0.08966570518959856,0.18123024471533897
lightgbm,ewma_persistence,pooled,wmape,12,false,-0.02881008530122994,-0.04479736831779288,-0.02284478225550443
lightgbm,ewma_persistence,covid,hit_at_3_in_top20,7,true,0.23809523809523808,0.1904761904761905,0.42857142857142855
lightgbm,ewma_persistence,covid,hit_at_3_in_top10,7,true,0.2857142857142857,0.19047619047619047,0.5238095238095238
lightgbm,ewma_persistence,covid,precision_at_3,7,true,0.09523809523809523,0.09523809523809523,0.14285714285714285
lightgbm,ewma_persistence,covid,precision_at_10,7,true,0.07142857142857142,0.028571428571428574,0.1285714285714286
lightgbm,ewma_persistence,covid,ndcg_at_10,7,true,0.04769479839910478,0.04769479839910478,0.07140568345218924
lightgbm,ewma_persistence,covid,spearman_rho,7,true,0.1604596670812287,0.13770884002143843,0.19927645380092626
lightgbm,ewma_persistence,covid,wmape,7,true,-0.037042958091375845,-0.04840418217695056,-0.037042958091375845
lightgbm,ewma_persistence,non_covid,hit_at_3_in_top20,5,true,0.2666666666666667,0.2,0.2666666666666667
lightgbm,ewma_persistence,non_covid,hit_at_3_in_top10,5,true,0.0,0.0,0.06666666666666667
lightgbm,ewma_persistence,non_covid,precision_at_3,5,true,0.0,0.0,0.0
lightgbm,ewma_persistence,non_covid,precision_at_10,5,true,0.039999999999999994,0.019999999999999997,0.039999999999999994
lightgbm,ewma_persistence,non_covid,ndcg_at_10,5,true,0.09592189401711113,0.09592189401711113,0.1168752353143488
lightgbm,ewma_persistence,non_covid,spearman_rho,5,true,0.07117953468295356,0.025302143131445597,0.08215639824549406
lightgbm,ewma_persistence,non_covid,wmape,5,true,-0.01728406339502566,-0.023638771226377153,-0.003439512806205364
lightgbm,global_mean,pooled,hit_at_3_in_top20,12,false,0.5277777777777778,0.47222222222222215,0.75
lightgbm,global_mean,pooled,hit_at_3_in_top10,12,false,0.3055555555555555,0.16666666666666666,0.5833333333333334
lightgbm,global_mean,pooled,precision_at_3,12,false,0.05555555555555555,0.0,0.1111111111111111
lightgbm,global_mean,pooled,precision_at_10,12,false,0.19166666666666665,0.15,0.3083333333333333
lightgbm,global_mean,pooled,ndcg_at_10,12,false,0.6693850689415504,0.6253068902157471,0.7356525488218062
lightgbm,global_mean,pooled,spearman_rho,12,false,NaN,NaN,NaN
lightgbm,global_mean,pooled,wmape,12,false,-0.13898154105662355,-0.1643692152427873,-0.1183376785636101
lightgbm,global_mean,covid,hit_at_3_in_top20,7,true,0.5714285714285714,0.5714285714285714,0.7619047619047619
lightgbm,global_mean,covid,hit_at_3_in_top10,7,true,0.42857142857142855,0.4285714285714285,0.6666666666666666
lightgbm,global_mean,covid,precision_at_3,7,true,0.09523809523809523,0.09523809523809523,0.14285714285714285
