method,split,n_origins,hit_at_3_in_top20_mean,hit_at_3_in_top20_ci_low,hit_at_3_in_top20_ci_high,hit_at_3_in_top10_mean,hit_at_3_in_top10_ci_low,hit_at_3_in_top10_ci_high,precision_at_3_mean,precision_at_3_ci_low,precision_at_3_ci_high,precision_at_10_mean,precision_at_10_ci_low,precision_at_10_ci_high,ndcg_at_10_mean,ndcg_at_10_ci_low,ndcg_at_10_ci_high,spearman_rho_mean,spearman_rho_ci_low,spearman_rho_ci_high,wmape_mean,wmape_ci_low,wmape_ci_high
ewma_persistence,pooled,12,0.27777777777777773,0.19444444444444442,0.4166666666666667,0.13888888888888887,0.08333333333333333,0.22222222222222224,0.0,0.0,0.0,0.13333333333333333,0.10833333333333334,0.19999999999999998,0.8044672233730307,0.741115181890733,0.8674964195221148,0.5883505225106128,0.5495699791449971,0.6166901654160849,0.1983963981698208,0.17421300756317618,0.22768070493893547
ewma_persistence,covid,7,0.33333333333333337,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.2857142857142857,0.0,0.0,0.0,0.15714285714285717,0.14285714285714285,0.22857142857142856,0.8620909880358741,0.8375179319283275,0.8757273696706891,0.6240923961607796,0.5930099387031061,0.6240923961607796,0.17423805361500763,0.16544038684368462,0.19668102637144053
ewma_persistence,non_covid,5,0.2,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.1,0.06000000000000001,0.12,0.7237939528450499,0.6685463802035362,0.7237939528450499,0.5383118994003793,0.5161454668929876,0.5383118994003794,0.23221808054655915,0.23221808054655915,0.257025358895313
global_mean,pooled,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025000000000000005,0.4026279267138644,0.36543135614570815,0.4434531584938101,NaN,NaN,NaN,0.30856785392521446,0.2967040176988723,0.3247038536299184
global_mean,covid,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977516469465502,0.34213368545378253,0.42209560273580904,NaN,NaN,NaN,0.2969931779007618,0.29080042882315216,0.31230797243001385
global_mean,non_covid,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.4094547183881042,0.37615193086485166,0.43663604604789724,NaN,NaN,NaN,0.32477240035944804,0.32477240035944804,0.33763121181991373
lightgbm,pooled,12,0.5277777777777778,0.47222222222222215,0.75,0.3055555555555555,0.16666666666666666,0.5833333333333334,0.05555555555555555,0.0,0.1111111111111111,0.19166666666666665,0.15,0.3083333333333333,0.872256644946305,0.8396784907877509,0.9212324291835702,0.7116101344258934,0.6375706931610899,0.7907076634012168,0.16958631286859085,0.1339647333816215,0.20483754744482296
lightgbm,covid,7,0.5714285714285714,0.5714285714285714,0.7619047619047619,0.42857142857142855,0.4285714285714285,0.6666666666666666,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.22857142857142862,0.17142857142857143,0.34285714285714286,0.9097857864349789,0.8952305206970106,0.9342359075249195,0.7845520632420083,0.7541569925448083,0.808578123028105,0.1371950955236318,0.12657989805088804,0.15361302128997792
lightgbm,non_covid,5,0.4666666666666666,0.26666666666666666,0.4666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.13999999999999999,0.1,0.13999999999999999,0.819715846862161,0.7835525831563512,0.8215848792236949,0.6094914340833328,0.5524244735869737,0.6094914340833328,0.21493401715153349,0.21493401715153349,0.24723113825775617
parent_category_mean,pooled,12,0.027777777777777776,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025000000000000005,0.25919480618251983,0.18519311866176835,0.38553378197952054,0.24542386464264007,0.2133773032526445,0.2722554687673388,0.2469926340331746,0.2339328221944206,0.26400230569627464
parent_category_mean,covid,7,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714287,0.0,0.028571428571428574,0.3011125039456391,0.17359430608197726,0.41966371628197047,0.2722162560473656,0.2708479501719309,0.27411013619773567,0.23393754628808475,0.22850701115981692,0.2497745806239124
parent_category_mean,non_covid,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2005100293141529,0.18752165906775115,0.2005100293141529,0.2079145166760244,0.2011706103091091,0.2097573695896966,0.2652697568763002,0.2652697568763002,0.2795975902439394
random_floor,pooled,12,0.011111111111111112,0.005555555555555556,0.013888888888888888,0.008333333333333333,0.002777777777777778,0.011111111111111112,0.002777777777777778,0.0,0.005555555555555556,0.004166666666666667,0.0020833333333333333,0.005416666666666667,0.40473045269853297,0.3926080026320777,0.4094411050235804,0.00031071208730667674,-0.0017636681550454707,0.0030842614470184804,0.4878434760437107,0.48302012400816263,0.5002292678859276
random_floor,covid,7,0.009523809523809523,0.0047619047619047615,0.016666666666666666,0.0047619047619047615,0.0,0.0071428571428571435,0.0,0.0,0.0,0.002857142857142857,0.0014285714285714286,0.0035714285714285718,0.41278118987757717,0.3917880730490065,0.41278118987757717,0.0017589667824097998,0.0008031653791099392,0.0039311228934085386,0.4850942087231454,0.48509420872314546,0.506034741581526
random_floor,non_covid,5,0.013333333333333332,0.013333333333333332,0.013333333333333332,0.013333333333333332,0.013333333333333332,0.013333333333333332,0.006666666666666666,0.003333333333333333,0.01,0.006,0.006,0.007000000000000001,0.3934594206478713,0.3928015744986282,0.3963572289276203,-0.0017168444858376955,-0.003229262771898817,-0.0012728829779290285,0.49169245029250186,0.49134943061602404,0.500245409566183
seasonal_naive,pooled,12,0.39999999999999997,0.16666666666666666,0.6333333333333333,0.33333333333333337,0.16666666666666666,0.4666666666666667,0.06666666666666667,0.0,0.19999999999999998,0.19,0.11000000000000001,0.26,0.7476045843046352,0.6386880768189938,0.8204132036403331,0.5375636367731369,0.4907734089225729,0.5745205420588342,0.1906315108954702,0.18390588439576075,0.2036766664734319
seasonal_naive,covid,7,0.38095238095238093,0.19047619047619047,0.7142857142857143,0.2857142857142857,0.19047619047619047,0.5238095238095238,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.17142857142857143,0.14285714285714285,0.2857142857142857,0.7631009911010266,0.669398449845292,0.8573306216301402,0.5523851507891383,0.5057275501133479,0.593649374358866,0.19122686628101163,0.18007804336112496,0.20583446685519724
seasonal_naive,non_covid,5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.2333333333333333,0.2333333333333333,0.2333333333333333,0.711446301779722,0.711446301779722,0.711446301779722,0.5029801040691338,0.5029801040691338,0.5029801040691338,0.18924234832920694,0.18924234832920694,0.18924234832920694
