origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2019-07-29,lightgbm,false,false,3037,3037,0.0,0.0,0.669468122947193,0.6774012659760651,0.2108971851007697
2019-08-26,lightgbm,false,false,3043,3043,0.0,0.2,0.9030878888174705,0.7449640932161041,0.17599242185885
2019-09-23,lightgbm,true,false,3042,3042,0.0,0.3,0.8993759491996225,0.8330106793650639,0.14367976191475357
2019-10-21,lightgbm,true,false,3042,3042,0.0,0.4,0.9291985078887176,0.8372910981445216,0.12236537534479879
2019-11-18,lightgbm,true,false,3028,3028,0.0,0.5,0.94110465268012,0.8103229524555952,0.11512826622147637
2019-12-16,lightgbm,true,true,3014,3014,0.0,0.0,0.9137763855835205,0.7941286970882495,0.15197899027337416
2020-01-13,lightgbm,true,true,3009,3009,0.3333333333333333,0.3,0.9243036805341212,0.7818723644114497,0.13339732130087475
2020-02-10,lightgbm,true,true,3007,3007,0.0,0.2,0.8920656582698604,0.7940405026491343,0.14352925022868576
2020-03-09,lightgbm,true,true,2991,2991,0.0,0.5,0.9460796393697704,0.8300009472259806,0.13169473755958808
2020-04-06,lightgbm,true,true,2956,2956,0.3333333333333333,0.4,0.9687289287306343,0.8343255758237943,0.13481033394675504
2020-05-04,lightgbm,true,true,2906,2906,0.0,0.3,0.959923627541589,0.8614727324535731,0.10083247770072136
2020-06-01,lightgbm,true,true,2763,2763,0.0,0.0,0.8536251939623396,0.8398754958282841,0.10149710489598013
