method,split,n_origins,precision_at_3_mean,precision_at_3_ci_low,precision_at_3_ci_high,precision_at_10_mean,precision_at_10_ci_low,precision_at_10_ci_high,ndcg_at_10_mean,ndcg_at_10_ci_low,ndcg_at_10_ci_high,spearman_rho_mean,spearman_rho_ci_low,spearman_rho_ci_high,wmape_mean,wmape_ci_low,wmape_ci_high
ewma_persistence,pooled,20,0.03333333333333333,0.0,0.08333333333333333,0.14500000000000002,0.11000000000000001,0.17500000000000002,0.8281634522986672,0.7567728895749397,0.8623707345465884,0.5826798765240557,0.5463629375597043,0.6088917504348882,0.19416294292956293,0.18028286338480123,0.22067115293043246
ewma_persistence,covid,7,0.0,0.0,0.0,0.15714285714285717,0.14285714285714285,0.22857142857142856,0.8620909880358741,0.8375179319283275,0.8757273696706891,0.6240923961607796,0.5930099387031061,0.6240923961607796,0.17423805361500763,0.16544038684368462,0.19668102637144053
ewma_persistence,non_covid,13,0.05128205128205128,0.0,0.1282051282051282,0.13846153846153847,0.08461538461538463,0.16153846153846155,0.8098947792094019,0.719628165554126,0.8652939029244027,0.5603808274888967,0.5269277944615331,0.6039832592612315,0.20489172948355425,0.18275602816933065,0.23300119365302174
global_mean,pooled,20,0.0,0.0,0.0,0.0,0.0,0.0,0.376998410199645,0.3412080761595292,0.40655677175631233,NaN,NaN,NaN,0.3083378431572106,0.30087299994989447,0.3216575009948779
global_mean,covid,7,0.0,0.0,0.0,0.0,0.0,0.0,0.3435062408794442,0.29290310468562014,0.361086437826137,NaN,NaN,NaN,0.29699317790076174,0.2908004288231521,0.3123079724300138
global_mean,non_covid,13,0.0,0.0,0.0,0.0,0.0,0.0,0.3950326552182146,0.3582317086547588,0.4255228535704698,NaN,NaN,NaN,0.3144465090645292,0.3019294001072813,0.32730940935332065
parent_category_mean,pooled,20,0.0,0.0,0.0,0.01,0.0,0.02,0.2999204973611161,0.22432851845669727,0.3778918995931332,0.27153563131032776,0.22991189613857874,0.30570892526630994,0.24130492915145263,0.23446902674929326,0.2575550482839895
parent_category_mean,covid,7,0.0,0.0,0.0,0.014285714285714287,0.0,0.028571428571428574,0.3011125039456391,0.17359430608197726,0.41966371628197047,0.2722162560473656,0.2708479501719309,0.27411013619773567,0.23393754628808475,0.22850701115981686,0.2497745806239124
parent_category_mean,non_covid,13,0.0,0.0,0.0,0.007692307692307693,0.0,0.02307692307692308,0.29927864766175755,0.21954555634884318,0.4047139655788064,0.27116914106730733,0.21994315930964642,0.33110615989704634,0.24527198146249687,0.23242239915028537,0.26323195624481555
seasonal_naive,pooled,20,0.06666666666666667,0.0,0.19999999999999998,0.19,0.11000000000000001,0.26,0.7476045843046352,0.6386880768189938,0.8204132036403331,0.5375636367731369,0.4907734089225729,0.5745205420588342,0.1906315108954702,0.18390588439576075,0.2036766664734319
seasonal_naive,covid,7,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.17142857142857143,0.14285714285714285,0.2857142857142857,0.7631009911010266,0.669398449845292,0.8573306216301402,0.5523851507891383,0.5057275501133479,0.593649374358866,0.19122686628101157,0.180078043361125,0.2058344668551972
seasonal_naive,non_covid,13,0.0,0.0,0.0,0.2333333333333333,0.2333333333333333,0.2333333333333333,0.711446301779722,0.711446301779722,0.711446301779722,0.5029801040691338,0.5029801040691338,0.5029801040691338,0.18924234832920694,0.18924234832920694,0.18924234832920694
