method,split,n_origins,hit_at_3_in_top20_mean,hit_at_3_in_top20_ci_low,hit_at_3_in_top20_ci_high,hit_at_3_in_top10_mean,hit_at_3_in_top10_ci_low,hit_at_3_in_top10_ci_high,precision_at_3_mean,precision_at_3_ci_low,precision_at_3_ci_high,precision_at_10_mean,precision_at_10_ci_low,precision_at_10_ci_high,ndcg_at_10_mean,ndcg_at_10_ci_low,ndcg_at_10_ci_high,spearman_rho_mean,spearman_rho_ci_low,spearman_rho_ci_high,wmape_mean,wmape_ci_low,wmape_ci_high,hit_at_3_in_top20_no_demonstrated_signal,hit_at_3_in_top10_no_demonstrated_signal,precision_at_3_no_demonstrated_signal,precision_at_10_no_demonstrated_signal,ndcg_at_10_no_demonstrated_signal,spearman_rho_no_demonstrated_signal,wmape_no_demonstrated_signal,directional_only
ewma_persistence,pooled,12,0.27777777777777773,0.19444444444444442,0.4166666666666667,0.13888888888888887,0.08333333333333333,0.22222222222222224,0.0,0.0,0.0,0.13333333333333333,0.10833333333333334,0.19999999999999998,0.8044672233730307,0.741115181890733,0.8674964195221148,0.5883505225106128,0.5495699791449971,0.6166901654160849,0.19839639816982077,0.17421300756317615,0.22768070493893547,false,false,false,false,false,false,false,false
ewma_persistence,covid,7,0.33333333333333337,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.2857142857142857,0.0,0.0,0.0,0.15714285714285717,0.14285714285714285,0.22857142857142856,0.8620909880358741,0.8375179319283275,0.8757273696706891,0.6240923961607796,0.5930099387031061,0.6240923961607796,0.17423805361500763,0.16544038684368462,0.19668102637144053,false,false,false,false,false,false,false,true
ewma_persistence,non_covid,5,0.2,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.1,0.06000000000000001,0.12,0.7237939528450499,0.6685463802035362,0.7237939528450499,0.5383118994003793,0.5161454668929876,0.5383118994003794,0.23221808054655915,0.23221808054655915,0.257025358895313,false,false,false,false,false,false,false,true
global_mean,pooled,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028715760047544,0.18115572762176088,0.2185539155414784,NaN,NaN,NaN,0.30856785392521446,0.2967040176988723,0.3247038536299184,false,false,false,false,false,,false,false
global_mean,covid,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923021010789458,0.1731432850240139,0.19268731115806878,NaN,NaN,NaN,0.2969931779007618,0.29080042882315216,0.31230797243001385,false,false,false,false,false,,false,true
global_mean,non_covid,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2176688409008865,0.21224371703163172,0.21934637992955913,NaN,NaN,NaN,0.32477240035944804,0.32477240035944804,0.33763121181991373,false,false,false,false,false,,false,true
lightgbm,pooled,12,0.7222222222222222,0.6944444444444443,0.9166666666666666,0.5,0.47222222222222215,0.6666666666666666,0.05555555555555555,0.0,0.1111111111111111,0.2583333333333333,0.24166666666666667,0.3499999999999999,0.9000615196270797,0.8777865703841995,0.9352927194267101,0.803225533719818,0.7877830141592176,0.8300223280447954,0.13881693552888563,0.12421402108121209,0.1514196972263927,false,false,true,false,false,false,false,false
lightgbm,covid,7,0.7619047619047619,0.7619047619047619,0.9523809523809523,0.5238095238095238,0.47619047619047616,0.7619047619047619,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.24285714285714285,0.21428571428571427,0.37142857142857144,0.9226433019988337,0.9151958697349679,0.9487900070791211,0.819388045068638,0.7957262965033783,0.8416391438335687,0.12824860227228277,0.11945317190144418,0.14135798016649392,false,false,false,false,false,false,false,true
lightgbm,non_covid,5,0.6666666666666666,0.4666666666666666,0.7999999999999999,0.4666666666666667,0.4,0.5333333333333334,0.0,0.0,0.0,0.27999999999999997,0.18,0.31999999999999995,0.8684470243066247,0.8141197183600394,0.9151709774806802,0.7805980178314699,0.7540136805355638,0.7941105832794777,0.1536126020881297,0.14663164943974577,0.17276638586398838,false,false,false,false,false,false,false,true
parent_category_mean,pooled,12,0.027777777777777776,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025000000000000005,0.25919480618251983,0.18519311866176835,0.38553378197952054,0.24542386464264007,0.2133773032526445,0.2722554687673388,0.2469926340331746,0.2339328221944206,0.2640023056962747,true,false,false,true,true,false,false,false
parent_category_mean,covid,7,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714287,0.0,0.028571428571428574,0.3011125039456391,0.17359430608197726,0.41966371628197047,0.2722162560473656,0.2708479501719309,0.27411013619773567,0.23393754628808477,0.2285070111598169,0.2497745806239124,true,false,false,true,true,false,false,true
parent_category_mean,non_covid,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2005100293141529,0.18752165906775115,0.2005100293141529,0.2079145166760244,0.2011706103091091,0.2097573695896966,0.2652697568763002,0.2652697568763002,0.2795975902439394,false,false,false,false,false,false,false,true
random_floor,pooled,12,0.006944444444444445,0.001388888888888889,0.013888888888888888,0.006944444444444445,0.001388888888888889,0.013888888888888888,0.004166666666666667,0.001388888888888889,0.006944444444444444,0.0033333333333333335,0.0016666666666666668,0.005,0.3958314390647663,0.38150839541596654,0.40446510878335934,0.000030598526601601146,-0.0009878771431855867,0.0011686377678155294,0.48763241049187983,0.4824727452773159,0.4997939084570396,,,,,,,,false
random_floor,covid,7,0.009523809523809523,0.0047619047619047615,0.019047619047619046,0.009523809523809523,0.0047619047619047615,0.019047619047619046,0.0047619047619047615,0.0023809523809523807,0.009523809523809523,0.004285714285714286,0.002142857142857143,0.006428571428571429,0.40585575990116196,0.38641933880333873,0.40585575990116196,-0.0004644824323380611,-0.0018259551863023915,0.0008643211446140768,0.4849208597987468,0.4849208597987468,0.5063574622945336,,,,,,,,true
random_floor,non_covid,5,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.002,0.002,0.003,0.38179738989381234,0.3753005168845567,0.3817973898938124,0.0007237118691171282,0.0003970336911872451,0.000770200510991887,0.49142858146226615,0.49092257237974685,0.4998732865942627,,,,,,,,true
