rank,feature,group,mean_abs_shap,shap_spearman,n_valid,share,n_train_origins,n_train_rows
1,lag_1,existing,0.3385688589538301,0.9885748830125103,48003,0.2531747289106909,16,48003
2,n_active_articles_level,existing,0.13980896454925543,0.9435967902146835,48003,0.10454622675108177,16,48003
3,cust_geo_distinct_postal_slope_4w,customer_u1,0.07306918257794418,0.8439714668977004,41623,0.05463961023485478,16,48003
4,product_type_name,existing,0.0625043540177206,0.22327577309192154,48003,0.046739451859428766,16,48003
5,cust_geo_distinct_postal,customer_u1,0.061935154063538736,0.9122621185684185,45142,0.04631381600933535,16,48003
6,perceived_colour_master_name,existing,0.05114928085819687,-0.36620525710967383,48003,0.03824836506010941,16,48003
7,index_group_name,existing,0.04229150059004188,0.4882363452545493,48003,0.03162470178206876,16,48003
8,cust_geo_hhi,customer_u1,0.03794962309458462,-0.8747857131583914,45142,0.028377936378798985,16,48003
9,garment_group_name,existing,0.03701439597140061,-0.16083244205359193,48003,0.02767859304842398,16,48003
10,fourier_sin_1,existing,0.03536777955102313,0.5977295596947363,48003,0.026447287643853946,16,48003
11,lag_2,existing,0.03084311086339611,0.7934348018997193,47958,0.023063834800788788,16,48003
12,share_garment_group,existing,0.029788596682973848,0.8297450848217861,48003,0.022275291097785987,16,48003
13,n_active_articles_trend_13w,existing,0.029247824767555428,-0.8217605631745643,47038,0.02187091314196447,16,48003
14,graphical_appearance_name,existing,0.027316481412395708,0.5902609916124435,48003,0.02042669487603498,16,48003
15,cust_geo_hhi_slope_4w,customer_u1,0.024362611519205837,-0.6897696143229238,41623,0.01821785259870144,16,48003
16,cust_repeat_share_slope_4w,customer_u1,0.023255432950520707,-0.706004727505994,22102,0.017389927564932132,16,48003
17,fourier_cos_2,existing,0.021075204548743995,0.04899567707436052,48003,0.015759598253817078,16,48003
18,cust_fn_engaged_share,customer_u1,0.020000455041520874,-0.8884865769716881,45126,0.014955922995617333,16,48003
19,lag_52,existing,0.01854311579573383,0.8845434921470521,17035,0.01386615511317496,16,48003
20,cust_age_p25,customer_u1,0.015120727142868547,-0.733517846376612,45132,0.011306964282412967,16,48003
21,price_index_level,existing,0.014135019511521752,0.7267236170434076,14881,0.010569872681246378,16,48003
22,pr_elasticity_13w,price_u2,0.01341043345276411,-0.3421110593217002,44705,0.010028042344087554,16,48003
23,fourier_sin_2,existing,0.01282911907866632,-0.41975837381201375,48003,0.0095933475835332,16,48003
24,share_index_group,existing,0.012753626069484028,0.34012053686292726,48003,0.009536895486333718,16,48003
25,slope_13w,existing,0.012657286536422584,0.8212129429341923,44459,0.009464854793514004,16,48003
26,pr_price_index_slope_4w,price_u2,0.01236271649550325,0.6584599332121224,11540,0.009244581462749308,16,48003
27,ewma_halflife_4w,existing,0.012277391485361963,0.36951343728230196,48003,0.00918077720036507,16,48003
28,slope_4w,existing,0.011934766450740222,0.7854999241310918,47807,0.008924569347916937,16,48003
29,cust_age_mean_slope_4w,customer_u1,0.01074427067773707,0.760632379405065,41613,0.00803434144706768,16,48003
30,cust_age_mean_slope_13w,customer_u1,0.009710285417829168,0.8111668121051133,35140,0.0072611488425153164,16,48003
31,ewma_halflife_13w,existing,0.00917483713289376,0.8851407259888237,48003,0.006860751786498117,16,48003
32,cust_geo_distinct_postal_slope_13w,customer_u1,0.00890883127601567,-0.8234704159014757,35151,0.006661838156603554,16,48003
33,fourier_cos_1,existing,0.008350480676227148,-0.273130393143247,48003,0.006244315227367295,16,48003
34,cust_fn_engaged_share_slope_4w,customer_u1,0.00828322096165964,-0.7134297063203541,41604,0.006194019816103374,16,48003
35,cust_age_gini,customer_u1,0.007754009573510787,0.8563761090117141,45132,0.005798286581378124,16,48003
36,weeks_since_first_seen,existing,0.007216291336638496,-0.560724928119521,48003,0.005396192102662225,16,48003
37,cust_age_p75_slope_4w,customer_u1,0.006223440704990766,0.6911284861913354,41613,0.004653759114900346,16,48003
38,cust_age_p75_slope_13w,customer_u1,0.004189842409067694,0.7677161578906816,35140,0.003133076737689226,16,48003
39,price_index_trend_13w,existing,0.004088231684163808,0.77579535873696,6630,0.003057094357586548,16,48003
40,cust_geo_hhi_slope_13w,customer_u1,0.0032698862663052006,0.1550368479882005,35151,0.00244515272786356,16,48003
41,cust_age_std_slope_4w,customer_u1,0.0032617370553388505,0.7378051526681726,41613,0.0024390589179259983,16,48003
42,cust_age_std,customer_u1,0.0028445888087922644,-0.0006018664931312271,45132,0.0021271241624338994,16,48003
43,cust_repeat_share,customer_u1,0.002591329224644565,0.3642499626684142,25332,0.0019377419293521146,16,48003
44,cust_age_mean,customer_u1,0.0020312582724271206,-0.43300382024003825,45132,0.0015189325564625056,16,48003
45,cust_age_gini_slope_4w,customer_u1,0.0018551644385345952,0.3733521624516371,41613,0.001387253261454857,16,48003
46,pr_full_price_intensity_13w,price_u2,0.001838237569870615,0.49353960922218587,11691,0.0013745957022258364,16,48003
47,lag_13,existing,0.0018080918524085046,-0.438911170249631,47244,0.0013520533636602898,16,48003
48,cust_club_active_share,customer_u1,0.0016876653959108068,-0.43185300145374494,45137,0.0012620009720384203,16,48003
49,cust_club_active_share_slope_4w,customer_u1,0.00161973822830353,-0.6440259660535852,41615,0.0012112064533169318,16,48003
50,lag_8,existing,0.0014843351507629024,-0.6075736830296147,47644,0.0011099548569475904,16,48003
51,cust_club_precreate_share,customer_u1,0.0011850732819558398,-0.2298940786554433,45137,0.0008861730751775582,16,48003
