colour,value,share,section,base_share,ratio_to_sales_share
Black,10168217.0,0.3760148263830749,panel_units,,
Blue,3750096.0,0.13867639689041486,panel_units,,
White,3695474.0,0.1366565066926844,panel_units,,
Beige,1682839.0,0.0622304199856934,panel_units,,
Grey,1541357.0,0.05699849686029883,panel_units,,
Pink,1287180.0,0.047599177340901196,panel_units,,
Red,1247610.0,0.04613590146077607,panel_units,,
Green,711327.0,0.026304464037952134,panel_units,,
Khaki green,662242.0,0.024489328921046855,panel_units,,
Yellow,526974.0,0.019487195947764935,panel_units,,
Black,10962095.0,0.34484658580930533,raw_transactions_units,,
White,4220669.0,0.13277419092620296,raw_transactions_units,,
Blue,4194445.0,0.13194923393885125,raw_transactions_units,,
Beige,2061606.0,0.06485418985914451,raw_transactions_units,,
Grey,1902708.0,0.05985556206108884,raw_transactions_units,,
Pink,1594447.0,0.050158259365923163,raw_transactions_units,,
Red,1545034.0,0.04860382069844261,raw_transactions_units,,
Green,937512.0,0.029492338130188932,raw_transactions_units,,
Khaki green,895492.0,0.028170469131999536,raw_transactions_units,,
Yellow,740676.0,0.023300253262801777,raw_transactions_units,,
Black,7.0,0.7000000000000001,t1_incumbent_top10,0.3760148263830749,1.8616287201581165
White,2.0,0.2,t1_incumbent_top10,0.1366565066926844,1.463523434341576
Grey,1.0,0.1,t1_incumbent_top10,0.05699849686029883,1.7544322308199853
Black,3.0,0.30000000000000004,t2_emerging_top10,0.3760148263830749,0.7978408800677643
Red,2.0,0.2,t2_emerging_top10,0.04613590146077607,4.335018795937834
Beige,1.0,0.1,t2_emerging_top10,0.0622304199856934,1.606931144334069
Grey,1.0,0.1,t2_emerging_top10,0.05699849686029883,1.7544322308199853
Mole,1.0,0.1,t2_emerging_top10,0.006411788685952374,15.596271945001963
White,1.0,0.1,t2_emerging_top10,0.1366565066926844,0.731761717170788
Pink,1.0,0.1,t2_emerging_top10,0.047599177340901196,2.100876645069066
Black,10.0,0.5,t1_t2_top10_combined,0.3760148263830749,1.3297348001129403
White,3.0,0.15000000000000002,t1_t2_top10_combined,0.1366565066926844,1.097642575756182
Grey,2.0,0.1,t1_t2_top10_combined,0.05699849686029883,1.7544322308199853
Red,2.0,0.1,t1_t2_top10_combined,0.04613590146077607,2.167509397968917
Mole,1.0,0.05,t1_t2_top10_combined,0.006411788685952374,7.798135972500981
Beige,1.0,0.05,t1_t2_top10_combined,0.0622304199856934,0.8034655721670345
Pink,1.0,0.05,t1_t2_top10_combined,0.047599177340901196,1.050438322534533
Black,95.0,0.3544776119402985,guard_passing_styles_by_count,,
White,43.0,0.16044776119402984,guard_passing_styles_by_count,,
Blue,42.0,0.15671641791044777,guard_passing_styles_by_count,,
Pink,19.0,0.0708955223880597,guard_passing_styles_by_count,,
Beige,18.0,0.06716417910447761,guard_passing_styles_by_count,,
Grey,15.0,0.055970149253731345,guard_passing_styles_by_count,,
Khaki green,8.0,0.029850746268656716,guard_passing_styles_by_count,,
Red,7.0,0.026119402985074626,guard_passing_styles_by_count,,
Metal,5.0,0.018656716417910446,guard_passing_styles_by_count,,
Orange,4.0,0.014925373134328358,guard_passing_styles_by_count,,
Black,8.0,0.8,realised_top10_trailing13w_intensity,,
Blue,1.0,0.1,realised_top10_trailing13w_intensity,,
White,1.0,0.1,realised_top10_trailing13w_intensity,,
Black,10876942.0,0.992232050534136,black_bucket_colour_group,,
Dark Grey,85153.0,0.007767949465863961,black_bucket_colour_group,,
