design,split,metric,model_a,model_a_ci_lo,model_a_ci_hi,model_b,model_b_ci_lo,model_b_ci_hi,diff,ci_lo,ci_hi,n_origins,directional_only,verdict
purged,shared_noncovid,hit_at_3_in_top20,0.4666666666666666,0.26666666666666666,0.4666666666666666,0.6,0.4,0.6,0.13333333333333336,0.13333333333333336,0.13333333333333336,5,true,covid_data_hurt_directional_only
purged,shared_noncovid,hit_at_3_in_top10,0.3333333333333333,0.2,0.3333333333333333,0.4,0.26666666666666666,0.4,0.06666666666666668,0.06666666666666668,0.06666666666666668,5,true,covid_data_hurt_directional_only
purged,shared_noncovid,precision_at_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,true,no_difference
purged,shared_noncovid,precision_at_10,0.16,0.1,0.16,0.2,0.12,0.2,0.04,0.019999999999999997,0.04,5,true,covid_data_hurt_directional_only
purged,shared_noncovid,ndcg_at_10,0.8186131997829286,0.7742895170881703,0.8186131997829286,0.8272355945297267,0.7834113360616369,0.8272355945297267,0.008622394746798202,0.007302899775192095,0.010441313945072883,5,true,covid_data_hurt_directional_only
purged,shared_noncovid,spearman_rho,0.7011244266710678,0.6696470968835192,0.7022428535077665,0.6894208082837153,0.6549029299708724,0.6908257764847259,-0.011703618387352432,-0.014744166912646883,-0.011417077023040557,5,true,covid_data_helped_directional_only
purged,shared_noncovid,wmape,0.1756749138816645,0.1723908637034887,0.1990838617315137,0.18011431795548855,0.17455923867617912,0.2038406076517783,0.004439404073824038,0.0021683749726903955,0.004756745920264588,5,true,covid_data_helped_directional_only
purged,all_noncovid,hit_at_3_in_top20,0.5641025641025641,0.2564102564102564,0.7948717948717949,0.46153846153846156,0.20512820512820512,0.5641025641025641,-0.10256410256410256,-0.5384615384615384,0.15384615384615385,13,false,no_difference
purged,all_noncovid,hit_at_3_in_top10,0.41025641025641024,0.2044871794871795,0.6153846153846154,0.28205128205128205,0.07692307692307693,0.358974358974359,-0.1282051282051282,-0.48717948717948717,0.07692307692307693,13,false,no_difference
purged,all_noncovid,precision_at_3,0.1282051282051282,0.0,0.3589743589743589,0.02564102564102564,0.0,0.07692307692307693,-0.10256410256410256,-0.28205128205128205,0.0,13,false,no_difference
