config,grid_index,val_index,val_origin,n_train_origins,n_train_rows,val_rmse,hit_at_3_in_top20,ndcg_at_10
nl15_lr0.05_n200_mcs20,0,4,2019-04-08,1,2895,0.7564887301658177,0.0,0.8112762008858361
nl31_lr0.05_n200_mcs20,1,4,2019-04-08,1,2895,0.7591633563655069,0.0,0.8231479663287019
nl31_lr0.1_n100_mcs20,2,4,2019-04-08,1,2895,0.7680569109188755,0.0,0.800956519865906
nl15_lr0.1_n100_mcs50,3,4,2019-04-08,1,2895,0.7502756550450357,0.0,0.804790513344459
nl63_lr0.05_n200_mcs50,4,4,2019-04-08,1,2895,0.7673526939082737,0.0,0.8189818588755559
nl31_lr0.03_n300_mcs30,5,4,2019-04-08,1,2895,0.7614213036159976,0.0,0.8280003785138954
nl15_lr0.05_n200_mcs20,0,5,2019-05-06,2,5804,0.6603607464229251,0.0,0.8405916721690435
nl31_lr0.05_n200_mcs20,1,5,2019-05-06,2,5804,0.6606545574250119,0.0,0.8195874100969753
nl31_lr0.1_n100_mcs20,2,5,2019-05-06,2,5804,0.6639130846356674,0.0,0.821972421507625
nl15_lr0.1_n100_mcs50,3,5,2019-05-06,2,5804,0.6550664694600468,0.0,0.8162122194592419
nl63_lr0.05_n200_mcs50,4,5,2019-05-06,2,5804,0.6665165092517077,0.0,0.8218721599296925
nl31_lr0.03_n300_mcs30,5,5,2019-05-06,2,5804,0.6597498206753848,0.0,0.8045218007343313
nl15_lr0.05_n200_mcs20,0,6,2019-06-03,3,8744,0.6423280420088153,0.6666666666666666,0.843122197841856
nl31_lr0.05_n200_mcs20,1,6,2019-06-03,3,8744,0.6370711042894258,0.6666666666666666,0.8769934901884204
nl31_lr0.1_n100_mcs20,2,6,2019-06-03,3,8744,0.6397733210884626,0.6666666666666666,0.8794825481195263
nl15_lr0.1_n100_mcs50,3,6,2019-06-03,3,8744,0.6417446151055649,0.0,0.8231085863904203
nl63_lr0.05_n200_mcs50,4,6,2019-06-03,3,8744,0.6429557432124525,0.3333333333333333,0.8350967341582617
nl31_lr0.03_n300_mcs30,5,6,2019-06-03,3,8744,0.6375227169296668,0.6666666666666666,0.8659967189047958
nl15_lr0.05_n200_mcs20,0,7,2019-07-01,4,11719,0.7910254378192128,0.3333333333333333,0.8199426186091439
nl31_lr0.05_n200_mcs20,1,7,2019-07-01,4,11719,0.7891916357310482,0.3333333333333333,0.8400096622003436
nl31_lr0.1_n100_mcs20,2,7,2019-07-01,4,11719,0.7907355596078502,0.3333333333333333,0.7711765235405881
nl15_lr0.1_n100_mcs50,3,7,2019-07-01,4,11719,0.7972554281439551,0.3333333333333333,0.7440402030494718
nl63_lr0.05_n200_mcs50,4,7,2019-07-01,4,11719,0.7860089004719718,0.0,0.7767550549339901
nl31_lr0.03_n300_mcs30,5,7,2019-07-01,4,11719,0.7890742838121211,0.3333333333333333,0.825715514592542
