role,style_key,article_id,units_sold_last_26w,local_image_path,fetch_success
winner_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,610776002,11343,data\images\0610776002.jpg,false
winner_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,800691008,4811,data\images\0800691008.jpg,true
winner_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,554598001,4481,data\images\0554598001.jpg,true
winner_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,778064001,4168,data\images\0778064001.jpg,true
winner_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,827968004,3888,data\images\0827968004.jpg,true
winner_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,865076001,2573,data\images\0865076001.jpg,true
winner_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,767862001,2009,data\images\0767862001.jpg,true
winner_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,843685001,1993,data\images\0843685001.jpg,true
winner_rank_2,Ladieswear || Cardigan || Knitwear || Black || Solid,579541001,3837,data\images\0579541001.jpg,true
winner_rank_2,Ladieswear || Cardigan || Knitwear || Black || Solid,863595006,2744,data\images\0863595006.jpg,true
winner_rank_2,Ladieswear || Cardigan || Knitwear || Black || Solid,916468001,1260,data\images\0916468001.jpg,true
winner_rank_2,Ladieswear || Cardigan || Knitwear || Black || Solid,893059004,1241,data\images\0893059004.jpg,true
winner_rank_2,Ladieswear || Cardigan || Knitwear || Black || Solid,924250001,709,data\images\0924250001.jpg,true
winner_rank_2,Ladieswear || Cardigan || Knitwear || Black || Solid,732017001,658,data\images\0732017001.jpg,true
winner_rank_2,Ladieswear || Cardigan || Knitwear || Black || Solid,894320001,440,data\images\0894320001.jpg,true
winner_rank_2,Ladieswear || Cardigan || Knitwear || Black || Solid,814224001,346,data\images\0814224001.jpg,true
winner_rank_3,Ladieswear || T-shirt || Jersey Basic || White || Solid,610776001,9629,data\images\0610776001.jpg,false
winner_rank_3,Ladieswear || T-shirt || Jersey Basic || White || Solid,800691007,5470,data\images\0800691007.jpg,true
winner_rank_3,Ladieswear || T-shirt || Jersey Basic || White || Solid,827968001,5164,data\images\0827968001.jpg,true
winner_rank_3,Ladieswear || T-shirt || Jersey Basic || White || Solid,778064003,5041,data\images\0778064003.jpg,true
winner_rank_3,Ladieswear || T-shirt || Jersey Basic || White || Solid,554598003,4227,data\images\0554598003.jpg,true
winner_rank_3,Ladieswear || T-shirt || Jersey Basic || White || Solid,772773002,2375,data\images\0772773002.jpg,true
winner_rank_3,Ladieswear || T-shirt || Jersey Basic || White || Solid,767032002,1938,data\images\0767032002.jpg,true
winner_rank_3,Ladieswear || T-shirt || Jersey Basic || White || Solid,554598081,1780,data\images\0554598081.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,798620003,6,data\images\0798620003.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,760878001,5,data\images\0760878001.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,783732002,5,data\images\0783732002.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,798620002,3,data\images\0798620002.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,742747002,1,data\images\0742747002.jpg,true
