role,style_key,article_id,units_sold_last_26w,local_image_path,fetch_success
margin_ref_01,Divided || Trousers || Trousers || Blue || Solid,706016002,6770,data\images\0706016002.jpg,true
margin_ref_01,Divided || Trousers || Trousers || Blue || Solid,448509014,6365,data\images\0448509014.jpg,true
margin_ref_01,Divided || Trousers || Trousers || Blue || Solid,706016003,4649,data\images\0706016003.jpg,true
margin_ref_01,Divided || Trousers || Trousers || Blue || Solid,640021011,4491,data\images\0640021011.jpg,true
margin_ref_01,Divided || Trousers || Trousers || Blue || Solid,706016006,3062,data\images\0706016006.jpg,true
margin_ref_01,Divided || Trousers || Trousers || Blue || Solid,554450036,3053,data\images\0554450036.jpg,true
margin_ref_01,Divided || Trousers || Trousers || Blue || Solid,706016038,2478,data\images\0706016038.jpg,true
margin_ref_01,Divided || Trousers || Trousers || Blue || Solid,706016019,2289,data\images\0706016019.jpg,true
margin_ref_02,Divided || Blouse || Blouses || White || Solid,855531001,694,data\images\0855531001.jpg,true
margin_ref_02,Divided || Blouse || Blouses || White || Solid,723167001,640,data\images\0723167001.jpg,true
margin_ref_02,Divided || Blouse || Blouses || White || Solid,837981001,462,data\images\0837981001.jpg,true
margin_ref_02,Divided || Blouse || Blouses || White || Solid,877037003,459,data\images\0877037003.jpg,true
margin_ref_02,Divided || Blouse || Blouses || White || Solid,723371001,400,data\images\0723371001.jpg,true
margin_ref_02,Divided || Blouse || Blouses || White || Solid,887937001,379,data\images\0887937001.jpg,true
margin_ref_02,Divided || Blouse || Blouses || White || Solid,838770003,343,data\images\0838770003.jpg,true
margin_ref_02,Divided || Blouse || Blouses || White || Solid,896837001,343,data\images\0896837001.jpg,true
margin_ref_03,Ladieswear || Jacket || Outdoor || Beige || Solid,851546003,1507,data\images\0851546003.jpg,true
margin_ref_03,Ladieswear || Jacket || Outdoor || Beige || Solid,861682002,1009,data\images\0861682002.jpg,true
margin_ref_03,Ladieswear || Jacket || Outdoor || Beige || Solid,891591007,973,data\images\0891591007.jpg,true
margin_ref_03,Ladieswear || Jacket || Outdoor || Beige || Solid,872537004,867,data\images\0872537004.jpg,true
margin_ref_03,Ladieswear || Jacket || Outdoor || Beige || Solid,833021004,812,data\images\0833021004.jpg,true
margin_ref_03,Ladieswear || Jacket || Outdoor || Beige || Solid,815883001,777,data\images\0815883001.jpg,true
margin_ref_03,Ladieswear || Jacket || Outdoor || Beige || Solid,878190005,766,data\images\0878190005.jpg,true
margin_ref_03,Ladieswear || Jacket || Outdoor || Beige || Solid,835348001,757,data\images\0835348001.jpg,true
margin_ref_04,Ladieswear || Dress || Jersey Fancy || Black || All over pattern,865171001,1547,data\images\0865171001.jpg,true
margin_ref_04,Ladieswear || Dress || Jersey Fancy || Black || All over pattern,778534008,1047,data\images\0778534008.jpg,true
margin_ref_04,Ladieswear || Dress || Jersey Fancy || Black || All over pattern,888026001,443,data\images\0888026001.jpg,true
margin_ref_04,Ladieswear || Dress || Jersey Fancy || Black || All over pattern,912100001,427,data\images\0912100001.jpg,true
margin_ref_04,Ladieswear || Dress || Jersey Fancy || Black || All over pattern,880343001,396,data\images\0880343001.jpg,true
margin_ref_04,Ladieswear || Dress || Jersey Fancy || Black || All over pattern,927530004,390,data\images\0927530004.jpg,true
margin_ref_04,Ladieswear || Dress || Jersey Fancy || Black || All over pattern,912095003,372,data\images\0912095003.jpg,true
margin_ref_04,Ladieswear || Dress || Jersey Fancy || Black || All over pattern,862092002,288,data\images\0862092002.jpg,true
margin_ref_05,Ladieswear || Dress || Dresses Ladies || Black || Solid,817353002,3783,data\images\0817353002.jpg,true
margin_ref_05,Ladieswear || Dress || Dresses Ladies || Black || Solid,863001001,3054,data\images\0863001001.jpg,true
margin_ref_05,Ladieswear || Dress || Dresses Ladies || Black || Solid,816166001,2613,data\images\0816166001.jpg,true
margin_ref_05,Ladieswear || Dress || Dresses Ladies || Black || Solid,857812003,2466,data\images\0857812003.jpg,true
margin_ref_05,Ladieswear || Dress || Dresses Ladies || Black || Solid,821336001,1849,data\images\0821336001.jpg,true
margin_ref_05,Ladieswear || Dress || Dresses Ladies || Black || Solid,852374005,1839,data\images\0852374005.jpg,true
margin_ref_05,Ladieswear || Dress || Dresses Ladies || Black || Solid,863000005,1562,data\images\0863000005.jpg,true
margin_ref_05,Ladieswear || Dress || Dresses Ladies || Black || Solid,861847005,1489,data\images\0861847005.jpg,true
margin_ref_06,Ladieswear || Bikini top || Swimwear || Green || Solid,559616020,2180,data\images\0559616020.jpg,true
margin_ref_06,Ladieswear || Bikini top || Swimwear || Green || Solid,901955001,2180,data\images\0901955001.jpg,true
margin_ref_06,Ladieswear || Bikini top || Swimwear || Green || Solid,833500002,2166,data\images\0833500002.jpg,true
margin_ref_06,Ladieswear || Bikini top || Swimwear || Green || Solid,841699003,1982,data\images\0841699003.jpg,true
margin_ref_06,Ladieswear || Bikini top || Swimwear || Green || Solid,822946002,1195,data\images\0822946002.jpg,true
margin_ref_06,Ladieswear || Bikini top || Swimwear || Green || Solid,833499006,1137,data\images\0833499006.jpg,true
margin_ref_06,Ladieswear || Bikini top || Swimwear || Green || Solid,811907011,1073,data\images\0811907011.jpg,true
margin_ref_06,Ladieswear || Bikini top || Swimwear || Green || Solid,832320002,948,data\images\0832320002.jpg,true
margin_ref_07,Divided || Trousers || Trousers Denim || Blue || Denim,714790020,6881,data\images\0714790020.jpg,true
margin_ref_07,Divided || Trousers || Trousers Denim || Blue || Denim,799365011,5126,data\images\0799365011.jpg,true
margin_ref_07,Divided || Trousers || Trousers Denim || Blue || Denim,714790008,3645,data\images\0714790008.jpg,true
margin_ref_07,Divided || Trousers || Trousers Denim || Blue || Denim,714790017,3431,data\images\0714790017.jpg,true
margin_ref_07,Divided || Trousers || Trousers Denim || Blue || Denim,746069006,2949,data\images\0746069006.jpg,true
margin_ref_07,Divided || Trousers || Trousers Denim || Blue || Denim,714790021,2790,data\images\0714790021.jpg,true
margin_ref_07,Divided || Trousers || Trousers Denim || Blue || Denim,799365002,2182,data\images\0799365002.jpg,true
margin_ref_07,Divided || Trousers || Trousers Denim || Blue || Denim,687704022,2078,data\images\0687704022.jpg,true
margin_ref_08,Divided || T-shirt || Jersey Basic || White || Solid,806388002,6257,data\images\0806388002.jpg,true
margin_ref_08,Divided || T-shirt || Jersey Basic || White || Solid,678342028,2646,data\images\0678342028.jpg,true
margin_ref_08,Divided || T-shirt || Jersey Basic || White || Solid,718278002,2514,data\images\0718278002.jpg,true
margin_ref_08,Divided || T-shirt || Jersey Basic || White || Solid,825720001,2316,data\images\0825720001.jpg,true
margin_ref_08,Divided || T-shirt || Jersey Basic || White || Solid,624486064,2280,data\images\0624486064.jpg,true
margin_ref_08,Divided || T-shirt || Jersey Basic || White || Solid,711053026,2093,data\images\0711053026.jpg,true
margin_ref_08,Divided || T-shirt || Jersey Basic || White || Solid,855793002,2036,data\images\0855793002.jpg,true
margin_ref_08,Divided || T-shirt || Jersey Basic || White || Solid,864668002,1214,data\images\0864668002.jpg,true
margin_ref_09,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",758034001,3937,data\images\0758034001.jpg,true
margin_ref_09,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",803468002,3357,data\images\0803468002.jpg,true
margin_ref_09,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",278811006,3308,data\images\0278811006.jpg,true
margin_ref_09,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",557599022,3208,data\images\0557599022.jpg,true
margin_ref_09,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",611415001,2690,data\images\0611415001.jpg,true
margin_ref_09,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",757971001,2629,data\images\0757971001.jpg,true
margin_ref_09,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",719655001,2588,data\images\0719655001.jpg,true
margin_ref_09,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",470789001,2057,data\images\0470789001.jpg,true
margin_ref_10,Divided || Dress || Dresses Ladies || Black || Solid,850984004,1586,data\images\0850984004.jpg,true
margin_ref_10,Divided || Dress || Dresses Ladies || Black || Solid,838900001,1202,data\images\0838900001.jpg,true
margin_ref_10,Divided || Dress || Dresses Ladies || Black || Solid,859081001,1064,data\images\0859081001.jpg,true
margin_ref_10,Divided || Dress || Dresses Ladies || Black || Solid,843687005,1044,data\images\0843687005.jpg,true
margin_ref_10,Divided || Dress || Dresses Ladies || Black || Solid,862970001,972,data\images\0862970001.jpg,true
margin_ref_10,Divided || Dress || Dresses Ladies || Black || Solid,794468001,945,data\images\0794468001.jpg,true
margin_ref_10,Divided || Dress || Dresses Ladies || Black || Solid,873895001,937,data\images\0873895001.jpg,true
margin_ref_10,Divided || Dress || Dresses Ladies || Black || Solid,811398005,878,data\images\0811398005.jpg,true
margin_ref_11,Divided || Dress || Dresses Ladies || Black || Check,811333003,995,data\images\0811333003.jpg,true
margin_ref_11,Divided || Dress || Dresses Ladies || Black || Check,829145007,889,data\images\0829145007.jpg,true
margin_ref_11,Divided || Dress || Dresses Ladies || Black || Check,855823005,597,data\images\0855823005.jpg,true
margin_ref_11,Divided || Dress || Dresses Ladies || Black || Check,860489002,575,data\images\0860489002.jpg,true
margin_ref_11,Divided || Dress || Dresses Ladies || Black || Check,850622002,490,data\images\0850622002.jpg,true
margin_ref_11,Divided || Dress || Dresses Ladies || Black || Check,836286001,471,data\images\0836286001.jpg,true
margin_ref_11,Divided || Dress || Dresses Ladies || Black || Check,903868001,342,data\images\0903868001.jpg,true
margin_ref_11,Divided || Dress || Dresses Ladies || Black || Check,917121001,151,data\images\0917121001.jpg,true
margin_ref_12,Divided || Top || Jersey Basic || Black || Solid,733749001,5396,data\images\0733749001.jpg,true
margin_ref_12,Divided || Top || Jersey Basic || Black || Solid,762143001,1855,data\images\0762143001.jpg,true
margin_ref_12,Divided || Top || Jersey Basic || Black || Solid,779551002,1446,data\images\0779551002.jpg,true
margin_ref_12,Divided || Top || Jersey Basic || Black || Solid,779554002,1427,data\images\0779554002.jpg,true
margin_ref_12,Divided || Top || Jersey Basic || Black || Solid,688558001,1192,data\images\0688558001.jpg,true
margin_ref_12,Divided || Top || Jersey Basic || Black || Solid,825580001,897,data\images\0825580001.jpg,true
margin_ref_12,Divided || Top || Jersey Basic || Black || Solid,801673001,806,data\images\0801673001.jpg,true
margin_ref_12,Divided || Top || Jersey Basic || Black || Solid,818754001,739,data\images\0818754001.jpg,true
margin_ref_13,Ladieswear || Dress || Dresses Ladies || Beige || All over pattern,857812002,2689,data\images\0857812002.jpg,true
margin_ref_13,Ladieswear || Dress || Dresses Ladies || Beige || All over pattern,852374003,1854,data\images\0852374003.jpg,true
margin_ref_13,Ladieswear || Dress || Dresses Ladies || Beige || All over pattern,852374001,1564,data\images\0852374001.jpg,true
margin_ref_13,Ladieswear || Dress || Dresses Ladies || Beige || All over pattern,788846012,1523,data\images\0788846012.jpg,true
margin_ref_13,Ladieswear || Dress || Dresses Ladies || Beige || All over pattern,855249006,1424,data\images\0855249006.jpg,true
margin_ref_13,Ladieswear || Dress || Dresses Ladies || Beige || All over pattern,817491004,1217,data\images\0817491004.jpg,true
margin_ref_13,Ladieswear || Dress || Dresses Ladies || Beige || All over pattern,876680001,1101,data\images\0876680001.jpg,true
margin_ref_13,Ladieswear || Dress || Dresses Ladies || Beige || All over pattern,829017005,932,data\images\0829017005.jpg,true
margin_ref_14,Ladieswear || Dress || Dresses Ladies || Pink || Solid,817361007,1886,data\images\0817361007.jpg,true
margin_ref_14,Ladieswear || Dress || Dresses Ladies || Pink || Solid,859424001,1528,data\images\0859424001.jpg,true
