source,analysis,window,x,lag_weeks,n_weeks,median_styles_per_week,mean_rho,ci_lo,ci_hi
google_trends,concurrent,pre_test,signal,0,38,2500.5,0.11117252673928289,0.07616410936900628,0.1610511687224292
google_trends,concurrent,all,signal,0,98,2545.0,0.12399990819177265,0.08910109021256929,0.1591462480285276
google_trends,concurrent,pre_test,sales_own,0,38,2926.5,1.0,1.0,1.0
google_trends,concurrent,all,sales_own,0,98,3007.0,1.0,1.0,1.0
google_trends,forward,pre_test,signal,0,5,2508.0,0.275391836813501,0.17151073688336999,0.34531039105375044
google_trends,forward,all,signal,0,20,2546.0,0.24951161148917475,0.19347646718865674,0.334241544222312
google_trends,forward,pre_test,sales_own,0,5,2896.0,0.26790149814206027,0.22513991103922132,0.31235878651837173
google_trends,forward,all,sales_own,0,20,2993.0,0.2032693084595416,0.15961137710620144,0.2621210552444951
google_trends,concurrent,pre_test,signal,2,38,2500.5,0.08555249365001112,0.038851966441680166,0.14451271491698436
google_trends,concurrent,all,signal,2,98,2545.0,0.10307018084708491,0.06459267609718906,0.13715343890774637
google_trends,concurrent,pre_test,sales_own,2,36,2920.0,0.5016394313483904,0.48452926843039923,0.5258628190852045
google_trends,concurrent,all,sales_own,2,96,3005.5,0.4974989603244701,0.4672687562002324,0.5226736846969803
google_trends,forward,pre_test,signal,2,5,2498.0,0.24296460588192054,0.1433646971255599,0.26541149826430205
google_trends,forward,all,signal,2,20,2542.0,0.22274160121599845,0.1667793410111583,0.31495041813346514
google_trends,forward,pre_test,sales_own,2,5,2892.0,0.18112965527584285,0.1278191553798775,0.22435592810274158
google_trends,forward,all,sales_own,2,20,2989.5,0.15218229670627598,0.11789122554146357,0.2164056066128856
google_trends,concurrent,pre_test,signal,4,38,2500.5,0.06780881628185319,0.008094926540789393,0.13815227993731982
google_trends,concurrent,all,signal,4,98,2545.0,0.0707537331054911,0.029472718653717412,0.11023233536549008
google_trends,concurrent,pre_test,sales_own,4,34,2912.5,-0.05880076269808717,-0.09066603169772185,-0.018650998979229224
google_trends,concurrent,all,sales_own,4,94,3003.5,-0.07355572909776324,-0.1228611448528926,-0.02678492309013804
google_trends,forward,pre_test,signal,4,5,2489.0,0.19711471706753012,0.07704225743497947,0.19711471706753012
google_trends,forward,all,signal,4,20,2540.0,0.1999669721900739,0.14309429321229353,0.30301444591393734
google_trends,forward,pre_test,sales_own,4,5,2879.0,0.13994112498317404,0.05423405764544857,0.1693054166352277
google_trends,forward,all,sales_own,4,20,2984.0,0.1197295399322662,0.08169197733291758,0.19256261038629144
google_trends,concurrent,pre_test,signal,8,34,2505.5,0.035070308638243036,-0.02189747245542744,0.109268333095525
google_trends,concurrent,all,signal,8,94,2545.0,0.003548771806341978,-0.04117035326341401,0.04250886619810305
google_trends,concurrent,pre_test,sales_own,8,30,2903.0,-0.04614754992210555,-0.0832168960031638,-0.0014421935520322325
google_trends,concurrent,all,sales_own,8,90,2999.0,-0.09131763924123,-0.12780912863278196,-0.05999875236764793
google_trends,forward,pre_test,signal,8,5,2480.0,0.038257463152993054,-0.07458919130239591,0.03906114625567044
google_trends,forward,all,signal,8,20,2533.5,0.11268564638571324,0.02621673937439399,0.2347168691312217
google_trends,forward,pre_test,sales_own,8,4,2863.0,0.07863479155510783,0.07863479155510783,0.07863479155510783
google_trends,forward,all,sales_own,8,19,2975.0,0.08205010997752153,0.02901993731635938,0.1418530968549197
wikipedia,concurrent,pre_test,signal,0,38,2448.5,0.06680809117812757,0.04208934468875539,0.10381382473491223
wikipedia,concurrent,all,signal,0,98,2510.5,0.07185371722701575,0.04196481294091114,0.10172613113774627
wikipedia,concurrent,pre_test,sales_own,0,38,2926.5,1.0,1.0,1.0
wikipedia,concurrent,all,sales_own,0,98,3007.0,1.0,1.0,1.0
wikipedia,forward,pre_test,signal,0,5,2459.0,0.16901519289428418,0.10686085308381314,0.22836137123174277
wikipedia,forward,all,signal,0,20,2508.5,0.13851579981255419,0.10695406147589291,0.19070223272455264
wikipedia,forward,pre_test,sales_own,0,5,2896.0,0.26790149814206027,0.22513991103922132,0.31235878651837173
wikipedia,forward,all,sales_own,0,20,2993.0,0.2032693084595416,0.15961137710620144,0.2621210552444951
wikipedia,concurrent,pre_test,signal,2,38,2448.5,0.062197913585693994,0.021867763431454385,0.11369112520444624
wikipedia,concurrent,all,signal,2,98,2510.5,0.06899284157801537,0.035891964308991754,0.10337460659279617
wikipedia,concurrent,pre_test,sales_own,2,36,2920.0,0.5016394313483904,0.48452926843039923,0.5258628190852045
wikipedia,concurrent,all,sales_own,2,96,3005.5,0.4974989603244701,0.4672687562002324,0.5226736846969803
wikipedia,forward,pre_test,signal,2,5,2446.0,0.17272751852430315,0.10361309767795508,0.2172154343892932
wikipedia,forward,all,signal,2,20,2507.0,0.13739661590223154,0.09760317275809198,0.20862127096158015
wikipedia,forward,pre_test,sales_own,2,5,2892.0,0.18112965527584285,0.1278191553798775,0.22435592810274158
wikipedia,forward,all,sales_own,2,20,2989.5,0.15218229670627598,0.11789122554146357,0.2164056066128856
wikipedia,concurrent,pre_test,signal,4,37,2451.0,0.050153888831433194,-0.002701472070933816,0.1102932828236355
wikipedia,concurrent,all,signal,4,97,2509.0,0.05469020045456934,0.01929129002478578,0.08877614061659643
wikipedia,concurrent,pre_test,sales_own,4,34,2912.5,-0.05880076269808717,-0.09066603169772185,-0.018650998979229224
wikipedia,concurrent,all,sales_own,4,94,3003.5,-0.07355572909776324,-0.1228611448528926,-0.02678492309013804
wikipedia,forward,pre_test,signal,4,5,2432.0,0.12080631400200917,0.051530186534195256,0.1292684743894912
