style_key,term,unmapped_reason
Baby/Children || Bag || Accessories || Pink || Solid,pink bag,
Baby/Children || Ballerinas || Shoes || Black || Solid,black ballet flats,
Baby/Children || Ballerinas || Shoes || Metal || Solid,,colour unmapped
Baby/Children || Ballerinas || Shoes || Pink || Solid,pink ballet flats,
Baby/Children || Ballerinas || Shoes || White || Solid,white ballet flats,
Baby/Children || Belt || Accessories || Black || Solid,black belt,
Baby/Children || Blazer || Shirts || Black || Solid,black blazer,
Baby/Children || Blazer || Shirts || Blue || Other structure,blue blazer,
Baby/Children || Blazer || Shirts || Blue || Solid,blue blazer,
Baby/Children || Blouse || Dresses/Skirts girls || Black || Solid,black blouse,
Baby/Children || Blouse || Dresses/Skirts girls || Blue || All over pattern,blue blouse,
Baby/Children || Blouse || Dresses/Skirts girls || Blue || Chambray,blue blouse,
Baby/Children || Blouse || Dresses/Skirts girls || Blue || Solid,blue blouse,
Baby/Children || Blouse || Dresses/Skirts girls || Blue || Stripe,blue blouse,
Baby/Children || Blouse || Dresses/Skirts girls || Khaki green || Solid,khaki blouse,
Baby/Children || Blouse || Dresses/Skirts girls || Pink || All over pattern,pink blouse,
Baby/Children || Blouse || Dresses/Skirts girls || Pink || Solid,pink blouse,
Baby/Children || Blouse || Dresses/Skirts girls || White || All over pattern,white blouse,
Baby/Children || Blouse || Dresses/Skirts girls || White || Solid,white blouse,
Baby/Children || Bodysuit || Jersey Basic || Blue || All over pattern,blue bodysuit,
Baby/Children || Bodysuit || Jersey Basic || Blue || Solid,blue bodysuit,
Baby/Children || Bodysuit || Jersey Basic || Grey || All over pattern,grey bodysuit,
Baby/Children || Bodysuit || Jersey Basic || Pink || All over pattern,pink bodysuit,
Baby/Children || Bodysuit || Jersey Basic || Pink || Solid,pink bodysuit,
Baby/Children || Bodysuit || Jersey Basic || White || All over pattern,white bodysuit,
Baby/Children || Bodysuit || Jersey Basic || White || Solid,white bodysuit,
Baby/Children || Bodysuit || Jersey Fancy || Blue || Stripe,blue bodysuit,
Baby/Children || Bodysuit || Jersey Fancy || Pink || All over pattern,pink bodysuit,
Baby/Children || Bodysuit || Jersey Fancy || White || All over pattern,white bodysuit,
Baby/Children || Bodysuit || Jersey Fancy || White || Front print,white bodysuit,
Baby/Children || Bodysuit || Jersey Fancy || White || Solid,white bodysuit,
Baby/Children || Boots || Shoes || Black || Solid,black boots,
Baby/Children || Boots || Shoes || Brown || Solid,brown boots,
Baby/Children || Cap/peaked || Accessories || Blue || Solid,blue cap,
Baby/Children || Cap/peaked || Jersey Fancy || White || Solid,white cap,
Baby/Children || Cardigan || Knitwear || Black || Solid,black cardigan,
Baby/Children || Cardigan || Knitwear || Blue || Solid,blue cardigan,
Baby/Children || Cardigan || Knitwear || Grey || Melange,grey cardigan,
Baby/Children || Cardigan || Knitwear || Grey || Solid,grey cardigan,
Baby/Children || Cardigan || Knitwear || Pink || Melange,pink cardigan,
Baby/Children || Cardigan || Knitwear || Pink || Solid,pink cardigan,
Baby/Children || Cardigan || Knitwear || White || Solid,white cardigan,
Baby/Children || Cardigan || Knitwear || Yellow || Solid,yellow cardigan,
Baby/Children || Dress || Accessories || Pink || Solid,pink dress,
Baby/Children || Dress || Dresses/Skirts girls || Black || All over pattern,black dress,
Baby/Children || Dress || Dresses/Skirts girls || Blue || All over pattern,blue dress,
Baby/Children || Dress || Dresses/Skirts girls || Blue || Chambray,blue dress,
Baby/Children || Dress || Dresses/Skirts girls || Blue || Solid,blue dress,
