term,week_start,value
black dress,2018-08-27,68.0
black dress,2018-09-03,72.0
black dress,2018-09-10,77.0
black dress,2018-09-17,78.0
black dress,2018-09-24,81.0
black dress,2018-10-01,81.0
black dress,2018-10-08,85.0
black dress,2018-10-15,90.0
black dress,2018-10-22,89.0
black dress,2018-10-29,80.0
black dress,2018-11-05,78.0
black dress,2018-11-12,80.0
black dress,2018-11-19,93.0
black dress,2018-11-26,89.0
black dress,2018-12-03,91.0
black dress,2018-12-10,89.0
black dress,2018-12-17,69.0
black dress,2018-12-24,67.0
black dress,2018-12-31,70.0
black dress,2019-01-07,68.0
black dress,2019-01-14,69.0
black dress,2019-01-21,71.0
black dress,2019-01-28,68.0
black dress,2019-02-04,70.0
black dress,2019-02-11,71.0
black dress,2019-02-18,76.0
black dress,2019-02-25,73.0
black dress,2019-03-04,73.0
black dress,2019-03-11,66.0
black dress,2019-03-18,70.0
black dress,2019-03-25,70.0
black dress,2019-04-01,74.0
black dress,2019-04-08,70.0
black dress,2019-04-15,69.0
black dress,2019-04-22,70.0
black dress,2019-04-29,75.0
black dress,2019-05-06,76.0
black dress,2019-05-13,71.0
black dress,2019-05-20,68.0
black dress,2019-05-27,68.0
black dress,2019-06-03,65.0
black dress,2019-06-10,64.0
black dress,2019-06-17,65.0
black dress,2019-06-24,61.0
black dress,2019-07-01,61.0
black dress,2019-07-08,65.0
black dress,2019-07-15,67.0
black dress,2019-07-22,67.0
black dress,2019-07-29,63.0
black dress,2019-08-05,66.0
black dress,2019-08-12,68.0
black dress,2019-08-19,69.0
black dress,2019-08-26,69.0
black dress,2019-09-02,71.0
black dress,2019-09-09,75.0
black dress,2019-09-16,81.0
black dress,2019-09-23,83.0
black dress,2019-09-30,84.0
black dress,2019-10-07,87.0
black dress,2019-10-14,86.0
black dress,2019-10-21,89.0
black dress,2019-10-28,86.0
black dress,2019-11-04,82.0
black dress,2019-11-11,85.0
black dress,2019-11-18,93.0
black dress,2019-11-25,100.0
black dress,2019-12-02,91.0
black dress,2019-12-09,81.0
black dress,2019-12-16,75.0
black dress,2019-12-23,72.0
black dress,2019-12-30,75.0
black dress,2020-01-06,69.0
black dress,2020-01-13,70.0
black dress,2020-01-20,74.0
black dress,2020-01-27,72.0
black dress,2020-02-03,70.0
black dress,2020-02-10,73.0
black dress,2020-02-17,72.0
black dress,2020-02-24,77.0
black dress,2020-03-02,71.0
black dress,2020-03-09,55.0
black dress,2020-03-16,34.0
black dress,2020-03-23,29.0
black dress,2020-03-30,31.0
black dress,2020-04-06,35.0
black dress,2020-04-13,36.0
black dress,2020-04-20,37.0
black dress,2020-04-27,37.0
black dress,2020-05-04,39.0
black dress,2020-05-11,40.0
black dress,2020-05-18,46.0
black dress,2020-05-25,46.0
black dress,2020-06-01,46.0
black dress,2020-06-08,51.0
black dress,2020-06-15,51.0
black dress,2020-06-22,49.0
black dress,2020-06-29,53.0
black dress,2020-07-06,54.0
black dress,2020-07-13,57.0
black dress,2020-07-20,57.0
black dress,2020-07-27,57.0
black dress,2020-08-03,57.0
black dress,2020-08-10,59.0
black dress,2020-08-17,60.0
black dress,2020-08-24,59.0
black dress,2020-08-31,56.0
black dress,2020-09-07,60.0
black dress,2020-09-14,58.0
black dress,2020-09-21,58.0
black dress,2020-09-28,60.0
black trousers,2018-08-27,80.0
black trousers,2018-09-03,75.0
black trousers,2018-09-10,72.0
black trousers,2018-09-17,72.0
black trousers,2018-09-24,69.0
black trousers,2018-10-01,73.0
black trousers,2018-10-08,70.0
black trousers,2018-10-15,71.0
black trousers,2018-10-22,70.0
black trousers,2018-10-29,68.0
black trousers,2018-11-05,73.0
black trousers,2018-11-12,77.0
black trousers,2018-11-19,98.0
black trousers,2018-11-26,87.0
black trousers,2018-12-03,79.0
black trousers,2018-12-10,76.0
black trousers,2018-12-17,60.0
