term,week_start,value
Bag,2018-09-03,2021
Bag,2018-09-10,2017
Bag,2018-09-17,2076
Bag,2018-09-24,1925
Bag,2018-10-01,1917
Bag,2018-10-08,2018
Bag,2018-10-15,1984
Bag,2018-10-22,2064
Bag,2018-10-29,1867
Bag,2018-11-05,1823
Bag,2018-11-12,2063
Bag,2018-11-19,2004
Bag,2018-11-26,1987
Bag,2018-12-03,2339
Bag,2018-12-10,2461
Bag,2018-12-17,1733
Bag,2018-12-24,1522
Bag,2018-12-31,1678
Bag,2019-01-07,2073
Bag,2019-01-14,1976
Bag,2019-01-21,2107
Bag,2019-01-28,1932
Bag,2019-02-04,2077
Bag,2019-02-11,1999
Bag,2019-02-18,1963
Bag,2019-02-25,1974
Bag,2019-03-04,1893
Bag,2019-03-11,1942
Bag,2019-03-18,1842
Bag,2019-03-25,2051
Bag,2019-04-01,2002
Bag,2019-04-08,1772
Bag,2019-04-15,1663
Bag,2019-04-22,2170
Bag,2019-04-29,1682
Bag,2019-05-06,1709
Bag,2019-05-13,1785
Bag,2019-05-20,1625
Bag,2019-05-27,1597
Bag,2019-06-03,1777
Bag,2019-06-10,1957
Bag,2019-06-17,1970
Bag,2019-06-24,2063
Bag,2019-07-01,2353
Bag,2019-07-08,2172
Bag,2019-07-15,1981
Bag,2019-07-22,1868
Bag,2019-07-29,2042
Bag,2019-08-05,1985
Bag,2019-08-12,1955
Bag,2019-08-19,2142
Bag,2019-08-26,2129
Bag,2019-09-02,2234
Bag,2019-09-09,2288
Bag,2019-09-16,2414
Bag,2019-09-23,2539
Bag,2019-09-30,2439
Bag,2019-10-07,2730
Bag,2019-10-14,2831
Bag,2019-10-21,2615
Bag,2019-10-28,2382
Bag,2019-11-04,2702
Bag,2019-11-11,5678
Bag,2019-11-18,2735
Bag,2019-11-25,2367
Bag,2019-12-02,2441
Bag,2019-12-09,2585
Bag,2019-12-16,4683
Bag,2019-12-23,2423
Bag,2019-12-30,1957
Bag,2020-01-06,2408
Bag,2020-01-13,2359
Bag,2020-01-20,2481
Bag,2020-01-27,2556
Bag,2020-02-03,2684
Bag,2020-02-10,2266
Bag,2020-02-17,2384
Bag,2020-02-24,2431
Bag,2020-03-02,2203
Bag,2020-03-09,2117
Bag,2020-03-16,1896
Bag,2020-03-23,1818
Bag,2020-03-30,1835
Bag,2020-04-06,1831
Bag,2020-04-13,1876
Bag,2020-04-20,1882
Bag,2020-04-27,1719
Bag,2020-05-04,1486
Bag,2020-05-11,1286
Bag,2020-05-18,1142
Bag,2020-05-25,1222
Bag,2020-06-01,1171
Bag,2020-06-08,1208
Bag,2020-06-15,1096
Bag,2020-06-22,1149
Bag,2020-06-29,1081
Bag,2020-07-06,1204
Bag,2020-07-13,1133
Bag,2020-07-20,1235
Bag,2020-07-27,1147
Bag,2020-08-03,1264
Bag,2020-08-10,1144
Bag,2020-08-17,1310
Bag,2020-08-24,1499
Bag,2020-08-31,1430
Bag,2020-09-07,1515
Bag,2020-09-14,1485
Bag,2020-09-21,1254
Baseball cap,2018-09-03,2517
Baseball cap,2018-09-10,2578
Baseball cap,2018-09-17,2461
Baseball cap,2018-09-24,2598
Baseball cap,2018-10-01,2759
Baseball cap,2018-10-08,2834
Baseball cap,2018-10-15,2509
Baseball cap,2018-10-22,2705
Baseball cap,2018-10-29,2477
Baseball cap,2018-11-05,2360
Baseball cap,2018-11-12,2239
Baseball cap,2018-11-19,2279
Baseball cap,2018-11-26,2324
Baseball cap,2018-12-03,2581
Baseball cap,2018-12-10,2513
Baseball cap,2018-12-17,2047
Baseball cap,2018-12-24,2007
Baseball cap,2018-12-31,2081
Baseball cap,2019-01-07,2288
Baseball cap,2019-01-14,2323
Baseball cap,2019-01-21,2261
Baseball cap,2019-01-28,2220
Baseball cap,2019-02-04,2208
Baseball cap,2019-02-11,2219
Baseball cap,2019-02-18,2118
Baseball cap,2019-02-25,2323
Baseball cap,2019-03-04,2362
Baseball cap,2019-03-11,2466
Baseball cap,2019-03-18,2572
Baseball cap,2019-03-25,2992
Baseball cap,2019-04-01,3062
Baseball cap,2019-04-08,2952
Baseball cap,2019-04-15,2891
Baseball cap,2019-04-22,2957
Baseball cap,2019-04-29,3007
Baseball cap,2019-05-06,2915
Baseball cap,2019-05-13,3164
