origin_week,n_eval_styles,n_with_signal,share_with_signal
2019-07-29,3037,2573,0.8472176489957195
2019-08-26,3043,2577,0.8468616496878081
2019-09-23,3042,2574,0.8461538461538461
2019-10-21,3042,2574,0.8461538461538461
2019-11-18,3028,2563,0.8464332892998679
2019-12-16,3014,2549,0.8457199734571997
2020-01-13,3009,2544,0.8454636091724825
2020-02-10,3007,2540,0.8446957100099767
2020-03-09,2991,2527,0.8448679371447676
2020-04-06,2956,2497,0.8447225981055481
2020-05-04,2906,2458,0.8458362009635237
2020-06-01,2763,2335,0.8450959102424901
