rank,feature,group,mean_abs_shap,share,n_train_origins,n_train_rows,n_features
1,lag_1,existing,0.4029761167859536,0.30388341214818815,16,48003,35
2,n_active_articles_level,existing,0.21320353380555457,0.16077632057111985,16,48003,35
3,product_type_name,existing,0.07034305803412111,0.053045546884608434,16,48003,35
4,fourier_sin_1,existing,0.05886637948944535,0.044391008585663916,16,48003,35
5,perceived_colour_master_name,existing,0.05822913770672078,0.04391046594496793,16,48003,35
6,index_group_name,existing,0.04907589289518672,0.03700802396468027,16,48003,35
7,garment_group_name,existing,0.044856078341315934,0.03382587099866723,16,48003,35
8,n_active_articles_trend_13w,existing,0.04225847829585487,0.03186702646091444,16,48003,35
9,graphical_appearance_name,existing,0.036363220426147314,0.027421425338871375,16,48003,35
10,sg_level_rel13,signal,0.036053432056316566,0.02718781460377663,16,48003,35
11,share_garment_group,existing,0.03392508678092099,0.02558283406628184,16,48003,35
12,lag_2,existing,0.026832760403632205,0.0202345261894061,16,48003,35
13,sg_rel_52w,signal,0.02494849706363489,0.018813607307882736,16,48003,35
14,slope_13w,existing,0.02491467567937656,0.01878810267566292,16,48003,35
15,price_index_level,existing,0.02005926238429622,0.015126646082982483,16,48003,35
16,fourier_cos_2,existing,0.019604634818505925,0.014783812425616227,16,48003,35
17,share_index_group,existing,0.018606495949304247,0.014031118077896728,16,48003,35
18,ewma_halflife_13w,existing,0.01483779823581618,0.01118915133886504,16,48003,35
19,fourier_sin_2,existing,0.013569020702808026,0.010232368964111367,16,48003,35
20,weeks_since_first_seen,existing,0.013355443233625156,0.010071310659686495,16,48003,35
21,lag_52,existing,0.012496907768914161,0.009423890935293286,16,48003,35
22,sg_slope_4w,signal,0.012481699479991382,0.009412422397734162,16,48003,35
23,fourier_cos_1,existing,0.011943813634118073,0.009006803852660394,16,48003,35
24,ewma_halflife_4w,existing,0.010389083119831147,0.00783438495741512,16,48003,35
25,slope_4w,existing,0.009335415261645956,0.007039816320022984,16,48003,35
26,sg_slope_13w,signal,0.009200222310788151,0.006937867610177051,16,48003,35
27,price_index_trend_13w,existing,0.008289431004613216,0.006251041869528115,16,48003,35
28,sg_div_13w,signal,0.005621550788081655,0.00423919920781304,16,48003,35
29,lag_13,existing,0.004805938027832103,0.003624147401385798,16,48003,35
30,sg_lead4,signal_lead,0.004375964390364593,0.0032999052176814025,16,48003,35
31,sg_div_4w,signal,0.0033624474476552798,0.0025356142982170624,16,48003,35
32,lag_4,existing,0.0029946095506074434,0.0022582285410564615,16,48003,35
33,lag_8,existing,0.0027183908276710387,0.002049932603583535,16,48003,35
34,sg_lead8,signal_lead,0.0026780921298780467,0.002019543443332215,16,48003,35
35,sg_lead2,signal_lead,0.0025153342151389164,0.0018968080542487924,16,48003,35
