rank_unguarded,style_key,index_group_name,product_type_name,garment_group_name,perceived_colour_master_name,graphical_appearance_name,price_index_level,predicted_intensity,guard1_n_active_articles_trailing_mean,guard3_n_weeks_active_trailing,guard1_pass,guard2_pass,guard3_pass,all_guards_pass
1,Ladieswear || Hoodie || Jersey Basic || Black || Solid,Ladieswear,Hoodie,Jersey Basic,Black,Solid,1.0597463949766324,48.00784516621666,2.1538461538461537,52,false,true,true,false
2,Sport || Leggings/Tights || Jersey Fancy || Black || Melange,Sport,Leggings/Tights,Jersey Fancy,Black,Melange,1.2161639237991404,40.0416663564981,3.5384615384615383,52,false,true,true,false
3,Divided || Hoodie || Jersey Basic || Black || Solid,Divided,Hoodie,Jersey Basic,Black,Solid,0.9665081870412605,36.72262937731717,3.923076923076923,52,false,true,true,false
4,Ladieswear || Blazer || Dressed || Brown || Check,Ladieswear,Blazer,Dressed,Brown,Check,1.506355327947066,35.199395848322446,0.7692307692307693,42,false,true,true,false
5,Ladieswear || Blazer || Dressed || Black || Check,Ladieswear,Blazer,Dressed,Black,Check,1.1651746610251972,34.373427058869304,2.0,49,false,true,true,false
6,Ladieswear || T-shirt || Jersey Basic || Black || Solid,Ladieswear,T-shirt,Jersey Basic,Black,Solid,1.0589412126425564,33.773553456977744,23.0,52,true,true,true,true
7,Ladieswear || Hoodie || Jersey Basic || Mole || Solid,Ladieswear,Hoodie,Jersey Basic,Mole,Solid,1.0375171583520864,31.445606199879208,2.0,50,false,true,true,false
8,"Ladieswear || Pyjama bottom || Under-, Nightwear || Black || Solid",Ladieswear,Pyjama bottom,"Under-, Nightwear",Black,Solid,1.0212526345060784,31.33387853226494,2.076923076923077,52,false,true,true,false
9,"Divided || Underwear bottom || Under-, Nightwear || Black || Solid",Divided,Underwear bottom,"Under-, Nightwear",Black,Solid,1.1221727924494829,30.780497095095264,6.461538461538462,52,false,true,true,false
10,Ladieswear || Top || Knitwear || Black || Solid,Ladieswear,Top,Knitwear,Black,Solid,1.733569778450991,29.536839665625628,5.923076923076923,52,false,true,true,false
11,Divided || Sweater || Jersey Basic || Black || Solid,Divided,Sweater,Jersey Basic,Black,Solid,1.4225838292330866,29.0804606178471,4.076923076923077,52,false,true,true,false
12,Ladieswear || Blazer || Dressed || Grey || Solid,Ladieswear,Blazer,Dressed,Grey,Solid,1.0210689879564914,28.363148725040393,2.4615384615384617,52,false,true,true,false
13,Ladieswear || Trousers || Trousers || Black || Treatment,Ladieswear,Trousers,Trousers,Black,Treatment,1.768979205023769,28.0443592438437,7.846153846153846,52,false,true,true,false
14,Sport || Hoodie || Jersey Fancy || Black || Melange,Sport,Hoodie,Jersey Fancy,Black,Melange,1.0302960811011281,27.969469059672523,1.8461538461538463,52,false,true,true,false
15,Divided || Leggings/Tights || Trousers || Black || Solid,Divided,Leggings/Tights,Trousers,Black,Solid,1.2964313270911418,27.46947615825697,3.6923076923076925,52,false,true,true,false
16,Divided || Trousers || Jersey Basic || Black || Solid,Divided,Trousers,Jersey Basic,Black,Solid,1.0647380180115806,27.36523619379833,5.615384615384615,52,false,true,true,false
17,Menswear || Hoodie || Jersey Basic || Green || Solid,Menswear,Hoodie,Jersey Basic,Green,Solid,1.0189857808702463,26.947555630491014,1.8461538461538463,38,false,true,true,false
18,Ladieswear || Blazer || Dressed || Black || Solid,Ladieswear,Blazer,Dressed,Black,Solid,0.9808632482209989,26.884951094655623,20.692307692307693,52,true,true,true,true
19,Ladieswear || Top || Jersey Basic || Black || Solid,Ladieswear,Top,Jersey Basic,Black,Solid,1.0187242203921894,26.806200859583825,14.23076923076923,52,true,true,true,true
20,Divided || Hoodie || Jersey Basic || Grey || Melange,Divided,Hoodie,Jersey Basic,Grey,Melange,1.024646739515569,26.73469144134471,5.846153846153846,52,false,true,true,false
21,Divided || Leggings/Tights || Jersey Basic || Black || Solid,Divided,Leggings/Tights,Jersey Basic,Black,Solid,1.0584185851079468,26.616766977685817,7.769230769230769,52,false,true,true,false
22,Divided || Cardigan || Knitwear || Grey || Melange,Divided,Cardigan,Knitwear,Grey,Melange,1.4569870085062235,26.583590957497194,4.153846153846154,52,false,true,true,false
