rank_unguarded,style_key,index_group_name,product_type_name,garment_group_name,perceived_colour_master_name,graphical_appearance_name,price_index_level,predicted_intensity,guard1_n_active_articles_trailing_mean,guard3_n_weeks_active_trailing,guard1_pass,guard2_pass,guard3_pass,y_true_log,realised_intensity
1,Ladieswear || Swimwear bottom || Swimwear || Black || Other structure,Ladieswear,Swimwear bottom,Swimwear,Black,Other structure,1.0520850194045759,99.76661952553334,10.461538461538462,52,true,true,true,3.931752425220386,49.99626655395887
2,Ladieswear || Bikini top || Swimwear || Green || Other structure,Ladieswear,Bikini top,Swimwear,Green,Other structure,1.1135881645262447,87.28432649845944,6.230769230769231,52,false,true,true,3.842789393296208,45.65543345543346
3,Ladieswear || Swimwear bottom || Swimwear || Green || Other structure,Ladieswear,Swimwear bottom,Swimwear,Green,Other structure,0.9431358014915997,87.20977091251179,4.615384615384615,52,false,true,true,3.705422267052958,39.66721611721612
4,Ladieswear || Bikini top || Swimwear || Yellow || Other structure,Ladieswear,Bikini top,Swimwear,Yellow,Other structure,0.9881634122363695,83.68114188596466,7.769230769230769,52,false,true,true,4.159044540798688,63.0103341103341
5,Ladieswear || Swimwear bottom || Swimwear || Blue || Other structure,Ladieswear,Swimwear bottom,Swimwear,Blue,Other structure,1.2287174632848024,81.98742890068259,2.923076923076923,44,false,true,true,4.0004983591208,53.62536630036628
6,Ladieswear || Swimwear bottom || Swimwear || White || Other structure,Ladieswear,Swimwear bottom,Swimwear,White,Other structure,1.1726495373165706,78.12427752158915,9.307692307692308,52,false,true,true,3.7132267686973788,39.985845225664235
7,Ladieswear || Socks || Socks and Tights || White || Solid,Ladieswear,Socks,Socks and Tights,White,Solid,1.0700138911014394,75.99652357611264,8.692307692307692,52,false,true,true,4.344583381306639,76.05992618492617
8,Ladieswear || Swimwear bottom || Swimwear || Yellow || Other structure,Ladieswear,Swimwear bottom,Swimwear,Yellow,Other structure,0.8447355819656108,74.16861795813078,7.0,52,false,false,true,4.016905934532195,54.52902930402932
9,Ladieswear || Swimwear bottom || Swimwear || Red || Solid,Ladieswear,Swimwear bottom,Swimwear,Red,Solid,1.3330339461843281,72.2491375087134,11.23076923076923,52,true,true,true,3.933672968712875,50.0943012116089
10,Ladieswear || Bikini top || Swimwear || White || Other structure,Ladieswear,Bikini top,Swimwear,White,Other structure,1.00976272311359,69.59600778369628,8.153846153846153,52,false,true,true,3.8466817489117235,45.83738687782806
11,Ladieswear || Swimwear bottom || Swimwear || Black || Solid,Ladieswear,Swimwear bottom,Swimwear,Black,Solid,1.2506423035986494,69.10057877829848,43.61538461538461,52,true,true,true,3.8802950734528348,47.43850588000253
12,Ladieswear || Bikini top || Swimwear || Red || Solid,Ladieswear,Bikini top,Swimwear,Red,Solid,1.2895242160083868,68.08966484706403,9.0,52,false,true,true,3.7549163521643356,41.7306453350571
13,Ladieswear || Shorts || Shorts || Grey || Denim,Ladieswear,Shorts,Shorts,Grey,Denim,1.0520357167722496,67.29954681059394,8.538461538461538,52,false,true,true,3.623244299720904,36.45889879351417
14,Ladieswear || Swimwear bottom || Swimwear || Pink || Other structure,Ladieswear,Swimwear bottom,Swimwear,Pink,Other structure,,66.74594284850369,6.846153846153846,25,false,false,false,3.5199703770260293,32.783427683427675
15,Ladieswear || T-shirt || Jersey Basic || White || Solid,Ladieswear,T-shirt,Jersey Basic,White,Solid,1.160707188870791,66.32299000835476,22.76923076923077,52,true,true,true,4.239933805857711,68.4032575975922
16,Ladieswear || T-shirt || Jersey Basic || Black || Solid,Ladieswear,T-shirt,Jersey Basic,Black,Solid,1.04041484907945,64.96630929638033,24.46153846153846,52,true,true,true,4.276817108113922,71.01087203580516
17,Ladieswear || Bikini top || Swimwear || Pink || Other structure,Ladieswear,Bikini top,Swimwear,Pink,Other structure,,64.80527343196088,7.461538461538462,25,false,false,false,3.540781955622753,33.49388133234287
18,Ladieswear || Vest top || Jersey Basic || White || Solid,Ladieswear,Vest top,Jersey Basic,White,Solid,1.1820621601896109,64.54484280892522,14.615384615384615,52,true,true,true,3.8212752992471835,44.66240443423105
19,Ladieswear || Swimwear bottom || Swimwear || Green || Solid,Ladieswear,Swimwear bottom,Swimwear,Green,Solid,1.41022602260226,64.49849152222576,9.615384615384615,52,false,true,true,3.8598012240850816,46.45591733786839
20,"Ladieswear || Unknown || Under-, Nightwear || Beige || Solid",Ladieswear,Unknown,"Under-, Nightwear",Beige,Solid,0.9661460041802187,64.3287525258748,3.076923076923077,52,false,true,true,4.159123439087304,63.01538461538463
21,Divided || Shorts || Shorts || Blue || Denim,Divided,Shorts,Shorts,Blue,Denim,1.0287968778076242,63.497099431908026,12.23076923076923,22,true,true,false,3.853453540164181,46.155636227489765
22,Ladieswear || T-shirt || Jersey Basic || Blue || Solid,Ladieswear,T-shirt,Jersey Basic,Blue,Solid,0.953116417387644,63.11166350857923,7.153846153846154,52,false,true,true,3.917044177750578,49.251689976689974
