rank_unguarded,n_ranked,style_key,origin,week_start,units_per_active_article,predicted_intensity
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-03-30,41.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-04-06,39.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-04-13,14.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-04-20,21.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-04-27,13.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-05-04,11.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-05-11,52.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-05-18,18.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-05-25,13.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-06-01,12.666666666666666,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-06-08,15.5,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-06-15,10.5,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-06-22,3.5,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-06-29,9.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-07-06,6.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-07-13,26.5,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-07-20,50.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-07-27,31.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-08-03,28.5,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-08-10,29.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-08-17,23.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-08-24,142.5,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-08-31,202.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-09-07,195.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-09-14,93.33333333333333,48.00784516621666
