origin_week,n_eval_set,n_eval,oracle_precision_at_3,oracle_hit_at_3_in_top10,oracle_hit_at_3_in_top20,earlier_origin_week,n_true_top_k,n_overlap,churn_fraction,value_3,gap_3_vs_4_pct,gap_3_vs_5_pct,gap_3_vs_10_pct
2019-07-29,3037,3003,0.0,0.0,0.0,2019-04-08,3,0,0.0,4.732141647698881,0.6641434508260239,1.371897002875262,2.8217961879787694
2019-08-26,3043,3009,0.0,0.0,0.0,2019-05-06,3,0,0.0,4.848417978233703,0.024894733817367246,3.830215088721336,5.112468886700556
2019-09-23,3042,3016,0.0,0.0,0.0,2019-06-03,3,0,0.0,4.787946970855353,1.2435093931753378,1.7742946321948907,5.21684723229866
2019-10-21,3042,3022,0.0,0.0,0.3333333333333333,2019-07-01,3,1,0.3333333333333333,4.809993088256761,0.295271581464317,3.0783202461550427,6.940185745458562
2019-11-18,3028,3016,0.0,0.3333333333333333,0.6666666666666666,2019-07-29,3,1,0.3333333333333333,4.665255123308563,0.4657304960627455,2.1169402531740116,5.278597995639094
2019-12-16,3014,3000,0.3333333333333333,1.0,1.0,2019-08-26,3,1,0.3333333333333333,4.465908118654584,0.08668293711512118,0.2005279543959253,2.331371234172842
2020-01-13,3009,2997,0.0,0.0,0.0,2019-09-23,3,0,0.0,4.691430212408494,0.8597276070174794,1.2152466842514482,4.416501148107297
2020-02-10,3007,2991,0.0,0.0,0.0,2019-10-21,3,0,0.0,4.851429121731391,0.9294551949597483,3.227116790932937,7.302142291191954
2020-03-09,2991,2975,0.0,0.0,0.0,2019-11-18,3,0,0.0,4.952843195357539,0.1867120147755578,1.083476158073093,6.802453335830638
2020-04-06,2956,2947,0.0,0.0,0.0,2019-12-16,3,0,0.0,4.787972396480317,0.4528562534552358,0.9406445740065853,3.8823088697478365
2020-05-04,2906,2900,0.0,0.6666666666666666,0.6666666666666666,2020-01-13,3,1,0.3333333333333333,4.60555472742717,0.7379245580966299,0.920536477191579,2.802339047872718
2020-06-01,2763,2762,0.0,0.0,0.0,2020-02-10,3,0,0.0,4.498255757079479,1.377411508316872,1.5501777560468066,3.7789834962689373
