method,split,metric,n_origins,mean,ci_low,ci_high,diff_vs_lightgbm_mean,diff_vs_lightgbm_ci_low,diff_vs_lightgbm_ci_high
lambdarank,pooled,hit_at_3_in_top20,12,0.611111111111111,0.5277777777777778,0.8333333333333334,-0.11111111111111112,-0.1666666666666667,-0.05555555555555555
lambdarank,pooled,hit_at_3_in_top10,12,0.4166666666666667,0.3333333333333333,0.638888888888889,-0.08333333333333333,-0.16666666666666666,9.25185853854297e-18
lambdarank,pooled,precision_at_3,12,0.1111111111111111,0.05555555555555555,0.25,0.05555555555555555,0.0,0.13888888888888887
lambdarank,pooled,precision_at_10,12,0.21666666666666665,0.18333333333333332,0.29166666666666663,-0.04166666666666668,-0.08333333333333333,-0.016666666666666666
lambdarank,pooled,ndcg_at_10,12,0.8812148886623964,0.8576503327708056,0.9062560256968792,-0.01884663096468341,-0.03387537044990438,-0.016279800418062863
lambdarank,pooled,spearman_rho,12,0.5298001611188551,0.4840758306032742,0.5719040664283604,-0.2734253726009629,-0.31172880045763685,-0.25313812241286
lambdarank,pooled,wmape,12,4.309143648674113,4.100935097792437,4.501626573857243,4.170326713145228,3.9760792971617196,4.353107948450361
lambdarank,covid,hit_at_3_in_top20,7,0.6666666666666666,0.6666666666666666,0.9047619047619048,-0.09523809523809525,-0.14285714285714285,0.0
lambdarank,covid,hit_at_3_in_top10,7,0.4285714285714285,0.2857142857142857,0.7619047619047619,-0.09523809523809523,-0.19047619047619047,0.04761904761904762
lambdarank,covid,precision_at_3,7,0.14285714285714285,0.047619047619047616,0.2857142857142857,0.047619047619047616,-0.047619047619047616,0.19047619047619047
lambdarank,covid,precision_at_10,7,0.2285714285714286,0.19999999999999998,0.31428571428571433,-0.014285714285714287,-0.05714285714285715,-0.014285714285714282
lambdarank,covid,ndcg_at_10,7,0.8992876132614598,0.8820191645149705,0.9128953971746849,-0.023355688737373766,-0.03795819714449814,-0.023355688737373766
lambdarank,covid,spearman_rho,7,0.5760772752365124,0.5340581253492793,0.5890822549790948,-0.2433107698321256,-0.2728824298020412,-0.2433107698321256
lambdarank,covid,wmape,7,4.1601131542478615,3.960987944726059,4.401503232210148,4.031864551975579,3.841534772824615,4.260145252043652
lambdarank,non_covid,hit_at_3_in_top20,5,0.5333333333333333,0.3333333333333333,0.5333333333333333,-0.13333333333333333,-0.26666666666666666,-0.13333333333333333
lambdarank,non_covid,hit_at_3_in_top10,5,0.4,0.2,0.4,-0.06666666666666665,-0.26666666666666666,-0.06666666666666665
lambdarank,non_covid,precision_at_3,5,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
lambdarank,non_covid,precision_at_10,5,0.2,0.1,0.2,-0.08,-0.12000000000000002,-0.08
lambdarank,non_covid,ndcg_at_10,5,0.8559130742237077,0.8134831267916682,0.8745842059576618,-0.012533950082916911,-0.04058677152301835,-0.00063659156837097
lambdarank,non_covid,spearman_rho,5,0.4650122013541348,0.44719126361191497,0.46501220135413474,-0.3155858164773352,-0.33462621341322357,-0.30129458543576837
lambdarank,non_covid,wmape,5,4.517786340870866,4.517786340870867,4.572599469549649,4.364173738782737,4.364173738782737,4.406814036334046
lightgbm,pooled,hit_at_3_in_top20,12,0.7222222222222222,0.6944444444444443,0.9166666666666666,,,
lightgbm,pooled,hit_at_3_in_top10,12,0.5,0.47222222222222215,0.6666666666666666,,,
lightgbm,pooled,precision_at_3,12,0.05555555555555555,0.0,0.1111111111111111,,,
lightgbm,pooled,precision_at_10,12,0.2583333333333333,0.24166666666666667,0.3499999999999999,,,
lightgbm,pooled,ndcg_at_10,12,0.9000615196270797,0.8777865703841995,0.9352927194267101,,,
lightgbm,pooled,spearman_rho,12,0.803225533719818,0.7877830141592176,0.8300223280447954,,,
lightgbm,pooled,wmape,12,0.13881693552888563,0.12421402108121209,0.1514196972263927,,,
lightgbm,covid,hit_at_3_in_top20,7,0.7619047619047619,0.7619047619047619,0.9523809523809523,,,
lightgbm,covid,hit_at_3_in_top10,7,0.5238095238095238,0.47619047619047616,0.7619047619047619,,,
lightgbm,covid,precision_at_3,7,0.09523809523809523,0.09523809523809523,0.14285714285714285,,,
lightgbm,covid,precision_at_10,7,0.24285714285714285,0.21428571428571427,0.37142857142857144,,,
lightgbm,covid,ndcg_at_10,7,0.9226433019988337,0.9151958697349679,0.9487900070791211,,,
lightgbm,covid,spearman_rho,7,0.819388045068638,0.7957262965033783,0.8416391438335687,,,
lightgbm,covid,wmape,7,0.12824860227228277,0.11945317190144418,0.14135798016649392,,,
lightgbm,non_covid,hit_at_3_in_top20,5,0.6666666666666666,0.4666666666666666,0.7999999999999999,,,
lightgbm,non_covid,hit_at_3_in_top10,5,0.4666666666666667,0.4,0.5333333333333334,,,
lightgbm,non_covid,precision_at_3,5,0.0,0.0,0.0,,,
lightgbm,non_covid,precision_at_10,5,0.27999999999999997,0.18,0.31999999999999995,,,
