style_id,seed,image_path,judge,available,scores_json,raw_extraction_json,excluded_reason,fidelity_before_4attr,fidelity_after_3attr,threshold_before,threshold_after,pass_before,pass_after
Ladieswear || Sweater || Knitwear || Beige || Melange,42,data\generated\final_concepts_v3\ladieswear_sweater_knitwear_beige_melange_seed42.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
Ladieswear || Sweater || Knitwear || Beige || Melange,42,data\generated\final_concepts_v3\ladieswear_sweater_knitwear_beige_melange_seed42.png,groq,false,,,groq judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3.8-27b` in organization `org_01kpw92fcwebnbpwgabfd5r32b,,,0.43805147058823535,0.513235294117647,,
Ladieswear || Sweater || Knitwear || Beige || Melange,43,data\generated\final_concepts_v3\ladieswear_sweater_knitwear_beige_melange_seed43.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
Ladieswear || Sweater || Knitwear || Beige || Melange,43,data\generated\final_concepts_v3\ladieswear_sweater_knitwear_beige_melange_seed43.png,groq,false,,,groq judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3.8-27b` in organization `org_01kpw92fcwebnbpwgabfd5r32b,,,0.43805147058823535,0.513235294117647,,
Ladieswear || Sweater || Knitwear || Beige || Melange,44,data\generated\final_concepts_v3\ladieswear_sweater_knitwear_beige_melange_seed44.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
Ladieswear || Sweater || Knitwear || Beige || Melange,44,data\generated\final_concepts_v3\ladieswear_sweater_knitwear_beige_melange_seed44.png,groq,false,,,groq judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3.8-27b` in organization `org_01kpw92fcwebnbpwgabfd5r32b,,,0.43805147058823535,0.513235294117647,,
Ladieswear || Sweater || Knitwear || Beige || Melange,45,data\generated\final_concepts_v3\ladieswear_sweater_knitwear_beige_melange_seed45.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
Ladieswear || Sweater || Knitwear || Beige || Melange,45,data\generated\final_concepts_v3\ladieswear_sweater_knitwear_beige_melange_seed45.png,groq,false,,,groq judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3.8-27b` in organization `org_01kpw92fcwebnbpwgabfd5r32b,,,0.43805147058823535,0.513235294117647,,
Ladieswear || T-shirt || Jersey Basic || Black || Solid,42,data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
Ladieswear || T-shirt || Jersey Basic || Black || Solid,42,data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,groq,true,"{""product_type"": 0.85, ""colour_family"": 0.85, ""graphical_treatment"": 0.0, ""garment_group"": 0.0}","{""product_type"": ""Short-sleeve rounded-neck t-shirt"", ""colour_family"": ""Neutral / dark grey with black"", ""graphical_treatment"": ""Colour-blocked sleeve yokes with a narrow contrasting ringer collar binding and a tiny hem tag; no graphic print"", ""garment_group"": ""Tops / T-shirts""}",,0.425,0.5666666666666667,0.43805147058823535,0.513235294117647,false,true
Ladieswear || T-shirt || Jersey Basic || Black || Solid,43,data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
