style_key,index_group_name,product_type_name,garment_group_name,perceived_colour_master_name,graphical_appearance_name,rank_raw_intensity,rank_shrunk_intensity,rank_lifetime_units,mean_units_per_active_article,mean_intensity_shrunk,lifetime_units,mean_price_index
Divided || Trousers || Trousers Denim || Black || Solid,Divided,Trousers,Trousers Denim,Black,Solid,1,1,,98.02688679245283,69.27112672273194,,0.982569843283023
Ladieswear || Swimwear bottom || Swimwear || Green || Other structure,Ladieswear,Swimwear bottom,Swimwear,Green,Other structure,2,5,,82.74814169570267,58.429666887572495,,1.039510260127576
Sport || Leggings/Tights || Jersey Fancy || Khaki green || Solid,Sport,Leggings/Tights,Jersey Fancy,Khaki green,Solid,3,20,,79.23375,46.26628758911352,,
Ladieswear || Swimwear bottom || Swimwear || Black || Other structure,Ladieswear,Swimwear bottom,Swimwear,Black,Other structure,4,3,,77.95840273458198,63.677364348699776,,1.0355477422049935
Ladieswear || Trousers || Trousers Denim || Black || Solid,Ladieswear,Trousers,Trousers Denim,Black,Solid,5,14,,72.90786163522013,47.87971179572355,,1.0579398173647585
Ladieswear || Vest top || Jersey Basic || Black || Solid,Ladieswear,Vest top,Jersey Basic,Black,Solid,6,2,,72.0937877834813,64.29638880454465,,1.1141907111262628
Divided || Vest top || Jersey Basic || Black || Solid,Divided,Vest top,Jersey Basic,Black,Solid,7,4,,71.81538797905627,61.203801218290295,,1.1235163732787155
Ladieswear || Bikini top || Swimwear || Black || Other structure,Ladieswear,Bikini top,Swimwear,Black,Other structure,8,6,,71.71321209081336,57.20334950781098,,0.9466795644600966
Ladieswear || Dress || Jersey Fancy || Blue || Dot,Ladieswear,Dress,Jersey Fancy,Blue,Dot,9,,,69.55882352941177,,,0.8557694005242873
"Ladieswear || Pyjama bottom || Under-, Nightwear || Black || Solid",Ladieswear,Pyjama bottom,"Under-, Nightwear",Black,Solid,10,,,69.10298742138365,,,1.0572074127460374
Ladieswear || Swimwear bottom || Swimwear || Blue || Other structure,Ladieswear,Swimwear bottom,Swimwear,Blue,Other structure,11,15,,66.49034178187404,47.87089062317432,,1.1431636309459932
Ladieswear || Bikini top || Swimwear || Green || Other structure,Ladieswear,Bikini top,Swimwear,Green,Other structure,12,7,,65.65200372330003,53.213441956698105,,1.138322884526763
Ladieswear || Sweater || Special Offers || Black || Solid,Ladieswear,Sweater,Special Offers,Black,Solid,13,,,65.29444444444445,,,0.932621256474333
Divided || T-shirt || Jersey Basic || Mole || Solid,Divided,T-shirt,Jersey Basic,Mole,Solid,14,,,63.57712842712842,,,1.0061653455439552
Sport || Leggings/Tights || Jersey Fancy || Black || Melange,Sport,Leggings/Tights,Jersey Fancy,Black,Melange,15,,,62.53942307692308,,,1.0781339641550323
Divided || Unknown || Trousers Denim || Blue || Denim,Divided,Unknown,Trousers Denim,Blue,Denim,16,18,,61.266666666666666,46.898481562671506,,
"Ladieswear || Sweater || Under-, Nightwear || Black || Solid",Ladieswear,Sweater,"Under-, Nightwear",Black,Solid,17,,,58.94574747841257,,,1.186671853850537
Ladieswear || Bikini top || Swimwear || Blue || Other structure,Ladieswear,Bikini top,Swimwear,Blue,Other structure,18,,,57.18252688172043,,,1.0371662070412793
Ladieswear || Socks || Socks and Tights || Black || Contrast,Ladieswear,Socks,Socks and Tights,Black,Contrast,19,,,57.125,,,1.011287254758813
Ladieswear || Hoodie || Jersey Basic || Black || Solid,Ladieswear,Hoodie,Jersey Basic,Black,Solid,20,,,56.81996855345912,,,1.0359754812400463
Ladieswear || T-shirt || Jersey Basic || Black || Solid,Ladieswear,T-shirt,Jersey Basic,Black,Solid,,8,14,,53.03855963207384,162927,1.0428168891910357
Ladieswear || Leggings/Tights || Socks and Tights || Black || Solid,Ladieswear,Leggings/Tights,Socks and Tights,Black,Solid,,9,,,49.270589678604075,,1.0619293058293355
