image,style_id,judge,dim,score
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,1.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,colour_family,1.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,product_type,0.16666666666666666
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,graphical_treatment,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,graphical_treatment,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,colour_family,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,graphical_treatment,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,colour_family,1.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,graphical_treatment,0.85
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",gemini,graphical_treatment,1.0
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,groq,product_type,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,graphical_treatment,0.0
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,gemini,graphical_treatment,1.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,1.0
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,gemini,product_type,0.0
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,graphical_treatment,0.85
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,groq,graphical_treatment,0.0
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,graphical_treatment,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,product_type,0.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,0.85
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",gemini,product_type,0.0
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",gemini,product_type,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,0.85
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,0.0
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,product_type,0.058823529411764705
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,groq,colour_family,0.0
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,colour_family,0.0
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,groq,colour_family,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,product_type,0.14285714285714285
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,graphical_treatment,0.85
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,groq,graphical_treatment,0.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,graphical_treatment,0.85
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,colour_family,1.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,product_type,0.85
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",gemini,colour_family,0.0
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,gemini,product_type,1.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,graphical_treatment,0.85
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,product_type,0.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,product_type,0.25
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,1.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,product_type,0.2
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,product_type,0.0
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,groq,product_type,0.85
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,product_type,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,product_type,0.1
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,gemini,colour_family,0.0
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,gemini,product_type,1.0
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,gemini,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,product_type,0.85
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",gemini,graphical_treatment,1.0
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",gemini,colour_family,1.0
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,gemini,colour_family,0.0
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,gemini,colour_family,1.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,product_type,0.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,graphical_treatment,0.12142857142857143
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,colour_family,1.0
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,gemini,graphical_treatment,1.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,product_type,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,graphical_treatment,0.85
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,graphical_treatment,0.85
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,gemini,graphical_treatment,0.85
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,gemini,product_type,0.0
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,gemini,colour_family,1.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,graphical_treatment,0.85
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,graphical_treatment,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,groq,product_type,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,product_type,0.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,colour_family,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,graphical_treatment,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,product_type,0.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,colour_family,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,graphical_treatment,0.85
