backend,control_type,style_id_checked_against,image_path,raw_extraction_json,mean_score
smolvlm,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0800691008.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.85
smolvlm,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0800691008.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0778064001.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.85
smolvlm,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0778064001.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0827968004.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.85
smolvlm,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0827968004.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0865076001.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.85
smolvlm,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0865076001.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0767862001.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.85
smolvlm,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0767862001.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0843685001.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.85
smolvlm,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0843685001.jpg,"{""product_type"": ""T-shirt."", ""colour_family"": ""Black."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0803986005.jpg,"{""product_type"": ""Bikini."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Lace.""}",0.2833333333333333
smolvlm,negative,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0803986005.jpg,"{""product_type"": ""Bikini."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Lace.""}",0.2833333333333333
smolvlm,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0854384005.jpg,"{""product_type"": ""Glasses."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Lace.""}",0.2833333333333333
smolvlm,negative,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0854384005.jpg,"{""product_type"": ""Glasses."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Lace.""}",0.2833333333333333
smolvlm,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0822311003.jpg,"{""product_type"": ""Glasses."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Lace.""}",0.0
smolvlm,negative,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0822311003.jpg,"{""product_type"": ""Glasses."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Lace.""}",0.0
smolvlm,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0798407002.jpg,"{""product_type"": ""Glasses."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Lace.""}",0.2833333333333333
smolvlm,negative,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0798407002.jpg,"{""product_type"": ""Glasses."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Lace.""}",0.2833333333333333
smolvlm,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0826955010.jpg,"{""product_type"": ""Glove."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Lace.""}",0.0
smolvlm,negative,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0826955010.jpg,"{""product_type"": ""Glove."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Lace.""}",0.0
smolvlm,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0736531016.jpg,"{""product_type"": ""Glove."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Lace.""}",0.0
smolvlm,negative,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0736531016.jpg,"{""product_type"": ""Glove."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Lace.""}",0.0
smolvlm,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0798416002.jpg,"{""product_type"": ""Glasses."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Lace.""}",0.2833333333333333
smolvlm,negative,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0798416002.jpg,"{""product_type"": ""Glasses."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Lace.""}",0.2833333333333333
smolvlm,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0841185002.jpg,"{""product_type"": ""Glove."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Lace.""}",0.0
smolvlm,negative,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0841185002.jpg,"{""product_type"": ""Glove."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Lace.""}",0.0
smolvlm,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0863646003.jpg,"{""product_type"": ""V-neck sweater."", ""colour_family"": ""Beige."", ""graphical_treatment"": ""Solid.""}",0.5666666666666667
smolvlm,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0863646003.jpg,"{""product_type"": ""V-neck sweater."", ""colour_family"": ""Beige."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0873276004.jpg,"{""product_type"": ""Sweater."", ""colour_family"": ""Brown."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0873276004.jpg,"{""product_type"": ""Sweater."", ""colour_family"": ""Brown."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0795975004.jpg,"{""product_type"": ""Sweater."", ""colour_family"": ""Beige."", ""graphical_treatment"": ""Solid.""}",0.5666666666666667
smolvlm,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0795975004.jpg,"{""product_type"": ""Sweater."", ""colour_family"": ""Beige."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0873274002.jpg,"{""product_type"": ""Sweater."", ""colour_family"": ""Beige."", ""graphical_treatment"": ""Solid.""}",0.5666666666666667
smolvlm,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0873274002.jpg,"{""product_type"": ""Sweater."", ""colour_family"": ""Beige."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0790645005.jpg,"{""product_type"": ""Sweater."", ""colour_family"": ""Beige."", ""graphical_treatment"": ""Solid.""}",0.5666666666666667
smolvlm,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0790645005.jpg,"{""product_type"": ""Sweater."", ""colour_family"": ""Beige."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0842302001.jpg,"{""product_type"": ""V-neck sweater."", ""colour_family"": ""Brown."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0842302001.jpg,"{""product_type"": ""V-neck sweater."", ""colour_family"": ""Brown."", ""graphical_treatment"": ""Solid.""}",0.2833333333333333
smolvlm,positive,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0734435004.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Solid.""}",0.85
smolvlm,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0734435004.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Solid.""}",0.0
smolvlm,positive,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0868762002.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Solid.""}",0.5666666666666667
smolvlm,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0868762002.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Solid.""}",0.0
smolvlm,positive,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0861848004.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Solid.""}",0.5666666666666667
smolvlm,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0861848004.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Solid.""}",0.0
smolvlm,positive,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0822158003.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Solid.""}",0.85
smolvlm,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0822158003.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Solid.""}",0.0
smolvlm,positive,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0891532002.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Solid.""}",0.5666666666666667
smolvlm,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0891532002.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Orange."", ""graphical_treatment"": ""Solid.""}",0.0
smolvlm,positive,Ladieswear || Dress || Dresses Ladies || Red || Solid,data\images\0844799001.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Solid.""}",0.85
smolvlm,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0844799001.jpg,"{""product_type"": ""Dress."", ""colour_family"": ""Red."", ""graphical_treatment"": ""Solid.""}",0.0
