challenger,metric,n_paired,mean_diff,ci_lo,ci_hi,se,p_two_sided,identical
b1,hit_at_3_in_top20,48,0.03472222222222222,-0.006944444444444443,0.0763888888888889,0.022364222569522727,0.1199400299850075,false
b1,hit_at_3_in_top10,48,0.01388888888888889,-0.006944444444444441,0.03472222222222222,0.009248714420571688,0.08295852073963018,false
b1,precision_at_3,48,0.020833333333333332,0.006944444444444444,0.03472222222222222,0.00715621785653456,0.010994502748625687,false
b1,precision_at_10,48,-1.734723475976807e-18,-0.02291666666666667,0.020833333333333325,0.010789078179499704,0.974512743628186,false
b1,ndcg_at_10,48,-0.0036418653935098946,-0.012739079505416022,0.0062247654319935765,0.00489393460219888,0.4657671164417791,false
b1,spearman_rho,48,-0.0017894132777187544,-0.007386640897568603,0.004694676784881548,0.0031774344204657857,0.5767116441779111,false
b1,wmape,48,-0.0001269275104206121,-0.002492378430601278,0.002007697186973833,0.0012081026325873984,0.9485257371314343,false
b1,demand_capture_at_3,48,0.008763586707414563,-0.01185527285521722,0.031010914794134713,0.010873268680585729,0.3938030984507746,false
b1,demand_capture_at_10,48,-0.006977777356388167,-0.02798236278762788,0.012347907783574518,0.010311347779763447,0.5147426286856571,false
b1,demand_capture_at_20,48,-0.0015980545724194582,-0.015881503385672766,0.009183898254229243,0.006712141180224676,0.862568715642179,false
b1,tolerance_hit_at_3,48,0.027777777777777776,0.006944444444444445,0.048611111111111105,0.010743067579669412,0.0079960019990005,false
b1_shuffle,hit_at_3_in_top20,48,1.1564823173178713e-18,-0.041666666666666664,0.041666666666666664,0.021767933035232837,1.0,false
b1_shuffle,hit_at_3_in_top10,48,-0.0069444444444444415,-0.041666666666666664,0.027777777777777776,0.017255284081180218,0.8645677161419291,false
b1_shuffle,precision_at_3,48,-0.013888888888888888,-0.041666666666666664,0.006944444444444444,0.01283465583604729,0.4147926036981509,false
b1_shuffle,precision_at_10,48,0.012499999999999997,-0.0062499999999999995,0.03541666666666666,0.010881824378254018,0.2518740629685157,false
b1_shuffle,ndcg_at_10,48,0.0006322941317449699,-0.00331582016231174,0.005714974691272964,0.0023633639625680095,0.8365817091454273,false
b1_shuffle,spearman_rho,48,-0.0007150561673229134,-0.0015091556281259578,-0.000024150437531826397,0.0003808707718861971,0.038980509745127435,false
b1_shuffle,wmape,48,0.00001978738101726778,-0.0005023079093430237,0.0005524630053387646,0.0002685128612587365,0.928535732133933,false
