method_a,method_b,split,metric,n_origins,directional_only,mean_diff,diff_ci_low,diff_ci_high
lightgbm_neighbourhood,lightgbm_control,pooled,hit_at_3_in_top20,12,false,0.08333333333333333,-0.08333333333333333,0.25
lightgbm_neighbourhood,lightgbm_control,pooled,hit_at_3_in_top10,12,false,-0.027777777777777776,-0.08333333333333333,0.0
lightgbm_neighbourhood,lightgbm_control,pooled,precision_at_3,12,false,0.0,0.0,0.0
lightgbm_neighbourhood,lightgbm_control,pooled,precision_at_10,12,false,-0.03333333333333333,-0.049999999999999996,-0.016666666666666666
lightgbm_neighbourhood,lightgbm_control,pooled,ndcg_at_10,12,false,-0.01741066565337543,-0.03171393126278662,0.0019987524889938193
lightgbm_neighbourhood,lightgbm_control,pooled,spearman_rho,12,false,0.003574763648350951,-0.0025632245218356916,0.006908058079464712
lightgbm_neighbourhood,lightgbm_control,pooled,wmape,12,false,0.00018898557452113698,-0.0028033423873921512,0.004053899083402837
lightgbm_neighbourhood,lightgbm_control,covid,hit_at_3_in_top20,7,true,0.1904761904761905,0.14285714285714285,0.3333333333333334
lightgbm_neighbourhood,lightgbm_control,covid,hit_at_3_in_top10,7,true,-0.047619047619047616,-0.09523809523809523,0.0
lightgbm_neighbourhood,lightgbm_control,covid,precision_at_3,7,true,0.0,0.0,0.0
lightgbm_neighbourhood,lightgbm_control,covid,precision_at_10,7,true,-0.028571428571428577,-0.042857142857142864,-0.01428571428571429
lightgbm_neighbourhood,lightgbm_control,covid,ndcg_at_10,7,true,-0.0030029700746979798,-0.0038256226586695125,0.0064592649291803006
lightgbm_neighbourhood,lightgbm_control,covid,spearman_rho,7,true,0.004978409817987044,0.004571272851289253,0.007841303329145677
lightgbm_neighbourhood,lightgbm_control,covid,wmape,7,true,0.00045505627820613404,-0.003251118254688432,0.0036676360939383113
lightgbm_neighbourhood,lightgbm_control,non_covid,hit_at_3_in_top20,5,true,-0.06666666666666668,-0.06666666666666668,0.0
lightgbm_neighbourhood,lightgbm_control,non_covid,hit_at_3_in_top10,5,true,0.0,0.0,0.0
lightgbm_neighbourhood,lightgbm_control,non_covid,precision_at_3,5,true,0.0,0.0,0.0
lightgbm_neighbourhood,lightgbm_control,non_covid,precision_at_10,5,true,-0.039999999999999994,-0.039999999999999994,-0.039999999999999994
lightgbm_neighbourhood,lightgbm_control,non_covid,ndcg_at_10,5,true,-0.03758143946352386,-0.05985862640019022,-0.03758143946352386
lightgbm_neighbourhood,lightgbm_control,non_covid,spearman_rho,5,true,0.0016096590108604202,0.0016096590108604202,0.008288192372343062
lightgbm_neighbourhood,lightgbm_control,non_covid,wmape,5,true,-0.00018351341063785887,-0.0006704602281484729,-0.00017600305127410954
lightgbm_neighbourhood,seasonal_naive,pooled,hit_at_3_in_top20,12,false,0.33333333333333337,0.23333333333333334,0.6
lightgbm_neighbourhood,seasonal_naive,pooled,hit_at_3_in_top10,12,false,1.1102230246251566e-17,-0.13333333333333333,0.23333333333333334
lightgbm_neighbourhood,seasonal_naive,pooled,precision_at_3,12,false,0.0,-0.06666666666666667,0.1
lightgbm_neighbourhood,seasonal_naive,pooled,precision_at_10,12,false,5.551115123125783e-18,-0.04999999999999999,0.05
lightgbm_neighbourhood,seasonal_naive,pooled,ndcg_at_10,12,false,0.14890168495602796,0.09227427267348812,0.2540331213629249
lightgbm_neighbourhood,seasonal_naive,pooled,spearman_rho,12,false,0.22031989694241014,0.2072157019565161,0.252565969225897
lightgbm_neighbourhood,seasonal_naive,pooled,wmape,12,false,-0.04417588335845603,-0.055925974313552965,-0.02961894780273349
lightgbm_neighbourhood,seasonal_naive,covid,hit_at_3_in_top20,7,true,0.380952380952381,0.1904761904761905,0.619047619047619
lightgbm_neighbourhood,seasonal_naive,covid,hit_at_3_in_top10,7,true,0.09523809523809525,-0.09523809523809523,0.2857142857142857
lightgbm_neighbourhood,seasonal_naive,covid,precision_at_3,7,true,0.0,-0.09523809523809523,0.047619047619047616
lightgbm_neighbourhood,seasonal_naive,covid,precision_at_10,7,true,0.02857142857142857,-3.96508223080413e-18,0.042857142857142864
lightgbm_neighbourhood,seasonal_naive,covid,ndcg_at_10,7,true,0.14368182525925446,0.07018892895625221,0.22647350186818738
lightgbm_neighbourhood,seasonal_naive,covid,spearman_rho,7,true,0.23714532227085686,0.22029153342991586,0.2538584391706671
lightgbm_neighbourhood,seasonal_naive,covid,wmape,7,true,-0.05357671447917367,-0.05677895679392725,-0.048553809471280976
lightgbm_neighbourhood,seasonal_naive,non_covid,hit_at_3_in_top20,5,true,0.2222222222222222,0.2222222222222222,0.2222222222222222
lightgbm_neighbourhood,seasonal_naive,non_covid,hit_at_3_in_top10,5,true,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222
lightgbm_neighbourhood,seasonal_naive,non_covid,precision_at_3,5,true,0.0,0.0,0.0
lightgbm_neighbourhood,seasonal_naive,non_covid,precision_at_10,5,true,-0.06666666666666664,-0.06666666666666664,-0.06666666666666664
lightgbm_neighbourhood,seasonal_naive,non_covid,ndcg_at_10,5,true,0.16108135758183276,0.16108135758183276,0.16108135758183276
lightgbm_neighbourhood,seasonal_naive,non_covid,spearman_rho,5,true,0.18106057117603438,0.18106057117603438,0.18106057117603438
lightgbm_neighbourhood,seasonal_naive,non_covid,wmape,5,true,-0.022240610743448186,-0.022240610743448186,-0.022240610743448186
