rank,feature,mean_abs_shap,is_neighbourhood,shap_model,n_train_origins,n_train_rows
1,lag_1,0.3666034047864591,false,last_embargoed_fold_train_frame,16,48003
2,n_active_articles_level,0.21977086268741938,false,last_embargoed_fold_train_frame,16,48003
3,product_type_name,0.07324695959963831,false,last_embargoed_fold_train_frame,16,48003
4,perceived_colour_master_name,0.05573251242224434,false,last_embargoed_fold_train_frame,16,48003
5,nb_igg_ratio,0.054085869082333544,true,last_embargoed_fold_train_frame,16,48003
6,index_group_name,0.04649703532906098,false,last_embargoed_fold_train_frame,16,48003
7,n_active_articles_trend_13w,0.04071735919531656,false,last_embargoed_fold_train_frame,16,48003
8,fourier_sin_1,0.03988656698519953,false,last_embargoed_fold_train_frame,16,48003
9,nb_igg_level_mean,0.03900485649813998,true,last_embargoed_fold_train_frame,16,48003
10,graphical_appearance_name,0.03333431220205786,false,last_embargoed_fold_train_frame,16,48003
11,garment_group_name,0.03189229189164831,false,last_embargoed_fold_train_frame,16,48003
12,lag_2,0.029886230610883326,false,last_embargoed_fold_train_frame,16,48003
13,nb_igg_slope_13w,0.026352785411303096,true,last_embargoed_fold_train_frame,16,48003
14,share_garment_group,0.025693711930623885,false,last_embargoed_fold_train_frame,16,48003
15,nb_ptgg_slope_13w,0.02325059372238597,true,last_embargoed_fold_train_frame,16,48003
16,lag_52,0.02117768931936728,false,last_embargoed_fold_train_frame,16,48003
17,slope_13w,0.01783764333598454,false,last_embargoed_fold_train_frame,16,48003
18,price_index_level,0.01723010824719767,false,last_embargoed_fold_train_frame,16,48003
19,nb_ptgg_breadth,0.016970964095341927,true,last_embargoed_fold_train_frame,16,48003
20,share_index_group,0.01659430500071412,false,last_embargoed_fold_train_frame,16,48003
21,fourier_sin_2,0.016042033670299376,false,last_embargoed_fold_train_frame,16,48003
22,fourier_cos_2,0.015233177533279917,false,last_embargoed_fold_train_frame,16,48003
23,weeks_since_first_seen,0.013248411010508328,false,last_embargoed_fold_train_frame,16,48003
24,ewma_halflife_13w,0.010805631832965209,false,last_embargoed_fold_train_frame,16,48003
25,fourier_cos_1,0.010258671013358735,false,last_embargoed_fold_train_frame,16,48003
26,price_index_trend_13w,0.00986544297505885,false,last_embargoed_fold_train_frame,16,48003
27,nb_igg_breadth,0.009150501998253879,true,last_embargoed_fold_train_frame,16,48003
28,ewma_halflife_4w,0.009145341583746979,false,last_embargoed_fold_train_frame,16,48003
29,nb_colgfx_slope_13w,0.008209444674089779,true,last_embargoed_fold_train_frame,16,48003
30,nb_ptgg_slope_4w,0.007818960449299653,true,last_embargoed_fold_train_frame,16,48003
31,nb_colgfx_breadth,0.006155145349505054,true,last_embargoed_fold_train_frame,16,48003
32,slope_4w,0.005626149932473763,false,last_embargoed_fold_train_frame,16,48003
33,nb_ptgg_ratio,0.0055034742415517,true,last_embargoed_fold_train_frame,16,48003
34,lag_13,0.004742574477672704,false,last_embargoed_fold_train_frame,16,48003
35,lag_8,0.004600532347003659,false,last_embargoed_fold_train_frame,16,48003
36,nb_igg_slope_4w,0.004519903935081737,true,last_embargoed_fold_train_frame,16,48003
37,nb_colgfx_slope_4w,0.004495067915978054,true,last_embargoed_fold_train_frame,16,48003
38,lag_4,0.0038091248795329006,false,last_embargoed_fold_train_frame,16,48003
39,nb_colgfx_ratio,0.0036257413403849815,true,last_embargoed_fold_train_frame,16,48003
40,nb_colgfx_level_mean,0.002827403082983339,true,last_embargoed_fold_train_frame,16,48003
41,nb_ptgg_level_mean,0.0027838001685544576,true,last_embargoed_fold_train_frame,16,48003
