style_id,article_id,image_path,units_sold_last_26w,framing_ok,framing_raw,border_std,colour_ok,colour_raw,pattern_ok,pattern_raw,is_full_garment,screening_note
Ladieswear || Sweater || Knitwear || Beige || Melange,863646003,data\images\0863646003.jpg,700,true,Yes.,1.6502408040250742,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,873276004,data\images\0873276004.jpg,535,true,Yes.,1.7000431779356908,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,673677023,data\images\0673677023.jpg,525,false,Yes.,21.444293626856503,true,Yes.,true,Yes.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,795975004,data\images\0795975004.jpg,515,true,Yes.,1.5872982706259686,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,873274002,data\images\0873274002.jpg,343,true,Yes.,1.773075281796238,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,790645005,data\images\0790645005.jpg,239,true,Yes.,2.329017296447992,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,837448002,data\images\0837448002.jpg,232,true,Yes.,1.6167960776137564,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,842302001,data\images\0842302001.jpg,182,true,Yes.,3.350080857940043,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,673677004,data\images\0673677004.jpg,152,true,Yes.,5.694397605214134,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,874817005,data\images\0874817005.jpg,142,true,Yes.,1.7240301629919719,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,846353001,data\images\0846353001.jpg,123,true,Yes.,2.768895243944321,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,693242013,data\images\0693242013.jpg,119,true,Yes.,1.9572065802801806,false,No.,true,Yes.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,812167004,data\images\0812167004.jpg,104,true,Yes.,2.542857858751303,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,784021006,data\images\0784021006.jpg,84,true,Yes.,1.2780552333527933,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,883079006,data\images\0883079006.jpg,72,true,Yes.,1.833147816335281,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,845428001,data\images\0845428001.jpg,68,true,Yes.,2.1270129593360254,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,777148004,data\images\0777148004.jpg,55,true,Yes.,2.0261798227479377,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,909823002,data\images\0909823002.jpg,50,true,Yes.,1.9440030049881094,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,848420007,data\images\0848420007.jpg,47,true,Yes.,2.5202500319063352,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,772785005,data\images\0772785005.jpg,40,true,Yes.,2.2395480623595114,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,733112005,data\images\0733112005.jpg,38,true,Yes.,1.8341847020310327,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,763276003,data\images\0763276003.jpg,34,true,Yes.,2.075988842896012,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,825688004,data\images\0825688004.jpg,31,true,Yes.,2.0636125028387875,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,763280002,data\images\0763280002.jpg,30,true,Yes.,3.5370354060287204,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,788632004,data\images\0788632004.jpg,28,true,Yes.,2.9238755375090535,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,693246008,data\images\0693246008.jpg,24,true,Yes.,2.514586941796606,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,777148002,data\images\0777148002.jpg,20,true,Yes.,1.709835249445447,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,775996016,data\images\0775996016.jpg,17,true,Yes.,2.568618317033182,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,811913007,data\images\0811913007.jpg,15,true,Yes.,2.4950960737026446,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,824706001,data\images\0824706001.jpg,15,true,Yes.,1.7959383692678896,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,754323004,data\images\0754323004.jpg,14,true,Yes.,1.7823545242912433,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,693243013,data\images\0693243013.jpg,8,true,Yes.,1.6738403898131229,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,763270003,data\images\0763270003.jpg,8,true,Yes.,4.282859214004923,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,738943001,data\images\0738943001.jpg,7,true,Yes.,2.3709328066111586,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,777070002,data\images\0777070002.jpg,6,true,Yes.,1.921044048038378,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,705966006,data\images\0705966006.jpg,4,true,Yes.,3.5742769686833977,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,762205005,data\images\0762205005.jpg,4,true,Yes.,2.3098042304970368,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Sweater || Knitwear || Beige || Melange,764563001,data\images\0764563001.jpg,4,true,Yes.,1.657557142834661,true,Yes.,true,Yes.,true,kept
Ladieswear || Sweater || Knitwear || Beige || Melange,820563002,data\images\0820563002.jpg,4,true,Yes.,1.578545535615809,true,Yes.,false,No.,false,dropped: failed a check
