style_id,article_id,image_path,units_sold_last_26w,framing_ok,framing_raw,colour_ok,colour_raw,pattern_ok,pattern_raw,is_full_garment,screening_note
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,832330003,data\images\0832330003.jpg,1080,true,Yes.,true,Yes.,true,Yes.,true,kept
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,776237021,data\images\0776237021.jpg,918,true,Yes.,true,Yes.,true,Yes.,true,kept
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,833500001,data\images\0833500001.jpg,652,true,Yes.,true,Yes.,true,Yes.,true,kept
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,802979001,data\images\0802979001.jpg,274,true,Yes.,false,No.,true,Yes.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,590928025,data\images\0590928025.jpg,198,true,Yes.,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,736581001,data\images\0736581001.jpg,189,true,Yes.,true,Yes.,true,Yes.,true,kept
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,590928019,data\images\0590928019.jpg,169,true,Yes.,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,699423003,data\images\0699423003.jpg,114,true,Yes.,false,No.,true,Yes.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,740725001,data\images\0740725001.jpg,109,true,Yes.,false,No.,false,No.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,832298002,data\images\0832298002.jpg,101,true,Yes.,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,758088002,data\images\0758088002.jpg,58,true,Yes.,false,No.,true,Yes.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,589599040,data\images\0589599040.jpg,56,true,Yes.,false,No.,false,No.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,687034009,data\images\0687034009.jpg,40,true,Yes.,true,Yes.,true,Yes.,true,kept
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,510314002,data\images\0510314002.jpg,31,true,Yes.,true,Yes.,true,Yes.,true,kept
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,733935002,data\images\0733935002.jpg,28,true,Yes.,true,Yes.,false,No.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,699082006,data\images\0699082006.jpg,26,true,Yes.,false,No.,false,No.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,690511004,data\images\0690511004.jpg,21,true,Yes.,false,No.,true,Yes.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,717538003,data\images\0717538003.jpg,17,true,Yes.,true,Yes.,true,Yes.,true,kept
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,497247003,data\images\0497247003.jpg,16,true,Yes.,true,Yes.,true,Yes.,true,kept
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,698293002,data\images\0698293002.jpg,16,true,Yes.,false,No.,false,No.,false,dropped: failed a check
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,698255002,data\images\0698255002.jpg,5,true,Yes.,false,No.,true,Yes.,false,dropped: failed a check
