style_id,article_id,units_sold_last_26w,image_path,fetch_success
Ladieswear || Sweater || Knitwear || Beige || Melange,863646003,700,data\images\0863646003.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,873276004,535,data\images\0873276004.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,673677023,525,data\images\0673677023.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,795975004,515,data\images\0795975004.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,873274002,343,data\images\0873274002.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,790645005,239,data\images\0790645005.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,837448002,232,data\images\0837448002.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,842302001,182,data\images\0842302001.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,673677004,152,data\images\0673677004.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,874817005,142,data\images\0874817005.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,846353001,123,data\images\0846353001.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,693242013,119,data\images\0693242013.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,812167004,104,data\images\0812167004.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,784021006,84,data\images\0784021006.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,883079006,72,data\images\0883079006.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,845428001,68,data\images\0845428001.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,777148004,55,data\images\0777148004.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,909823002,50,data\images\0909823002.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,848420007,47,data\images\0848420007.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,772785005,40,data\images\0772785005.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,733112005,38,data\images\0733112005.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,763276003,34,data\images\0763276003.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,825688004,31,data\images\0825688004.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,763280002,30,data\images\0763280002.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,788632004,28,data\images\0788632004.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,693246008,24,data\images\0693246008.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,777148002,20,data\images\0777148002.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,775996016,17,data\images\0775996016.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,811913007,15,data\images\0811913007.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,824706001,15,data\images\0824706001.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,754323004,14,data\images\0754323004.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,788632002,11,data\images\0788632002.jpg,false
Ladieswear || Sweater || Knitwear || Beige || Melange,693243013,8,data\images\0693243013.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,763270003,8,data\images\0763270003.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,738943001,7,data\images\0738943001.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,777070002,6,data\images\0777070002.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,705966006,4,data\images\0705966006.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,762205005,4,data\images\0762205005.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,764563001,4,data\images\0764563001.jpg,true
Ladieswear || Sweater || Knitwear || Beige || Melange,820563002,4,data\images\0820563002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,734435004,1511,data\images\0734435004.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,868762002,1329,data\images\0868762002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,861848004,938,data\images\0861848004.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,822158003,662,data\images\0822158003.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,892850001,354,data\images\0892850001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,935840002,198,data\images\0935840002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,891532002,165,data\images\0891532002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,844799001,151,data\images\0844799001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,765972001,124,data\images\0765972001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,806516002,101,data\images\0806516002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,763868001,94,data\images\0763868001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,786022008,94,data\images\0786022008.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,763468005,90,data\images\0763468005.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,717849004,64,data\images\0717849004.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,743803003,64,data\images\0743803003.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,641187004,59,data\images\0641187004.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,866611002,57,data\images\0866611002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,771602002,50,data\images\0771602002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,854232002,46,data\images\0854232002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,926277002,41,data\images\0926277002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,719686001,37,data\images\0719686001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,812683006,34,data\images\0812683006.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,803582001,33,data\images\0803582001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,853376002,33,data\images\0853376002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,542435001,32,data\images\0542435001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,822044001,32,data\images\0822044001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,771537001,31,data\images\0771537001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,760214005,26,data\images\0760214005.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,803518003,22,data\images\0803518003.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,726186001,17,data\images\0726186001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,805966002,17,data\images\0805966002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,787235002,16,data\images\0787235002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,810592002,16,data\images\0810592002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,726003004,14,data\images\0726003004.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,802733001,9,data\images\0802733001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,835247002,9,data\images\0835247002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,929042002,8,data\images\0929042002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,745138002,6,data\images\0745138002.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,587674001,5,data\images\0587674001.jpg,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,787696008,5,data\images\0787696008.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,819520002,925,data\images\0819520002.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,898918001,573,data\images\0898918001.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,714493002,418,data\images\0714493002.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,316441005,383,data\images\0316441005.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,784926002,349,data\images\0784926002.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,681657002,329,data\images\0681657002.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,828050001,279,data\images\0828050001.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,768931001,198,data\images\0768931001.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,767813002,153,data\images\0767813002.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,827428006,147,data\images\0827428006.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,767925005,125,data\images\0767925005.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,917843002,111,data\images\0917843002.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,928461002,75,data\images\0928461002.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,685347002,43,data\images\0685347002.jpg,true
Ladieswear || Top || Jersey Basic || White || Solid,611024002,33,data\images\0611024002.jpg,true
