style_id,article_id,units_sold_last_26w,image_path,fetch_success
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,832330003,1080,data\images\0832330003.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,776237021,918,data\images\0776237021.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,833500001,652,data\images\0833500001.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,802979001,274,data\images\0802979001.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,590928025,198,data\images\0590928025.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,736581001,189,data\images\0736581001.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,590928019,169,data\images\0590928019.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,699423003,114,data\images\0699423003.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,740725001,109,data\images\0740725001.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,832298002,101,data\images\0832298002.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,758088002,58,data\images\0758088002.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,589599040,56,data\images\0589599040.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,687034009,40,data\images\0687034009.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,510314002,31,data\images\0510314002.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,733935002,28,data\images\0733935002.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,699082006,26,data\images\0699082006.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,690511004,21,data\images\0690511004.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,717538003,17,data\images\0717538003.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,497247003,16,data\images\0497247003.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,698293002,16,data\images\0698293002.jpg,true
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,698255002,5,data\images\0698255002.jpg,true
