style_id,base,n_articles,space,gate,threshold,ci_lo,ci_hi,ci_width
Ladieswear || Sweater || Knitwear || Beige || Melange,old,6,clip,gate1_pair_p90,0.9555519700050354,0.9347177743911743,0.984673023223877,0.04995524883270264
Ladieswear || Sweater || Knitwear || Beige || Melange,old,6,clip,gate1b_nn_p90,0.984673023223877,0.9347177743911743,0.984673023223877,0.04995524883270264
Ladieswear || Sweater || Knitwear || Beige || Melange,old,6,dinov2,gate1_pair_p90,0.8664027571678161,0.7617718577384949,0.94163978099823,0.1798679232597351
Ladieswear || Sweater || Knitwear || Beige || Melange,old,6,dinov2,gate1b_nn_p90,0.94163978099823,0.7617718577384949,0.94163978099823,0.1798679232597351
Ladieswear || Sweater || Knitwear || Beige || Melange,new,17,clip,gate1_pair_p90,0.9664748013019562,0.9470754876732826,0.9738542437553406,0.02677875608205793
Ladieswear || Sweater || Knitwear || Beige || Melange,new,17,clip,gate1b_nn_p90,0.9825984597206116,0.9670995646715165,0.984673023223877,0.017573458552360477
Ladieswear || Sweater || Knitwear || Beige || Melange,new,17,dinov2,gate1_pair_p90,0.9041306674480438,0.8625059533119201,0.934970498085022,0.07246454477310182
Ladieswear || Sweater || Knitwear || Beige || Melange,new,17,dinov2,gate1b_nn_p90,0.9469841361045838,0.9007039070129395,0.9485378861427307,0.04783397912979126
Ladieswear || Dress || Dresses Ladies || Red || Solid,old,6,clip,gate1_pair_p90,0.9506405353546142,0.9344403147697449,0.9530965089797974,0.01865619421005249
Ladieswear || Dress || Dresses Ladies || Red || Solid,old,6,clip,gate1b_nn_p90,0.9530965089797974,0.935957670211792,0.9530965089797974,0.01713883876800537
Ladieswear || Dress || Dresses Ladies || Red || Solid,old,6,dinov2,gate1_pair_p90,0.8379443287849426,0.7173070311546326,0.9037286043167114,0.18642157316207886
Ladieswear || Dress || Dresses Ladies || Red || Solid,old,6,dinov2,gate1b_nn_p90,0.9037286043167114,0.7539040684700012,0.9037286043167114,0.14982453584671018
Ladieswear || Dress || Dresses Ladies || Red || Solid,new,25,clip,gate1_pair_p90,0.9505268812179566,0.9381196157634258,0.9584241509437561,0.020304535180330263
Ladieswear || Dress || Dresses Ladies || Red || Solid,new,25,clip,gate1b_nn_p90,0.9740213394165039,0.9604882815480232,0.9845765233039856,0.02408824175596236
Ladieswear || Dress || Dresses Ladies || Red || Solid,new,25,dinov2,gate1_pair_p90,0.8402593493461609,0.8048749606311321,0.868624746799469,0.06374978616833693
Ladieswear || Dress || Dresses Ladies || Red || Solid,new,25,dinov2,gate1b_nn_p90,0.9010064125061035,0.8715295720100403,0.9052655696868896,0.033735997676849316
Ladieswear || Top || Jersey Basic || White || Solid,new,19,clip,gate1_pair_p90,0.9771104454994202,0.9675303101539612,0.9806589615345002,0.01312865138053898
Ladieswear || Top || Jersey Basic || White || Solid,new,19,clip,gate1b_nn_p90,0.9863542199134827,0.9783494937419892,0.987939178943634,0.009589685201644826
Ladieswear || Top || Jersey Basic || White || Solid,new,19,dinov2,gate1_pair_p90,0.9279783368110657,0.9091098308563232,0.9354249238967896,0.02631509304046631
Ladieswear || Top || Jersey Basic || White || Solid,new,19,dinov2,gate1b_nn_p90,0.9559211373329163,0.9354249238967896,0.9652867913246155,0.029861867427825928
