style_key,index_group_name,product_type_name,garment_group_name,perceived_colour_master_name,graphical_appearance_name,predicted_intensity,trailing_13w_mean_intensity,growth_ratio,realised_intensity,emerging_rank,excluded
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,Ladieswear,Bikini top,Swimwear,Orange,All over pattern,37.876683521254286,19.594736918436013,1.9330029119001553,37.94044464307622,1,
Divided || Top || Jersey Fancy || Black || Solid,Divided,Top,Jersey Fancy,Black,Solid,19.353727795252777,11.208963653840204,1.7266295433674788,11.22921533869558,2,
Ladieswear || Bikini top || Swimwear || Blue || Stripe,Ladieswear,Bikini top,Swimwear,Blue,Stripe,61.49858554996876,35.8325958418153,1.7162749196697107,53.6438549847436,3,
Ladieswear || Dress || Jersey Fancy || Beige || Solid,Ladieswear,Dress,Jersey Fancy,Beige,Solid,19.007823561363058,11.079896169064721,1.715523617850613,19.6067509582446,4,
Ladieswear || Swimwear bottom || Swimwear || Blue || Stripe,Ladieswear,Swimwear bottom,Swimwear,Blue,Stripe,62.3221929850103,37.02530007104906,1.6832326237847688,51.75697496947497,5,visual-ambiguity exclusion: 'Swimwear bottom' is not identifiable from a flat-lay without a label
Menswear || Shorts || Shorts || Black || Denim,Menswear,Shorts,Shorts,Black,Denim,20.80730936691761,12.365256241601799,1.6827236702878248,13.287065284481336,6,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Black || Solid,Divided,Jumpsuit/Playsuit,Dresses Ladies,Black,Solid,23.042980080164696,14.157575757575758,1.6276077539499891,16.815086409317175,7,
Ladieswear || Bikini top || Swimwear || Blue || All over pattern,Ladieswear,Bikini top,Swimwear,Blue,All over pattern,29.46871061718663,18.246298180002633,1.6150514655889712,20.05311262529195,8,
Ladieswear || Swimwear bottom || Swimwear || Blue || All over pattern,Ladieswear,Swimwear bottom,Swimwear,Blue,All over pattern,20.96532988508844,13.22620232331771,1.585136033200301,15.81482166222283,9,visual-ambiguity exclusion: 'Swimwear bottom' is not identifiable from a flat-lay without a label
Ladieswear || Bikini top || Swimwear || Black || Solid,Ladieswear,Bikini top,Swimwear,Black,Solid,58.329954531085505,36.8573301960546,1.5825876215344934,39.87158145832821,10,
Ladieswear || Swimwear bottom || Swimwear || Black || All over pattern,Ladieswear,Swimwear bottom,Swimwear,Black,All over pattern,46.29156961185551,30.36265182186235,1.5246220878020833,29.08886744770612,11,visual-ambiguity exclusion: 'Swimwear bottom' is not identifiable from a flat-lay without a label
Ladieswear || Shorts || Shorts || Black || Solid,Ladieswear,Shorts,Shorts,Black,Solid,57.76066743185094,38.54125970702304,1.4986709793848725,43.98284141476309,12,
Divided || Dress || Dresses Ladies || Black || Solid,Divided,Dress,Dresses Ladies,Black,Solid,21.92225292385217,14.90600020470048,1.470699894190205,17.69019497409179,13,
Menswear || T-shirt || Jersey Basic || White || Solid,Menswear,T-shirt,Jersey Basic,White,Solid,45.12218458934972,30.89739819004525,1.4603878395135392,26.216624895572266,14,
Ladieswear || Leggings/Tights || Socks and Tights || Black || Solid,Ladieswear,Leggings/Tights,Socks and Tights,Black,Solid,29.588807306050363,20.263505431616885,1.4602018098943201,23.86024375091712,15,visual-ambiguity exclusion: 'Leggings/Tights' is not identifiable from a flat-lay without a label
Ladieswear || Shorts || Trousers || Blue || Denim,Ladieswear,Shorts,Trousers,Blue,Denim,19.21290193813199,13.856644920267211,1.386547901651902,10.739930219419382,16,
