rank,style_key,index_group_name,product_type_name,garment_group_name,perceived_colour_master_name,graphical_appearance_name,mean_units_per_active_article
1,Divided || Trousers || Trousers Denim || Black || Solid,Divided,Trousers,Trousers Denim,Black,Solid,98.02688679245283
2,Ladieswear || Swimwear bottom || Swimwear || Green || Other structure,Ladieswear,Swimwear bottom,Swimwear,Green,Other structure,82.74814169570267
3,Sport || Leggings/Tights || Jersey Fancy || Khaki green || Solid,Sport,Leggings/Tights,Jersey Fancy,Khaki green,Solid,79.23375
4,Ladieswear || Swimwear bottom || Swimwear || Black || Other structure,Ladieswear,Swimwear bottom,Swimwear,Black,Other structure,77.95840273458198
5,Ladieswear || Trousers || Trousers Denim || Black || Solid,Ladieswear,Trousers,Trousers Denim,Black,Solid,72.90786163522013
6,Ladieswear || Vest top || Jersey Basic || Black || Solid,Ladieswear,Vest top,Jersey Basic,Black,Solid,72.0937877834813
7,Divided || Vest top || Jersey Basic || Black || Solid,Divided,Vest top,Jersey Basic,Black,Solid,71.81538797905627
8,Ladieswear || Bikini top || Swimwear || Black || Other structure,Ladieswear,Bikini top,Swimwear,Black,Other structure,71.71321209081336
9,Ladieswear || Dress || Jersey Fancy || Blue || Dot,Ladieswear,Dress,Jersey Fancy,Blue,Dot,69.55882352941177
10,"Ladieswear || Pyjama bottom || Under-, Nightwear || Black || Solid",Ladieswear,Pyjama bottom,"Under-, Nightwear",Black,Solid,69.10298742138365
11,Ladieswear || Swimwear bottom || Swimwear || Blue || Other structure,Ladieswear,Swimwear bottom,Swimwear,Blue,Other structure,66.49034178187404
12,Ladieswear || Bikini top || Swimwear || Green || Other structure,Ladieswear,Bikini top,Swimwear,Green,Other structure,65.65200372330003
13,Ladieswear || Sweater || Special Offers || Black || Solid,Ladieswear,Sweater,Special Offers,Black,Solid,65.29444444444445
14,Divided || T-shirt || Jersey Basic || Mole || Solid,Divided,T-shirt,Jersey Basic,Mole,Solid,63.57712842712842
15,Sport || Leggings/Tights || Jersey Fancy || Black || Melange,Sport,Leggings/Tights,Jersey Fancy,Black,Melange,62.53942307692308
16,Divided || Unknown || Trousers Denim || Blue || Denim,Divided,Unknown,Trousers Denim,Blue,Denim,61.266666666666666
17,"Ladieswear || Sweater || Under-, Nightwear || Black || Solid",Ladieswear,Sweater,"Under-, Nightwear",Black,Solid,58.94574747841257
18,Ladieswear || Bikini top || Swimwear || Blue || Other structure,Ladieswear,Bikini top,Swimwear,Blue,Other structure,57.18252688172043
19,Ladieswear || Socks || Socks and Tights || Black || Contrast,Ladieswear,Socks,Socks and Tights,Black,Contrast,57.125
20,Ladieswear || Hoodie || Jersey Basic || Black || Solid,Ladieswear,Hoodie,Jersey Basic,Black,Solid,56.81996855345912
