rank,style_key,index_group_name,product_type_name,garment_group_name,perceived_colour_master_name,graphical_appearance_name,lifetime_units
1,Ladieswear || Trousers || Trousers || Black || Solid,Ladieswear,Trousers,Trousers,Black,Solid,464174
2,Divided || Trousers || Trousers Denim || Blue || Denim,Divided,Trousers,Trousers Denim,Blue,Denim,381009
3,"Ladieswear || Bra || Under-, Nightwear || Black || Solid",Ladieswear,Bra,"Under-, Nightwear",Black,Solid,312310
4,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",Ladieswear,Underwear bottom,"Under-, Nightwear",Black,Solid,303544
5,Divided || Trousers || Trousers || Blue || Solid,Divided,Trousers,Trousers,Blue,Solid,296172
6,Ladieswear || Blouse || Blouses || White || Solid,Ladieswear,Blouse,Blouses,White,Solid,286820
7,Ladieswear || Bikini top || Swimwear || Black || Solid,Ladieswear,Bikini top,Swimwear,Black,Solid,241391
8,Ladieswear || Swimwear bottom || Swimwear || Black || Solid,Ladieswear,Swimwear bottom,Swimwear,Black,Solid,232562
9,Divided || Trousers || Trousers || Black || Solid,Divided,Trousers,Trousers,Black,Solid,232111
10,Ladieswear || Trousers || Trousers || Blue || Denim,Ladieswear,Trousers,Trousers,Blue,Denim,231767
11,Ladieswear || Top || Jersey Fancy || Black || Solid,Ladieswear,Top,Jersey Fancy,Black,Solid,213631
12,Ladieswear || Dress || Dresses Ladies || Black || Solid,Ladieswear,Dress,Dresses Ladies,Black,Solid,191606
13,Ladieswear || Sweater || Knitwear || Grey || Melange,Ladieswear,Sweater,Knitwear,Grey,Melange,171180
14,Ladieswear || T-shirt || Jersey Basic || Black || Solid,Ladieswear,T-shirt,Jersey Basic,Black,Solid,162927
15,Sport || Leggings/Tights || Jersey Fancy || Black || Solid,Sport,Leggings/Tights,Jersey Fancy,Black,Solid,152774
16,Ladieswear || Dress || Jersey Fancy || Black || Solid,Ladieswear,Dress,Jersey Fancy,Black,Solid,147354
17,Ladieswear || Sweater || Knitwear || Black || Solid,Ladieswear,Sweater,Knitwear,Black,Solid,147239
18,Divided || Dress || Dresses Ladies || Black || Solid,Divided,Dress,Dresses Ladies,Black,Solid,145864
19,Ladieswear || T-shirt || Jersey Basic || White || Solid,Ladieswear,T-shirt,Jersey Basic,White,Solid,139883
20,"Ladieswear || Bra || Under-, Nightwear || White || Solid",Ladieswear,Bra,"Under-, Nightwear",White,Solid,137437
