feature,expected_sign,shap_rank,mean_abs_shap,shap_spearman,shap_consistent,n_test_origins_with_rho,growth_spearman_mean,growth_spearman_ci_lo,growth_spearman_ci_hi,growth_consistent,shap_verdict
cust_age_std_slope_4w,-1,41,0.0032617370553388505,0.7378051526681726,false,12,0.09392641916978668,0.06438625772668062,0.12788647045566373,false,MIXED
cust_age_std_slope_13w,-1,60,0.00022349000740036162,0.6205490070648377,false,12,0.12747513950200043,0.10941550163199432,0.1584864398940252,false,MIXED
cust_age_gini_slope_4w,-1,45,0.0018551644385345952,0.3733521624516371,false,12,0.11142985676037877,0.08321417582193348,0.14145728921915113,false,MIXED
cust_age_gini_slope_13w,-1,65,0.0,NaN,false,12,0.1265892595623632,0.1002340702847563,0.1706420548044484,false,MIXED
cust_geo_distinct_postal_slope_4w,1,3,0.07306918257794418,0.8439714668977004,true,12,0.3792424046037938,0.30467153469815184,0.4576384159440325,true,MIXED
cust_geo_distinct_postal_slope_13w,1,32,0.00890883127601567,-0.8234704159014757,false,12,0.24804934142381643,0.15711197147849262,0.3895493489431938,true,MIXED
cust_geo_hhi_slope_4w,-1,15,0.024362611519205837,-0.6897696143229238,true,12,-0.37817125683554526,-0.4502775443432756,-0.29964789134536174,true,MIXED
cust_geo_hhi_slope_13w,-1,40,0.0032698862663052006,0.1550368479882005,false,12,-0.28912760660340364,-0.3855813671885155,-0.22847371489617063,true,MIXED
cust_repeat_share_slope_4w,-1,16,0.023255432950520707,-0.706004727505994,true,12,-0.06640801474048465,-0.11832397185586752,-0.02477661034867164,true,MIXED
cust_repeat_share_slope_13w,-1,53,0.0007675832308705333,-0.5454268287555362,true,10,-0.13499938188070656,-0.19736375747747337,-0.0718636441707067,true,MIXED
