style_key,class,n_photos_requested,n_photos_ok,n_fallback,raw_threshold
Ladieswear || Leggings/Tights || Socks and Tights || Black || Solid,solid,8,8,0,5.340402057436483
Ladieswear || Leggings/Tights || Jersey Fancy || Black || Solid,solid,8,8,0,3.67187043325999
Ladieswear || Leggings/Tights || Jersey Fancy || Grey || Melange,solid,7,7,0,10.368601423426503
"Ladieswear || Bra || Under-, Nightwear || Lilac Purple || Solid",solid,8,8,0,13.558003686227758
Ladieswear || Swimsuit || Swimwear || Red || Solid,solid,8,8,0,4.41275151860742
Divided || Leggings/Tights || Jersey Basic || Black || Solid,solid,8,8,0,2.2200332810079515
Divided || T-shirt || Jersey Basic || White || Stripe,patterned,8,8,0,7.6082833633545395
Ladieswear || Sunglasses || Accessories || Black || Solid,solid,8,8,0,6.8882753528774
Ladieswear || Sunglasses || Accessories || Green || Solid,solid,8,8,2,10.518868618020406
Ladieswear || Hat/beanie || Accessories || Orange || Solid,solid,8,8,0,6.415341581115257
Ladieswear || Earring || Accessories || Pink || Solid,solid,8,8,1,11.039546030799258
Ladieswear || T-shirt || Jersey Fancy || Black || Solid,solid,8,8,0,2.2587762416634827
Ladieswear || Underwear Tights || Socks and Tights || Black || All over pattern,patterned,8,8,0,7.197906795882373
Divided || Jacket || Outdoor || Black || Solid,solid,8,8,0,4.891676834213081
Divided || Dress || Trousers Denim || Blue || Denim,patterned,8,8,0,11.091713290597879
Menswear || Belt || Accessories || Black || Solid,solid,8,8,1,21.166520182891844
Divided || Shorts || Shorts || Black || Solid,solid,8,8,0,3.1632208610577104
Ladieswear || Top || Jersey Basic || White || Solid,solid,8,8,0,1.1417496866861245
Ladieswear || Top || Jersey Basic || Grey || Melange,solid,8,8,0,10.682813764800306
Divided || Dress || Dresses Ladies || Black || Solid,solid,8,8,0,2.290750923783207
Baby/Children || Bodysuit || Jersey Basic || Pink || All over pattern,patterned,8,8,0,17.445726570084886
Ladieswear || Ballerinas || Shoes || Beige || All over pattern,patterned,5,5,0,5.5218144870109676
Ladieswear || Swimwear bottom || Swimwear || Red || Solid,solid,8,8,0,8.256300608657643
Ladieswear || Necklace || Accessories || Metal || Solid,solid,8,8,0,0.4862856182855958
Divided || Bag || Accessories || Grey || Solid,solid,8,8,0,7.580271512288192
Baby/Children || Blazer || Shirts || Blue || Solid,solid,8,8,2,11.475944337799813
"Ladieswear || Bra || Under-, Nightwear || Grey || Melange",solid,8,8,0,7.905492949810606
Ladieswear || Socks || Socks and Tights || Blue || Melange,solid,8,8,1,24.24161828915065
Divided || T-shirt || Jersey Fancy || Black || Treatment,patterned,7,7,0,3.3083809358933585
Divided || Hoodie || Jersey Basic || Lilac Purple || Solid,solid,6,6,0,8.289374030428576
Menswear || Trousers || Trousers || Blue || Denim,patterned,8,8,0,8.841532854492918
Divided || Dress || Jersey Fancy || Black || Front print,patterned,7,7,0,4.206736547504242
Sport || Vest top || Jersey Fancy || Black || Front print,patterned,7,7,0,1.453691674693916
Menswear || Hoodie || Jersey Basic || Orange || Solid,solid,6,6,0,12.56204763192737
Divided || Belt || Accessories || Black || Solid,solid,8,8,0,5.78420088869308
Menswear || Shirt || Shirts || Red || Solid,solid,8,8,0,11.50721834338815
Ladieswear || Jacket || Outdoor || Blue || Denim,patterned,8,8,0,3.748154913137941
Divided || Dress || Dresses Ladies || Red || Solid,solid,8,8,0,6.983120299465232
Baby/Children || Vest top || Jersey Basic || Grey || Melange,solid,8,8,0,22.07990446199919
Ladieswear || Socks || Socks and Tights || Black || Glittering/Metallic,patterned,8,8,1,31.03350059584002
Menswear || Bracelet || Accessories || Metal || Solid,solid,8,8,1,0.6141206993803343
Divided || Jacket || Trousers Denim || Blue || Denim,patterned,8,8,1,6.110358621922794
Baby/Children || Bodysuit || Jersey Fancy || Blue || Stripe,patterned,8,8,0,8.77499300002843
Baby/Children || Hoodie || Jersey Basic || Black || Solid,solid,8,8,0,2.3473145380552736
Menswear || Trousers || Jersey Fancy || Black || Solid,solid,8,8,0,1.901534990688974
Sport || Shorts || Jersey Fancy || Black || Solid,solid,8,8,0,3.3003886262013022
Ladieswear || Top || Jersey Fancy || Blue || Stripe,patterned,8,8,0,3.4443459882948995
Ladieswear || Shorts || Shorts || Black || Solid,solid,8,8,0,1.7375978407681243
Ladieswear || Top || Jersey Fancy || Blue || Lace,patterned,7,7,0,7.5074599096011
Divided || Dress || Dresses Ladies || Red || All over pattern,patterned,8,8,0,7.887364504945953
Ladieswear || Shirt || Blouses || Blue || Stripe,patterned,8,8,0,8.40787199390643
Ladieswear || Top || Jersey Fancy || Red || Solid,solid,8,8,0,8.898969034918874
Ladieswear || Top || Jersey Fancy || Mole || Solid,solid,8,8,0,8.08288273262295
Ladieswear || Top || Jersey Fancy || Green || Solid,solid,8,8,0,17.837573582941452
Ladieswear || Flat shoe || Shoes || Black || Solid,solid,8,8,0,21.496028148605507
"Ladieswear || Underwear bottom || Under-, Nightwear || Grey || Solid",solid,8,8,0,8.545338351984569
Divided || Dress || Dresses Ladies || Blue || Solid,solid,8,8,0,9.391476138800403
Divided || Shorts || Trousers Denim || Black || Denim,patterned,8,8,0,1.5968979100069087
Ladieswear || Sneakers || Shoes || Beige || Solid,solid,8,8,0,7.804213804742485
Baby/Children || Sweater || Knitwear || Grey || Front print,patterned,8,8,0,18.192100395639116
"Baby/Children || Kids Underwear top || Under-, Nightwear || White || Solid",solid,8,8,0,23.640810780037857
Ladieswear || Skirt || Skirts || Black || Solid,solid,8,8,0,3.551434323063406
Menswear || Sweater || Knitwear || Beige || Solid,solid,8,8,0,6.61793338994308
Sport || Leggings/Tights || Jersey Fancy || Black || Colour blocking,patterned,8,8,0,9.987549774750711
Baby/Children || Trousers || Trousers || Pink || Solid,solid,8,8,0,12.842853360549295
"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Dot",patterned,7,7,0,8.967843348700502
Ladieswear || Sandals || Shoes || Orange || Solid,solid,8,8,0,12.836631091379223
Ladieswear || Sandals || Shoes || Brown || Solid,solid,8,8,0,5.583967694104674
Ladieswear || Swimwear bottom || Swimwear || Black || All over pattern,patterned,8,8,0,22.321434673351828
Menswear || Jacket || Outdoor || Blue || Solid,solid,8,8,0,5.093100369331595
Ladieswear || Sweater || Knitwear || Pink || Solid,solid,8,8,0,11.688205070490461
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,patterned,8,8,0,20.70717898975389
Divided || Shirt || Blouses || Black || Check,patterned,8,8,0,9.813747186844203
Ladieswear || Blazer || Dressed || Blue || Solid,solid,8,8,0,22.309287451569745
Divided || Sweater || Knitwear || Yellow || Solid,solid,8,8,0,14.63749765718588
Divided || Vest top || Blouses || Black || Solid,solid,8,8,0,4.285529270131548
Ladieswear || Dress || Blouses || Blue || All over pattern,patterned,8,8,1,17.25893643150683
Menswear || Trousers || Trousers || Black || Melange,solid,8,8,0,8.903137917178396
Ladieswear || Shirt || Blouses || Blue || Check,patterned,8,8,0,22.22891534785419
"Ladieswear || Unknown || Under-, Nightwear || White || Solid",solid,7,7,0,1.846306264488848
Menswear || T-shirt || Jersey Fancy || Black || Front print,patterned,8,8,0,7.04606975560236
Ladieswear || Dress || Jersey Fancy || Blue || Stripe,patterned,8,8,0,12.094246458419342
"Ladieswear || Underwear bottom || Under-, Nightwear || White || All over pattern",patterned,6,6,1,10.29020683494493
Ladieswear || Scarf || Accessories || Orange || Solid,solid,8,8,1,10.147766789163818
Divided || Hat/beanie || Accessories || White || Solid,solid,8,8,0,5.652075020751818
Menswear || T-shirt || Jersey Basic || Blue || Melange,solid,8,8,0,15.060038293589358
Ladieswear || Vest top || Jersey Fancy || Yellow || Solid,solid,8,8,0,12.901356046577725
Menswear || Hoodie || Jersey Fancy || White || Placement print,patterned,8,8,0,1.23724581106968
Ladieswear || Scarf || Accessories || Beige || All over pattern,patterned,8,8,0,12.362876080581016
Ladieswear || Hair ties || Accessories || Black || Solid,solid,8,8,0,24.13114981481888
Divided || Skirt || Trousers Denim || Black || Denim,patterned,8,8,0,2.02178698121279
Ladieswear || Shorts || Trousers || Pink || Solid,solid,8,8,0,8.808005545220196
Menswear || T-shirt || Jersey Fancy || Blue || Stripe,patterned,8,8,0,17.591536465627286
Ladieswear || Coat || Outdoor || Green || Solid,solid,5,5,0,32.02421365814522
Divided || Shirt || Blouses || Lilac Purple || Solid,solid,6,6,0,4.624572514181507
Divided || Other accessories || Accessories || Beige || Solid,solid,8,8,0,12.319585418427492
Ladieswear || Blouse || Blouses || Orange || All over pattern,patterned,8,8,0,19.37407705737353
Ladieswear || Blouse || Unknown || Black || Solid,solid,8,8,0,2.673614477309044
"Ladieswear || Bra || Under-, Nightwear || Green || Solid",solid,8,8,0,11.2879259990683
