name,group,style,product_reading,colour_reading,old_gate2,product_ok,colour_ok,new_gate2,gate2_changed,changed_by,verdict_old,verdict_new
wrong_00,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_01,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_02,N4_wrong_style,Dress,Turtleneck.,Brown.,false,false,false,false,false,"",REJECT,REJECT
wrong_03,N4_wrong_style,Dress,Sweater.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_04,N4_wrong_style,Dress,Turtleneck.,Brown.,false,false,false,false,false,"",REJECT,REJECT
wrong_05,N4_wrong_style,Dress,Turtleneck.,Brown.,false,false,false,false,false,"",REJECT,REJECT
wrong_06,N4_wrong_style,Dress,Turtleneck.,Brown.,false,false,false,false,false,"",REJECT,REJECT
wrong_07,N4_wrong_style,Dress,T-shirt.,Brown.,false,false,false,false,false,"",REJECT,REJECT
wrong_08,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_09,N4_wrong_style,Dress,Sweater.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_10,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_11,N4_wrong_style,Dress,Turtleneck.,Brown.,false,false,false,false,false,"",REJECT,REJECT
wrong_12,N4_wrong_style,Dress,T-shirt.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_13,N4_wrong_style,Dress,T-shirt.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_14,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_15,N4_wrong_style,Dress,T-shirt.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_16,N4_wrong_style,Dress,T-shirt.,Brown.,false,false,false,false,false,"",REJECT,REJECT
wrong_17,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_18,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_19,N4_wrong_style,Dress,Turtleneck.,Brown.,false,false,false,false,false,"",REJECT,REJECT
wrong_20,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_21,N4_wrong_style,Dress,Sweater.,BEAN.,false,false,false,false,false,"",REJECT,REJECT
wrong_22,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_23,N4_wrong_style,Dress,Turtleneck.,Beige.,false,false,false,false,false,"",REJECT,REJECT
wrong_24,N4_wrong_style,Top,Dress.,Orange.,false,false,false,false,false,"",REJECT,REJECT
wrong_25,N4_wrong_style,Top,Dress.,Red.,false,false,false,false,false,"",REJECT,REJECT
wrong_26,N4_wrong_style,Top,Dress.,Red.,false,false,false,false,false,"",REJECT,REJECT
wrong_27,N4_wrong_style,Top,Dress.,Orange.,false,false,false,false,false,"",REJECT,REJECT
wrong_28,N4_wrong_style,Top,Dress.,Red.,false,false,false,false,false,"",REJECT,REJECT
wrong_29,N4_wrong_style,Top,Dress.,Orange.,false,false,false,false,false,"",REJECT,REJECT
wrong_30,N4_wrong_style,Top,Dress.,Red.,false,false,false,false,false,"",REJECT,REJECT
wrong_31,N4_wrong_style,Top,Dress.,White.,true,false,true,false,true,product_type,REJECT,REJECT
wrong_32,N4_wrong_style,Top,Dress.,Red.,false,false,false,false,false,"",REJECT,REJECT
wrong_33,N4_wrong_style,Top,Dress.,Orange.,false,false,false,false,false,"",REJECT,REJECT
wrong_34,N4_wrong_style,Top,Dress.,Red.,false,false,false,false,false,"",REJECT,REJECT
wrong_35,N4_wrong_style,Top,Dress.,Red.,false,false,false,false,false,"",REJECT,REJECT
