method_a,method_b,split,metric,n_origins,directional_only,mean_diff,diff_ci_low,diff_ci_high
lightgbm,seasonal_naive,pooled,hit_at_3_in_top20,10,false,-0.1,-0.23333333333333334,-5.551115123125783e-18
lightgbm,seasonal_naive,pooled,hit_at_3_in_top10,10,false,-0.03333333333333334,-0.20000000000000004,0.09999999999999998
lightgbm,seasonal_naive,pooled,precision_at_3,10,false,-0.1,-0.26666666666666666,0.1
lightgbm,seasonal_naive,pooled,precision_at_10,10,false,2.7755575615628915e-18,-0.10999999999999999,0.07999999999999999
lightgbm,seasonal_naive,pooled,ndcg_at_10,10,false,-0.00997152478736248,-0.06927116121352572,0.053252220596975985
lightgbm,seasonal_naive,pooled,spearman_rho,10,false,-0.021182667815342476,-0.0992656940505767,0.05577770950331153
lightgbm,seasonal_naive,pooled,wmape,10,false,-0.09056557633601944,-0.11518849797944877,-0.05398085610026075
lightgbm,seasonal_naive,covid,hit_at_3_in_top20,7,true,-0.09523809523809525,-0.23809523809523814,-0.09523809523809525
lightgbm,seasonal_naive,covid,hit_at_3_in_top10,7,true,-0.09523809523809525,-0.2380952380952381,-0.04761904761904763
lightgbm,seasonal_naive,covid,precision_at_3,7,true,-0.14285714285714285,-0.3333333333333333,0.047619047619047616
lightgbm,seasonal_naive,covid,precision_at_10,7,true,7.93016446160826e-18,-0.12857142857142856,7.93016446160826e-18
lightgbm,seasonal_naive,covid,ndcg_at_10,7,true,-0.004971711445580983,-0.08549494750452244,-0.004971711445580983
lightgbm,seasonal_naive,covid,spearman_rho,7,true,0.02093031230501058,-0.02396564806101953,0.062070684141819064
lightgbm,seasonal_naive,covid,wmape,7,true,-0.11312848428469077,-0.12137811715164341,-0.09271012782736222
lightgbm,seasonal_naive,non_covid,hit_at_3_in_top20,3,true,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111
lightgbm,seasonal_naive,non_covid,hit_at_3_in_top10,3,true,0.1111111111111111,0.1111111111111111,0.1111111111111111
lightgbm,seasonal_naive,non_covid,precision_at_3,3,true,0.0,0.0,0.0
lightgbm,seasonal_naive,non_covid,precision_at_10,3,true,-9.25185853854297e-18,-9.25185853854297e-18,-9.25185853854297e-18
