method,split,n_origins,hit_at_3_in_top20_mean,hit_at_3_in_top20_ci_low,hit_at_3_in_top20_ci_high,hit_at_3_in_top10_mean,hit_at_3_in_top10_ci_low,hit_at_3_in_top10_ci_high,precision_at_3_mean,precision_at_3_ci_low,precision_at_3_ci_high,precision_at_10_mean,precision_at_10_ci_low,precision_at_10_ci_high,ndcg_at_10_mean,ndcg_at_10_ci_low,ndcg_at_10_ci_high,spearman_rho_mean,spearman_rho_ci_low,spearman_rho_ci_high,wmape_mean,wmape_ci_low,wmape_ci_high
ewma_persistence,pooled,10,0.4333333333333333,0.3,0.7333333333333334,0.36666666666666664,0.23333333333333334,0.6666666666666667,0.16666666666666666,0.1,0.33333333333333337,0.24000000000000005,0.19,0.4,0.5664646639561466,0.4931557524291702,0.734965227623649,0.3740656367901399,0.24968618355190766,0.6700693639905786,0.3277765485196383,0.3052034477585999,0.36376936263753906
ewma_persistence,covid,7,0.5238095238095238,0.42857142857142855,0.8095238095238094,0.4761904761904762,0.33333333333333337,0.7142857142857143,0.23809523809523808,0.19047619047619047,0.3333333333333333,0.3,0.2,0.42857142857142855,0.6380258654973917,0.5388370639054217,0.7508173155469487,0.49215044468228264,0.27010491228164524,0.7056011782718733,0.3064865555515931,0.3000796901699924,0.331325471005211
ewma_persistence,non_covid,3,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.39948852702657495,0.39948852702657495,0.39948852702657495,0.09853441837514014,0.09853441837514014,0.09853441837514014,0.3774531987784102,0.3774531987784102,0.3774531987784102
global_mean,pooled,10,0.06666666666666667,0.0,0.16666666666666666,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.06,0.3423904667315263,0.24929367738741406,0.3801797006886241,0.2519683665535222,0.20724745422862428,0.28173794335435914,0.7083734873132708,0.630338368067932,0.7967052918455947
global_mean,covid,7,0.047619047619047616,0.0,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,0.028571428571428574,0.0,0.05714285714285715,0.3044386568982504,0.24122152619941298,0.31965479443529227,0.2654633633875505,0.2034093979336021,0.26546336338755055,0.6762193724462743,0.626496917689315,0.7340995456290482
global_mean,non_covid,3,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4309446896758367,0.4309446896758367,0.4309446896758367,0.2204800406074563,0.2204800406074563,0.2204800406074563,0.7833997553362625,0.7833997553362625,0.7833997553362625
lightgbm,pooled,10,0.5333333333333333,0.4333333333333333,0.7,0.4333333333333333,0.36666666666666664,0.6333333333333334,0.1,0.0,0.2666666666666667,0.37,0.31999999999999995,0.4699999999999999,0.6572646097393615,0.5950482053108537,0.722312554149248,0.5934584547043708,0.4676284851502713,0.7463418020937598,0.29584683204164186,0.2731050243554389,0.3318179029244924
lightgbm,covid,7,0.619047619047619,0.5714285714285714,0.7619047619047619,0.4761904761904762,0.3333333333333333,0.619047619047619,0.09523809523809523,0.0,0.19047619047619047,0.4285714285714285,0.35714285714285715,0.4857142857142857,0.7109322464479291,0.668853478181421,0.7311095283859192,0.6759611545170594,0.6759611545170594,0.7696463777794482,0.29428192904513883,0.2694824453528179,0.3269128591997093
lightgbm,non_covid,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2333333333333333,0.2333333333333333,0.2333333333333333,0.5320401240860376,0.5320401240860376,0.5320401240860376,0.40095215514143057,0.40095215514143057,0.40095215514143057,0.2994982723668155,0.2994982723668155,0.2994982723668155
parent_category_mean,pooled,10,0.39999999999999997,0.2333333333333333,0.7333333333333333,0.16666666666666666,0.1,0.2666666666666667,0.03333333333333333,0.0,0.1,0.19,0.13999999999999999,0.31,0.5114575180294121,0.44199045555583033,0.5958878903115394,0.32331844791741127,0.26855018918235707,0.43390721490680884,0.4827259286970943,0.4547566241365292,0.5198547012003703
