key,claude,gemini,gemini25_partial,gemini37_partial,qwen
S01|A|0,equivalent,,better,better,better
S01|A|1,equivalent,,better,equivalent,equivalent
S01|A|2,equivalent,,better,better,better
S01|B|0,equivalent,,better,equivalent,better
S01|B|1,equivalent,,better,better,better
S01|B|2,equivalent,,better,equivalent,equivalent
S02|B|0,equivalent,,better,,better
S02|B|1,equivalent,,better,,better
S02|B|2,equivalent,,better,,better
S04|A|0,other,,,,worse
S04|A|1,other,,,,worse
S04|A|2,other,,,,worse
S04|B|2,equivalent,,,,better
S06|A|0,equivalent,,,,better
S06|A|2,equivalent,,,,better
S06|B|1,equivalent,,,,better
S06|B|2,equivalent,,,,better
S09|A|0,better,,,,equivalent
S10|A|1,equivalent,,,,worse
S10|B|2,equivalent,,,,worse
