name,group,style,fidelity_pass,k4_gate2,l3_gate2,colour_pass,colour_de,colour_threshold,mask_fallback,product_pass,product_retrieved,product_top1_style,verdict_pre_k4,verdict_k4,verdict_l3
wrong_00,N4_wrong_style,Dress,false,false,false,false,20.89,4.5,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_01,N4_wrong_style,Dress,false,false,false,false,19.73,4.5,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_02,N4_wrong_style,Dress,false,false,false,false,18.18,4.5,false,false,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid,REJECT,REJECT,REJECT
wrong_03,N4_wrong_style,Dress,false,false,false,false,19.94,4.5,false,false,Sweater,Divided || Sweater || Knitwear || Orange || Solid,REJECT,REJECT,REJECT
wrong_04,N4_wrong_style,Dress,false,false,false,false,19.19,4.5,false,false,Sweater,Ladieswear || Sweater || Knitwear || Khaki green || Melange,REJECT,REJECT,REJECT
wrong_05,N4_wrong_style,Dress,false,false,false,false,18.83,4.5,false,false,Sweater,Divided || Sweater || Knitwear || Orange || Solid,REJECT,REJECT,REJECT
wrong_06,N4_wrong_style,Dress,false,false,false,false,20.24,4.5,false,false,Sweater,Ladieswear || Sweater || Knitwear || Beige || Melange,REJECT,REJECT,REJECT
wrong_07,N4_wrong_style,Dress,false,false,false,false,19.7,4.5,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_08,N4_wrong_style,Dress,false,false,false,false,20.42,4.5,false,false,Sweater,Divided || Sweater || Knitwear || Orange || Solid,REJECT,REJECT,REJECT
wrong_09,N4_wrong_style,Dress,false,false,false,false,19.3,4.5,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_10,N4_wrong_style,Dress,false,false,false,false,21.35,4.5,true,false,Sweater,Menswear || Sweater || Knitwear || White || Other structure,REJECT,REJECT,REJECT
wrong_11,N4_wrong_style,Dress,false,false,false,false,19.46,4.5,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_12,N4_wrong_style,Dress,false,false,false,false,19.59,4.5,false,false,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid,REJECT,REJECT,REJECT
wrong_13,N4_wrong_style,Dress,false,false,false,false,20.04,4.5,false,false,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid,REJECT,REJECT,REJECT
