case,stratum,attempt,n_runs,consistent,majority,majority_count,majority_matches_rule,all_runs_match_rule,verdict_outcome_consistent,verdict_outcome_all_match
wrong_00,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_01,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_02,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_03,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_04,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_05,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_06,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_07,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_08,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_09,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_10,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_11,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_12,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_13,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_14,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_15,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_16,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_17,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_18,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_19,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_20,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_21,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_22,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_23,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_24,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_25,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
