attempt,stratum,cases,runs,unparsed,verdict_ok,verdict_ok_lo,verdict_ok_hi,outcome_ok,outcome_ok_lo,outcome_ok_hi,hop_ok,hop_ok_lo,hop_ok_hi,adjust_ok_runs,adjust_runs,consistent_cases,verdict_outcome_consistent_cases,majority_matches_rule_cases,all_runs_match_rule_cases,verdict_outcome_all_match_cases
1,ALL,115,345,0,1.0,0.9889879520237784,1.0,1.0,0.9889879520237784,1.0,1.0,0.9889879520237784,1.0,335,336,114,115,115,114,115
1,N1_malformed,3,9,0,1.0,0.700854948272956,1.0,1.0,0.700854948272956,1.0,1.0,0.700854948272956,1.0,9,9,3,3,3,3,3
1,N2_swatch,2,6,0,1.0,0.6096657083436265,1.0,1.0,0.6096657083436265,1.0,1.0,0.6096657083436265,1.0,6,6,2,2,2,2,2
1,N3_clone,4,12,0,1.0,0.7575059904469021,1.0,1.0,0.7575059904469021,1.0,1.0,0.7575059904469021,1.0,12,12,4,4,4,4,4
1,N4_wrong_style,96,288,0,1.0,0.9868371721549732,1.0,1.0,0.9868371721549732,1.0,1.0,0.9868371721549732,1.0,288,288,96,96,96,96,96
1,P1_approved,4,12,0,1.0,0.7575059904469021,1.0,1.0,0.7575059904469021,1.0,1.0,0.7575059904469021,1.0,5,6,3,4,4,3,4
1,P2_coherent,6,18,0,1.0,0.8241207740667156,1.0,1.0,0.8241207740667156,1.0,1.0,0.8241207740667156,1.0,15,15,6,6,6,6,6
3,ALL,19,57,0,1.0,0.9368611642138491,1.0,1.0,0.9368611642138491,1.0,1.0,0.9368611642138491,1.0,0,0,19,19,19,19,19
3,N1_malformed,3,9,0,1.0,0.700854948272956,1.0,1.0,0.700854948272956,1.0,1.0,0.700854948272956,1.0,0,0,3,3,3,3,3
3,N2_swatch,2,6,0,1.0,0.6096657083436265,1.0,1.0,0.6096657083436265,1.0,1.0,0.6096657083436265,1.0,0,0,2,2,2,2,2
3,N3_clone,4,12,0,1.0,0.7575059904469021,1.0,1.0,0.7575059904469021,1.0,1.0,0.7575059904469021,1.0,0,0,4,4,4,4,4
3,P1_approved,4,12,0,1.0,0.7575059904469021,1.0,1.0,0.7575059904469021,1.0,1.0,0.7575059904469021,1.0,0,0,4,4,4,4,4
3,P2_coherent,6,18,0,1.0,0.8241207740667156,1.0,1.0,0.8241207740667156,1.0,1.0,0.8241207740667156,1.0,0,0,6,6,6,6,6
