style,image,scale,seed,others_pass,fidelity_pass,all_pre_k4,all_k4,all_binary,all_m,colour_pass,colour_verdict,colour_raw_threshold,colour_de,colour_threshold,mask_fallback,product_pass,product_retrieved,product_top1_style
Dress,s0.15_seed42.png,0.15,42,true,true,true,false,false,false,false,fail,4.3,12.36,4.3,false,true,Dress,Ladieswear || Dress || Blouses || Orange || Solid
Dress,s0.15_seed43.png,0.15,43,false,true,false,false,false,false,true,pass,4.3,2.24,4.3,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid
Dress,s0.25_seed42.png,0.25,42,false,false,false,false,false,false,false,fail,4.3,4.92,4.3,false,true,Dress,Ladieswear || Dress || Blouses || Blue || Stripe
Dress,s0.25_seed43.png,0.25,43,false,true,false,false,false,false,true,pass,4.3,2.69,4.3,false,true,Dress,Divided || Dress || Unknown || Red || Solid
Dress,s0.35_seed42.png,0.35,42,false,false,false,false,false,false,true,pass,4.3,1.8,4.3,false,true,Dress,Baby/Children || Dress || Dresses/Skirts girls || Blue || Stripe
Dress,s0.35_seed43.png,0.35,43,true,true,true,true,true,true,true,pass,4.3,1.93,4.3,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid
Dress,s0.35_seed44.png,0.35,44,true,true,true,true,true,true,true,pass,4.3,1.67,4.3,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid
Dress,s0.35_seed45.png,0.35,45,true,true,true,false,false,false,false,fail,4.3,5.34,4.3,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid
Dress,s0.35_seed46.png,0.35,46,false,true,false,false,false,false,true,pass,4.3,2.22,4.3,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Blue || Solid
Dress,s0.35_seed47.png,0.35,47,true,true,true,false,true,true,true,pass,4.3,3.43,4.3,false,true,Dress,Ladieswear || Dress || Blouses || Orange || Solid
Dress,s0.35_seed48.png,0.35,48,false,true,false,false,false,false,true,pass,4.3,1.65,4.3,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid
Dress,s0.35_seed49.png,0.35,49,false,true,false,false,false,false,false,fail,4.3,27.59,4.3,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Lilac Purple || Solid
Dress,s0.45_seed42.png,0.45,42,false,false,false,false,false,false,false,fail,4.3,5.66,4.3,false,true,Dress,Baby/Children || Dress || Dresses/Skirts girls || Blue || Stripe
Dress,s0.45_seed43.png,0.45,43,true,true,true,false,true,true,true,pass,4.3,1.64,4.3,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid
Bikini top,s0.35_seed42.png,0.35,42,false,false,false,false,false,false,false,escalate,13.82,7.69,7.35,false,true,Bikini top,Ladieswear || Bikini top || Swimwear || Orange || All over pattern
Bikini top,s0.35_seed43.png,0.35,43,false,false,false,false,false,false,true,escalate,13.82,7.04,7.35,false,true,Bikini top,Ladieswear || Bikini top || Swimwear || Red || All over pattern
Bikini top,s0.35_seed44.png,0.35,44,true,false,false,false,false,false,true,pass,13.82,5.09,7.35,false,true,Bikini top,Ladieswear || Bikini top || Swimwear || Orange || All over pattern
Bikini top,s0.35_seed45.png,0.35,45,false,false,false,false,false,false,true,pass,13.82,2.41,7.35,false,true,Bikini top,Ladieswear || Bikini top || Swimwear || Red || Lace
Bikini top,s0.35_seed46.png,0.35,46,true,false,false,false,false,false,false,fail,13.82,8.97,7.35,false,true,Bikini top,Ladieswear || Bikini top || Swimwear || Black || All over pattern
Bikini top,s0.35_seed47.png,0.35,47,true,false,false,false,false,false,true,escalate,13.82,7.24,7.35,false,true,Bikini top,Ladieswear || Bikini top || Swimwear || Black || All over pattern
Bikini top,s0.35_seed48.png,0.35,48,true,false,false,false,false,false,true,pass,13.82,2.34,7.35,false,true,Bikini top,Ladieswear || Bikini top || Swimwear || Orange || All over pattern
Bikini top,s0.35_seed49.png,0.35,49,false,false,false,false,false,false,true,pass,13.82,1.4,7.35,false,true,Bikini top,Ladieswear || Bikini top || Swimwear || Orange || All over pattern
Top,s0.15_seed42.png,0.15,42,false,true,false,false,false,false,true,pass,1.12,0.94,2.62,false,false,Blouse,Baby/Children || Blouse || Dresses/Skirts girls || White || Solid
Top,s0.15_seed43.png,0.15,43,false,true,false,false,false,false,true,pass,1.12,2.18,2.62,false,false,Trousers,Ladieswear || Trousers || Trousers || Orange || Solid
Top,s0.25_seed42.png,0.25,42,false,true,false,false,false,false,true,pass,1.12,0.66,2.62,false,false,Blouse,Baby/Children || Blouse || Dresses/Skirts girls || White || Solid
