name,group,style,fidelity_pass,k4_gate2,binary_gate2,m_gate2,colour_pass,colour_verdict,colour_raw_threshold,colour_de,colour_threshold,mask_fallback,product_pass,product_retrieved,product_top1_style,verdict_pre_k4,verdict_k4,verdict_m
wrong_00,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,20.93,4.3,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_01,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,19.77,4.3,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_02,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,18.23,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid,REJECT,REJECT,REJECT
wrong_03,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,19.99,4.3,false,false,Sweater,Divided || Sweater || Knitwear || Orange || Solid,REJECT,REJECT,REJECT
wrong_04,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,19.23,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Khaki green || Melange,REJECT,REJECT,REJECT
wrong_05,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,18.87,4.3,false,false,Sweater,Divided || Sweater || Knitwear || Orange || Solid,REJECT,REJECT,REJECT
wrong_06,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,20.29,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Beige || Melange,REJECT,REJECT,REJECT
wrong_07,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,19.74,4.3,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_08,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,20.46,4.3,false,false,Sweater,Divided || Sweater || Knitwear || Orange || Solid,REJECT,REJECT,REJECT
wrong_09,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,19.34,4.3,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_10,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,21.43,4.3,false,false,Sweater,Menswear || Sweater || Knitwear || White || Other structure,REJECT,REJECT,REJECT
wrong_11,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,19.52,4.3,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_12,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,19.63,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid,REJECT,REJECT,REJECT
wrong_13,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,20.08,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid,REJECT,REJECT,REJECT
wrong_14,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,21.31,4.3,false,false,Sweater,Divided || Sweater || Knitwear || Beige || Melange,REJECT,REJECT,REJECT
wrong_15,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,19.69,4.3,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_16,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,20.34,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid,REJECT,REJECT,REJECT
wrong_17,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,20.81,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Beige || Melange,REJECT,REJECT,REJECT
wrong_18,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,21.23,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid,REJECT,REJECT,REJECT
wrong_19,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,18.84,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Beige || Melange,REJECT,REJECT,REJECT
wrong_20,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,19.99,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Beige || Melange,REJECT,REJECT,REJECT
wrong_21,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,18.91,4.3,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_22,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,18.91,4.3,false,false,Sweater,Menswear || Sweater || Knitwear || Beige || Solid,REJECT,REJECT,REJECT
wrong_23,N4_wrong_style,Dress,false,false,false,false,false,fail,4.3,18.71,4.3,false,false,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid,REJECT,REJECT,REJECT
wrong_24,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,41.61,2.62,false,false,Dress,Baby/Children || Dress || Dresses/Skirts girls || Blue || Stripe,REJECT,REJECT,REJECT
wrong_25,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,48.18,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid,REJECT,REJECT,REJECT
wrong_26,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,46.33,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid,REJECT,REJECT,REJECT
wrong_27,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,26.7,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid,REJECT,REJECT,REJECT
wrong_28,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,44.42,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Blue || Solid,REJECT,REJECT,REJECT
wrong_29,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,45.32,2.62,false,false,Dress,Ladieswear || Dress || Blouses || Orange || Solid,REJECT,REJECT,REJECT
wrong_30,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,48.11,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid,REJECT,REJECT,REJECT
wrong_31,N4_wrong_style,Top,true,false,false,false,false,fail,1.12,3.77,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Lilac Purple || Solid,REJECT,REJECT,REJECT
wrong_32,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,48.75,2.62,false,false,Dress,Divided || Dress || Unknown || Red || Solid,REJECT,REJECT,REJECT
wrong_33,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,38.3,2.62,false,false,Dress,Ladieswear || Dress || Blouses || Orange || Solid,REJECT,REJECT,REJECT
wrong_34,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,49.72,2.62,false,false,Dress,Ladieswear || Dress || Blouses || Orange || Solid,REJECT,REJECT,REJECT
wrong_35,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,47.03,2.62,false,false,Dress,Ladieswear || Dress || Unknown || Blue || Solid,REJECT,REJECT,REJECT
wrong_36,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,46.64,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid,REJECT,REJECT,REJECT
wrong_37,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,33.78,2.62,false,false,Dress,Ladieswear || Dress || Jersey Fancy || Red || All over pattern,REJECT,REJECT,REJECT
wrong_38,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,42.02,2.62,false,false,Dress,Baby/Children || Dress || Dresses/Skirts girls || Blue || Stripe,REJECT,REJECT,REJECT
wrong_39,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,50.82,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid,REJECT,REJECT,REJECT
wrong_40,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,52.39,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid,REJECT,REJECT,REJECT
wrong_41,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,6.42,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid,REJECT,REJECT,REJECT
wrong_42,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,50.28,2.62,false,false,Dress,Ladieswear || Dress || Unknown || Blue || Solid,REJECT,REJECT,REJECT
wrong_43,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,47.68,2.62,false,false,Dress,Ladieswear || Dress || Dresses Ladies || Blue || Solid,REJECT,REJECT,REJECT
wrong_44,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,49.24,2.62,false,false,Dress,Ladieswear || Dress || Blouses || Red || Solid,REJECT,REJECT,REJECT
wrong_45,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,36.39,2.62,false,false,Dress,Ladieswear || Dress || Blouses || Blue || Stripe,REJECT,REJECT,REJECT
wrong_46,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,44.57,2.62,false,false,Dress,Ladieswear || Dress || Blouses || Orange || Solid,REJECT,REJECT,REJECT
wrong_47,N4_wrong_style,Top,false,false,false,false,false,fail,1.12,38.29,2.62,false,false,Dress,Baby/Children || Dress || Dresses/Skirts girls || Blue || Stripe,REJECT,REJECT,REJECT
wrong_48,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.63,7.35,false,false,Top,Divided || Top || Jersey Fancy || White || Solid,REJECT,REJECT,REJECT
wrong_49,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.39,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_50,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.06,7.35,false,false,Top,Baby/Children || Top || Jersey Basic || White || Solid,REJECT,REJECT,REJECT
wrong_51,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.08,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_52,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.96,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_53,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.55,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_54,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.06,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_55,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.95,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_56,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.81,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_57,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.17,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_58,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.55,7.35,false,false,Top,Ladieswear || Top || Blouses || White || Solid,REJECT,REJECT,REJECT
wrong_59,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.73,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_60,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.81,7.35,false,false,Top,Baby/Children || Top || Jersey Basic || White || Solid,REJECT,REJECT,REJECT
wrong_61,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.62,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_62,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.32,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_63,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.45,7.35,false,false,Top,Baby/Children || Top || Jersey Basic || White || Solid,REJECT,REJECT,REJECT
wrong_64,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.67,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_65,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.07,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_66,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.3,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_67,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,3.11,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_68,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.96,7.35,false,false,Top,Baby/Children || Top || Jersey Basic || White || Solid,REJECT,REJECT,REJECT
wrong_69,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.61,7.35,false,false,Top,Ladieswear || Top || Blouses || White || Solid,REJECT,REJECT,REJECT
wrong_70,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,1.66,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_71,N4_wrong_style,Bikini top,false,false,false,false,true,pass,13.82,2.79,7.35,false,false,Top,Ladieswear || Top || Unknown || White || Solid,REJECT,REJECT,REJECT
wrong_72,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,6.93,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Orange || All over pattern,REJECT,REJECT,REJECT
wrong_73,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,6.04,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Red || All over pattern,REJECT,REJECT,REJECT
wrong_74,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,4.63,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Orange || All over pattern,REJECT,REJECT,REJECT
wrong_75,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,5.17,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Red || Lace,REJECT,REJECT,REJECT
wrong_76,N4_wrong_style,Sweater,false,false,false,false,false,escalate,3.2,4.15,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Black || All over pattern,REJECT,REJECT,REJECT
wrong_77,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,4.71,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Black || All over pattern,REJECT,REJECT,REJECT
wrong_78,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,6.14,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Orange || All over pattern,REJECT,REJECT,REJECT
wrong_79,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,5.32,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Orange || All over pattern,REJECT,REJECT,REJECT
wrong_80,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,5.11,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Orange || All over pattern,REJECT,REJECT,REJECT
wrong_81,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,4.23,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Green || All over pattern,REJECT,REJECT,REJECT
wrong_82,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,4.24,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || White || All over pattern,REJECT,REJECT,REJECT
wrong_83,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,5.03,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Blue || Stripe,REJECT,REJECT,REJECT
wrong_84,N4_wrong_style,Sweater,false,false,false,false,false,fail,3.2,15.63,3.75,false,false,Bikini top,Ladieswear || Bikini top || Swimwear || Red || All over pattern,REJECT,REJECT,REJECT
