control,image,smolvlm_answer,satisfies_all_over_pattern
supplementary_solid_white_top,data\images\0819520002.jpg,Solid.,false
supplementary_solid_white_top,data\images\0898918001.jpg,Solid.,false
supplementary_solid_white_top,data\images\0714493002.jpg,Solid.,false
supplementary_solid_white_top,data\images\0316441005.jpg,Solid.,false
supplementary_solid_white_top,data\images\0784926002.jpg,Solid.,false
supplementary_solid_white_top,data\images\0681657002.jpg,Solid.,false
supplementary_solid_white_top,data\images\0828050001.jpg,Solid.,false
supplementary_solid_white_top,data\images\0768931001.jpg,Solid.,false
supplementary_solid_red_dress,data\images\0734435004.jpg,Solid.,false
supplementary_solid_red_dress,data\images\0868762002.jpg,Solid.,false
supplementary_solid_red_dress,data\images\0861848004.jpg,Solid.,false
supplementary_solid_red_dress,data\images\0822158003.jpg,Solid.,false
supplementary_solid_red_dress,data\images\0891532002.jpg,Solid.,false
supplementary_solid_red_dress,data\images\0844799001.jpg,Solid.,false
supplementary_solid_red_dress,data\images\0765972001.jpg,Solid.,false
supplementary_solid_red_dress,data\images\0806516002.jpg,Melange.,true
