origin_week,n_p2,n_p3,n_dropped
2019-09-16,163,163,0
2019-09-23,159,159,0
2019-09-30,146,146,0
2019-10-07,138,138,0
2019-10-14,138,138,0
2019-10-21,140,140,0
2019-10-28,140,140,0
2019-11-04,137,137,0
2019-11-11,138,138,0
2019-11-18,137,137,0
2019-11-25,105,105,0
2019-12-02,124,124,0
2019-12-09,133,133,0
2019-12-16,80,80,0
2019-12-23,91,91,0
2019-12-30,88,88,0
2020-01-06,93,93,0
2020-01-13,105,105,0
2020-01-20,111,111,0
2020-01-27,117,117,0
2020-02-03,119,119,0
2020-02-10,128,128,0
2020-02-17,133,133,0
2020-02-24,139,139,0
2020-03-02,131,131,0
2020-03-09,131,131,0
2020-03-16,140,140,0
2020-03-23,141,141,0
2020-03-30,135,135,0
2020-04-06,130,130,0
2020-04-13,140,140,0
2020-04-20,134,134,0
2020-04-27,130,130,0
2020-05-04,133,133,0
2020-05-11,135,135,0
2020-05-18,120,120,0
2020-05-25,125,125,0
2020-06-01,127,127,0
2020-06-08,130,130,0
2020-06-15,88,88,0
2020-06-22,88,88,0
