construction,method,metric,n_origins,mean,ci_lo,ci_hi
excess,ewma_persistence,hit_at_3_in_top10,10,0.1,0.03333333333333333,0.19999999999999998
excess,ewma_persistence,hit_at_3_in_top20,10,0.16666666666666666,0.06666666666666667,0.36666666666666664
excess,ewma_persistence,ndcg_at_10,10,0.28491775550510257,0.22819313234139194,0.3098665168255671
excess,ewma_persistence,precision_at_10,10,0.04,0.01,0.09000000000000001
excess,ewma_persistence,precision_at_3,10,0.0,0.0,0.0
excess,ewma_persistence,spearman_rho,10,-0.5233482391564949,-0.6473542216259618,-0.42380513963274413
excess,ewma_persistence,wmape,10,1.1062836506423526,1.0006747665199163,1.1945074437386798
excess,global_mean,hit_at_3_in_top10,10,0.06666666666666667,0.0,0.2
excess,global_mean,hit_at_3_in_top20,10,0.13333333333333333,0.0,0.4
excess,global_mean,ndcg_at_10,10,0.34752911297148403,0.2827567426913456,0.38801541496944525
excess,global_mean,precision_at_10,10,0.05,0.01,0.08
excess,global_mean,precision_at_3,10,0.03333333333333333,0.0,0.1
excess,global_mean,spearman_rho,10,-0.24986157496589065,-0.31991589650180535,-0.18691992633927093
excess,global_mean,wmape,10,1.6787978003279431,1.5951828585372658,1.7278816696575166
excess,lightgbm,hit_at_3_in_top10,10,0.03333333333333333,0.0,0.1
excess,lightgbm,hit_at_3_in_top20,10,0.1,0.0,0.3
excess,lightgbm,ndcg_at_10,10,0.3257578098364067,0.2645172286707031,0.357216379031423
excess,lightgbm,precision_at_10,10,0.06,0.030000000000000006,0.1
excess,lightgbm,precision_at_3,10,0.03333333333333333,0.0,0.1
excess,lightgbm,spearman_rho,10,-0.33529958558074086,-0.42749112809096435,-0.26414482475305084
excess,lightgbm,wmape,10,1.0570804017765292,1.0415091028868722,1.085889746319464
excess,parent_category_mean,hit_at_3_in_top10,10,0.06666666666666667,0.0,0.2
excess,parent_category_mean,hit_at_3_in_top20,10,0.13333333333333333,0.0,0.4
excess,parent_category_mean,ndcg_at_10,10,0.35041267133466436,0.2857106673827866,0.38960455230784785
excess,parent_category_mean,precision_at_10,10,0.05,0.01,0.08
excess,parent_category_mean,precision_at_3,10,0.03333333333333333,0.0,0.1
excess,parent_category_mean,spearman_rho,10,-0.2595137719604137,-0.3272228086357306,-0.20086903769488532
excess,parent_category_mean,wmape,10,1.4977302477213417,1.4228054279747575,1.5544311021020494
random_floor,random_floor,hit_at_3_in_top10,10,0.1,0.095,0.12666666666666665
random_floor,random_floor,hit_at_3_in_top20,10,0.17666666666666664,0.16999999999999998,0.205
random_floor,random_floor,ndcg_at_10,10,0.4021523662307092,0.35515334626955897,0.42290555582578315
random_floor,random_floor,precision_at_10,10,0.08249999999999999,0.074,0.10350000000000001
random_floor,random_floor,precision_at_3,10,0.023333333333333334,0.018333333333333333,0.03
random_floor,random_floor,spearman_rho,10,-0.0030910911653667895,-0.01019857787888118,0.0016512556230741462
random_floor,random_floor,wmape,10,0.5358198423860557,0.4927536354235006,0.6430794989150008
ratio,ewma_persistence,hit_at_3_in_top10,10,0.4999999999999999,0.4,0.7333333333333333
ratio,ewma_persistence,hit_at_3_in_top20,10,0.6333333333333333,0.4666666666666666,0.9666666666666666
ratio,ewma_persistence,ndcg_at_10,10,0.7062770695522052,0.6181702512890228,0.8689874544829579
ratio,ewma_persistence,precision_at_10,10,0.4,0.3,0.6100000000000001
ratio,ewma_persistence,precision_at_3,10,0.2333333333333333,0.13333333333333333,0.4
ratio,ewma_persistence,spearman_rho,10,0.4356199789483221,0.3187344640161113,0.6770981023215198
ratio,ewma_persistence,wmape,10,0.34113289528311014,0.3150260082902367,0.3810870365836764
ratio,global_mean,hit_at_3_in_top10,10,0.6333333333333333,0.5999999999999999,0.8
ratio,global_mean,hit_at_3_in_top20,10,0.7333333333333333,0.6333333333333333,0.9666666666666666
ratio,global_mean,ndcg_at_10,10,0.710971053169599,0.6618830353899174,0.7888902958117588
ratio,global_mean,precision_at_10,10,0.36,0.31,0.45
ratio,global_mean,precision_at_3,10,0.36666666666666664,0.2666666666666667,0.5333333333333334
ratio,global_mean,spearman_rho,10,0.41737223715270044,0.30749783194279423,0.5439618131878607
ratio,global_mean,wmape,10,0.5212542842307313,0.48518572954843525,0.5581321474070344
ratio,lightgbm,hit_at_3_in_top10,10,0.6333333333333333,0.5666666666666667,0.7
ratio,lightgbm,hit_at_3_in_top20,10,0.7666666666666667,0.7333333333333334,0.8666666666666666
ratio,lightgbm,ndcg_at_10,10,0.780193534199654,0.7420739907039697,0.818609777199111
ratio,lightgbm,precision_at_10,10,0.47000000000000003,0.39,0.5604999999999973
ratio,lightgbm,precision_at_3,10,0.3,0.19999999999999998,0.4333333333333333
