construction,method,metric,n_origins,mean,ci_lo,ci_hi
excess,ewma_persistence,hit_at_3_in_top10,41,0.06504065040650406,0.008130081300813007,0.17073170731707316
excess,ewma_persistence,hit_at_3_in_top20,41,0.1382113821138211,0.05691056910569105,0.30894308943089427
excess,ewma_persistence,ndcg_at_10,41,0.2899351978762141,0.23976014971462067,0.32142130950484543
excess,ewma_persistence,precision_at_10,41,0.041463414634146344,0.007317073170731709,0.0878048780487805
excess,ewma_persistence,precision_at_3,41,0.008130081300813007,0.0,0.024390243902439025
excess,ewma_persistence,spearman_rho,41,-0.5127797496861743,-0.6252732724771308,-0.4236435925294953
excess,ewma_persistence,wmape,41,1.1041561190834577,1.002888684825459,1.2036227846343057
excess,global_mean,hit_at_3_in_top10,41,0.05691056910569106,0.008130081300813007,0.1382113821138211
excess,global_mean,hit_at_3_in_top20,41,0.13008130081300812,0.04065040650406504,0.26016260162601623
excess,global_mean,ndcg_at_10,41,0.34224354424500936,0.29577444777469536,0.3738312399217046
excess,global_mean,precision_at_10,41,0.05365853658536586,0.02682926829268293,0.0975609756097561
excess,global_mean,precision_at_3,41,0.016260162601626015,0.0,0.04878048780487805
excess,global_mean,spearman_rho,41,-0.24147612028627627,-0.3150978603043102,-0.17973467775465413
excess,global_mean,wmape,41,1.7056252072129277,1.5826189870395826,1.7646112749254501
excess,lightgbm,hit_at_3_in_top10,41,0.05691056910569105,0.008130081300813007,0.16260162601626016
excess,lightgbm,hit_at_3_in_top20,41,0.13008130081300812,0.04065040650406504,0.2926829268292683
excess,lightgbm,ndcg_at_10,41,0.3282342834811504,0.2850708517368299,0.35567472680900697
excess,lightgbm,precision_at_10,41,0.051219512195121955,0.024390243902439025,0.10000000000000002
excess,lightgbm,precision_at_3,41,0.008130081300813007,0.0,0.024390243902439025
excess,lightgbm,spearman_rho,41,-0.34518726238717246,-0.43640424050211246,-0.2823075190560698
excess,lightgbm,wmape,41,1.0525655389083617,1.048060644749945,1.0791229736812609
excess,parent_category_mean,hit_at_3_in_top10,41,0.07317073170731707,0.008130081300813007,0.18699186991869915
excess,parent_category_mean,hit_at_3_in_top20,41,0.14634146341463414,0.048780487804878044,0.3008130081300813
excess,parent_category_mean,ndcg_at_10,41,0.34593416068525373,0.29932616444120813,0.3774970748810759
excess,parent_category_mean,precision_at_10,41,0.056097560975609764,0.02682926829268293,0.1048780487804878
excess,parent_category_mean,precision_at_3,41,0.024390243902439025,0.0,0.07317073170731707
excess,parent_category_mean,spearman_rho,41,-0.24992688751837872,-0.32007513574501323,-0.19136869442698823
excess,parent_category_mean,wmape,41,1.5197016096674887,1.4208226777284139,1.5823023701171686
random_floor,random_floor,hit_at_3_in_top10,41,0.07682926829268293,0.07032520325203252,0.09065040650406503
random_floor,random_floor,hit_at_3_in_top20,41,0.15853658536585366,0.1434959349593496,0.18170731707317073
random_floor,random_floor,ndcg_at_10,41,0.4021365574370036,0.34641896104655195,0.4267128878199485
random_floor,random_floor,precision_at_10,41,0.07841463414634148,0.07353353658536586,0.08646341463414635
random_floor,random_floor,precision_at_3,41,0.021544715447154472,0.019105691056910568,0.024796747967479674
random_floor,random_floor,spearman_rho,41,-0.00017675730940112813,-0.007139935418283338,0.0068555536265077635
random_floor,random_floor,wmape,41,0.5367576580592336,0.4864038168746673,0.6386926624815988
ratio,ewma_persistence,hit_at_3_in_top10,41,0.5203252032520325,0.44715447154471544,0.6829268292682927
ratio,ewma_persistence,hit_at_3_in_top20,41,0.6991869918699187,0.5934959349593495,0.9593495934959348
ratio,ewma_persistence,ndcg_at_10,41,0.6945043500006346,0.6081298706308385,0.8303002564642039
ratio,ewma_persistence,precision_at_10,41,0.3902439024390244,0.3096951219512195,0.5658536585365853
ratio,ewma_persistence,precision_at_3,41,0.2682926829268293,0.24390243902439024,0.35772357723577236
ratio,ewma_persistence,spearman_rho,41,0.4447846029740217,0.34512444081845417,0.6617675237502654
ratio,ewma_persistence,wmape,41,0.35275665221652125,0.3171147624781881,0.39223902678946926
ratio,global_mean,hit_at_3_in_top10,41,0.4959349593495935,0.4634146341463415,0.7073170731707317
ratio,global_mean,hit_at_3_in_top20,41,0.6260162601626016,0.5934959349593496,0.8376016260162591
